Frecuencias de nombres masculinos,,,
Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2017,,,
INE.es
,,,
Nombres masculinos con frecuencia mayor o igual a 20 a nivel nacional.,,,
(*) Edad media de las personas que tienen ese nombre a nivel nacional.,,,
,,,
Orden,Nombre,Frecuencia,Edad Media (*)
1,ANTONIO,690.587 ,"55,5"
2,JOSE,610.013 ,"60,8"
3,MANUEL,600.327 ,"54,6"
4,FRANCISCO,509.403 ,"56,9"
5,DAVID,363.559 ,"29,7"
6,JUAN,353.879 ,"55,4"
7,JOSE ANTONIO,312.257 ,"48,8"
8,JAVIER,305.475 ,"32,3"
9,JOSE LUIS,296.162 ,"52,5"
10,DANIEL,293.609 ,"26,5"
11,FRANCISCO JAVIER,288.263 ,"43,8"
12,JESUS,280.310 ,"48,0"
13,CARLOS,278.986 ,"38,3"
14,ALEJANDRO,256.713 ,"25,0"
15,MIGUEL,250.459 ,"46,2"
16,JOSE MANUEL,243.782 ,"46,4"
17,RAFAEL,238.992 ,"50,2"
18,PEDRO,228.905 ,"53,1"
19,MIGUEL ANGEL,227.805 ,"42,8"
20,ANGEL,223.030 ,"49,9"
21,PABLO,214.954 ,"26,7"
22,JOSE MARIA,211.087 ,"53,3"
23,FERNANDO,206.289 ,"48,1"
24,SERGIO,205.235 ,"27,4"
25,LUIS,197.164 ,"51,8"
26,JORGE,192.090 ,"33,4"
27,ALBERTO,179.863 ,"36,1"
28,JUAN CARLOS,160.439 ,"44,6"
29,ALVARO,155.765 ,"21,3"
30,JUAN JOSE,154.825 ,"47,8"
31,DIEGO,150.793 ,"31,8"
32,ADRIAN,150.123 ,"18,4"
33,RAUL,139.692 ,"30,4"
34,JUAN ANTONIO,135.320 ,"48,1"
35,IVAN,132.899 ,"24,2"
36,ENRIQUE,131.362 ,"49,2"
37,RUBEN,127.240 ,"26,3"
38,RAMON,126.031 ,"57,0"
39,VICENTE,122.668 ,"58,3"
40,OSCAR,122.613 ,"33,1"
41,ANDRES,117.858 ,"46,7"
42,JOAQUIN,114.523 ,"53,5"
43,JUAN MANUEL,113.871 ,"45,2"
44,SANTIAGO,111.083 ,"47,3"
45,EDUARDO,107.086 ,"43,9"
46,VICTOR,105.329 ,"29,6"
47,MARIO,99.892 ,"24,0"
48,ROBERTO,98.162 ,"39,2"
49,JAIME,97.127 ,"40,5"
50,FRANCISCO JOSE,95.688 ,"40,7"
51,IGNACIO,90.621 ,"38,9"
