first_letter, last_letter, last_letter_a, first_letter_vocal, last_letter_vocal, last_letter_consonant
112, 101, 0, 0, 1, 0
114, 108, 0, 0, 0, 1
97, 111, 0, 1, 1, 0
114, 102, 0, 0, 0, 1
116, 105, 0, 0, 1, 0
103, 111, 0, 0, 1, 0
99, 101, 0, 0, 1, 0
115, 97, 1, 0, 1, 0
114, 102, 0, 0, 0, 1
107, 108, 0, 0, 0, 1
115, 108, 0, 0, 0, 1
99, 115, 0, 0, 0, 1
103, 121, 0, 0, 0, 1
108, 114, 0, 0, 0, 1
99, 101, 0, 0, 1, 0
109, 110, 0, 0, 0, 1
118, 100, 0, 0, 0, 1
112, 101, 0, 0, 1, 0
108, 115, 0, 0, 0, 1
98, 111, 0, 0, 1, 0
116, 115, 0, 0, 0, 1
