"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Albania                           ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","HOXHA",,,"41","16,085","..","..","..",".."
"2","BREGU",,,"20","7,846","..","..","..",".."
"3","CELA",,,"20","7,846","..","..","..",".."
"4","SHEHU",,,"17","6,669","..","..","..",".."
"5","XHAFA",,,"16","6,277","..","..","..",".."
"6","HASA",,,"15","5,885","..","..","..",".."
"7","PRENGA",,,"14","5,492","..","..","..",".."
"8","CUNI",,,"13","5,100","..","..","..",".."
"9","DODA",,,"13","5,100","..","..","..",".."
"10","LACI",,,"13","5,100","..","..","..",".."
"11","BARDHI",,,"12","4,708","..","..","..",".."
"12","CAMI",,,"11","4,315","..","..","..",".."
"13","GJOKA",,,"11","4,315","..","..","..",".."
"14","LLESHI",,,"11","4,315","..","..","..",".."
"15","KURTI",,,"10","3,923","..","..","..",".."
"16","SINA",,,"10","3,923","..","..","..",".."
"17","SOKOLAJ",,,"10","3,923","..","..","..",".."
"18","GJETAJ",,,"9","3,531","..","..","..",".."
"19","MUCOBEGA",,,"9","3,531","..","..","..",".."
"20","PALUSHAJ",,,"9","3,531","..","..","..",".."
"21","SPAHIU",,,"9","3,531","..","..","..",".."
"22","BALLA",,,"8","3,138","..","..","..",".."
"23","DARDHA",,,"8","3,138","..","..","..",".."
"24","DERVISHI",,,"8","3,138","..","..","..",".."
"25","GJONI",,,"8","3,138","..","..","..",".."
"26","KOLA",,,"8","3,138","..","..","..",".."
"27","PONARI",,,"8","3,138","..","..","..",".."
"28","SHEHAJ",,,"8","3,138","..","..","..",".."
"29","TATANI",,,"8","3,138","..","..","..",".."
"30","ARAPI",,,"7","2,746","..","..","..",".."
"31","BUDLLA",,,"7","2,746","..","..","..",".."
"32","BUZHERI",,,"7","2,746","..","..","..",".."
"33","CENAJ",,,"7","2,746","..","..","..",".."
"34","DOKAJ",,,"7","2,746","..","..","..",".."
"35","GJATA",,,"7","2,746","..","..","..",".."
"36","JAHELEZI",,,"7","2,746","..","..","..",".."
"37","KAZAZI",,,"7","2,746","..","..","..",".."
"38","KOCI",,,"7","2,746","..","..","..",".."
"39","LALA",,,"7","2,746","..","..","..",".."
"40","LIKAJ",,,"7","2,746","..","..","..",".."
"41","LOLA",,,"7","2,746","..","..","..",".."
"42","MALAJ",,,"7","2,746","..","..","..",".."
"43","META",,,"7","2,746","..","..","..",".."
"44","MUÇOLLARI",,,"7","2,746","..","..","..",".."
"45","MUSTAFALLARI",,,"7","2,746","..","..","..",".."
"46","NDOCI",,,"7","2,746","..","..","..",".."
"47","NDOJ",,,"7","2,746","..","..","..",".."
"48","NUHU",,,"7","2,746","..","..","..",".."
"49","PRIFTI",,,"7","2,746","..","..","..",".."
"50","SHEHI",,,"7","2,746","..","..","..",".."
"51","TABAKU",,,"7","2,746","..","..","..",".."
"52","TROKA",,,"7","2,746","..","..","..",".."
"53","ZIU",,,"7","2,746","..","..","..",".."
"54","BAKIA",,,"6","2,354","..","..","..",".."
"55","BIBA",,,"6","2,354","..","..","..",".."
"56","BIRAKU",,,"6","2,354","..","..","..",".."
"57","CIRAKU",,,"6","2,354","..","..","..",".."
"58","CJAPI",,,"6","2,354","..","..","..",".."
"59","DANI",,,"6","2,354","..","..","..",".."
"60","GJINI",,,"6","2,354","..","..","..",".."
"61","GOSENI",,,"6","2,354","..","..","..",".."
"62","HALILI",,,"6","2,354","..","..","..",".."
"63","HIDA",,,"6","2,354","..","..","..",".."
"64","HYSENAJ",,,"6","2,354","..","..","..",".."
"65","HYSENI",,,"6","2,354","..","..","..",".."
"66","KALLANXHIU",,,"6","2,354","..","..","..",".."
"67","KODRA",,,"6","2,354","..","..","..",".."
"68","LAMI",,,"6","2,354","..","..","..",".."
"69","MARKU",,,"6","2,354","..","..","..",".."
"70","MUSAKU",,,"6","2,354","..","..","..",".."
"71","PRENDUSHI",,,"6","2,354","..","..","..",".."
"72","SALIAJ",,,"6","2,354","..","..","..",".."
"73","TAFILI",,,"6","2,354","..","..","..",".."
"74","UKU",,,"6","2,354","..","..","..",".."
"75","ZELA",,,"6","2,354","..","..","..",".."
"76","AGO",,,"5","1,962","..","..","..",".."
"77","AHMETAJ",,,"5","1,962","..","..","..",".."
"78","ALIAJ",,,"5","1,962","..","..","..",".."
"79","ALLA",,,"5","1,962","..","..","..",".."
"80","CARA",,,"5","1,962","..","..","..",".."
"81","CEKA",,,"5","1,962","..","..","..",".."
"82","DEDA",,,"5","1,962","..","..","..",".."
"83","DEDAJ",,,"5","1,962","..","..","..",".."
"84","DURO",,,"5","1,962","..","..","..",".."
"85","HADERI",,,"5","1,962","..","..","..",".."
"86","HAMIT",,,"5","1,962","..","..","..",".."
"87","HOXHAJ",,,"5","1,962","..","..","..",".."
"88","ISUFI",,,"5","1,962","..","..","..",".."
"89","JAHO",,,"5","1,962","..","..","..",".."
"90","JAKU",,,"5","1,962","..","..","..",".."
"91","JERA",,,"5","1,962","..","..","..",".."
"92","KIRI",,,"5","1,962","..","..","..",".."
"93","MEHALLA",,,"5","1,962","..","..","..",".."
"94","METALIAJ",,,"5","1,962","..","..","..",".."
"95","SULA",,,"5","1,962","..","..","..",".."
"96","SULI",,,"5","1,962","..","..","..",".."
"97","VELAJ",,,"5","1,962","..","..","..",".."
"98","ZAGANI",,,"5","1,962","..","..","..",".."
"99","ZANE",,,"5","1,962","..","..","..",".."
"100","ZEKA",,,"5","1,962","..","..","..",".."
"NOTAS:",
"0) Por secreto estadístico sólo se muestran los apellidos cuya frecuencia es mayor que 5 en alguno de los dos apellidos para el total nacional. Para las nacionalidades seleccionadas se exige además una frecuencia de al menos 5 en alguno de los dos apellidos. Por esta razón, la frecuencia total para algunos apellidos puede no ser igual a la suma de las nacionalidades que se muestran.  ",,,,,,,,,,,,
"1) Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018",,,,,,,,,,,,

