"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Andorra                           ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","SANCHEZ",,,"18","17,192","..","..","..",".."
"2","GARCIA",,,"15","14,327","14","13,372","..",".."
"3","MARTINEZ",,,"11","10,506","10","9,551","..",".."
"4","TORRES",,,"11","10,506","7","6,686","..",".."
"5","PEREZ",,,"9","8,596","7","6,686","..",".."
"6","ARENY",,,"8","7,641","7","6,686","..",".."
"7","ARMENGOL",,,"8","7,641","5","4,776","..",".."
"8","SERRA",,,"8","7,641","5","4,776","..",".."
"9","PIROT",,,"8","7,641","..","..","..",".."
"10","LOPEZ",,,"7","6,686","9","8,596","..",".."
"11","VILA",,,"7","6,686","8","7,641","..",".."
"12","CERQUEDA",,,"7","6,686","..","..","..",".."
"13","MORA",,,"7","6,686","..","..","..",".."
"14","RUIZ",,,"7","6,686","..","..","..",".."
"15","FERNANDEZ",,,"6","5,731","8","7,641","..",".."
"16","CASALS",,,"6","5,731","5","4,776","..",".."
"17","ALVAREZ",,,"6","5,731","..","..","..",".."
"18","CASES",,,"6","5,731","..","..","..",".."
"19","DURO",,,"6","5,731","..","..","..",".."
"20","MARTIN",,,"6","5,731","..","..","..",".."
"21","REBES",,,"6","5,731","..","..","..",".."
"22","RIBA",,,"6","5,731","..","..","..",".."
"23","SOLE",,,"6","5,731","..","..","..",".."
"24","ROSSELL",,,"5","4,776","6","5,731","..",".."
"25","ANTONIJOAN",,,"5","4,776","..","..","..",".."
"26","BABOT",,,"5","4,776","..","..","..",".."
"27","BARO",,,"5","4,776","..","..","..",".."
"28","BASTIDA",,,"5","4,776","..","..","..",".."
"29","CASAL",,,"5","4,776","..","..","..",".."
"30","CERVOS",,,"5","4,776","..","..","..",".."
"31","ESPIELL",,,"5","4,776","..","..","..",".."
"32","PONS",,,"5","4,776","..","..","..",".."
"33","SANSA",,,"5","4,776","..","..","..",".."
"34","GONZALEZ",,,"..","..","13","12,416","..",".."
"35","BETRIU",,,"..","..","8","7,641","..",".."
"36","DA SILVA",,,"..","..","6","5,731","..",".."
"37","SOLER",,,"..","..","6","5,731","..",".."
"38","FONT",,,"..","..","5","4,776","..",".."
"39","HERNANDEZ",,,"..","..","5","4,776","..",".."
"40","PASCUAL",,,"..","..","5","4,776","..",".."
"NOTAS:",
"0) Por secreto estadístico sólo se muestran los apellidos cuya frecuencia es mayor que 5 en alguno de los dos apellidos para el total nacional. Para las nacionalidades seleccionadas se exige además una frecuencia de al menos 5 en alguno de los dos apellidos. Por esta razón, la frecuencia total para algunos apellidos puede no ser igual a la suma de las nacionalidades que se muestran.  ",,,,,,,,,,,,
"1) Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018",,,,,,,,,,,,

