"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Angola                            ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","ANTONIO",,,"32","20,189","12","7,571","..",".."
"2","DOMINGOS",,,"31","19,558","11","6,940","..",".."
"3","MANUEL",,,"26","16,404","9","5,678","..",".."
"4","JOAO",,,"25","15,773","..","..","..",".."
"5","DA SILVA",,,"19","11,987","25","15,773","..",".."
"6","GOMES",,,"19","11,987","..","..","..",".."
"7","FERREIRA",,,"15","9,464","9","5,678","..",".."
"8","DA COSTA",,,"15","9,464","7","4,416","..",".."
"9","FRANCISCO",,,"15","9,464","5","3,155","..",".."
"10","PEDRO",,,"15","9,464","..","..","..",".."
"11","PAULO",,,"14","8,833","..","..","..",".."
"12","LOPES",,,"12","7,571","5","3,155","..",".."
"13","GARCIA",,,"12","7,571","..","..","..",".."
"14","TEIXEIRA",,,"11","6,940","..","..","..",".."
"15","NETO",,,"10","6,309","8","5,047","..",".."
"16","ALBERTO",,,"10","6,309","..","..","..",".."
"17","DIAS",,,"10","6,309","..","..","..",".."
"18","SIMAO",,,"10","6,309","..","..","..",".."
"19","SILVA",,,"9","5,678","..","..","..",".."
"20","PINTO",,,"8","5,047","10","6,309","..",".."
"21","DOS SANTOS",,,"8","5,047","7","4,416","..",".."
"22","GONCALVES",,,"8","5,047","5","3,155","..",".."
"23","DAVID",,,"8","5,047","..","..","..",".."
"24","MENDES",,,"8","5,047","..","..","..",".."
"25","DA CRUZ",,,"7","4,416","5","3,155","..",".."
"26","MARTINS",,,"7","4,416","5","3,155","..",".."
"27","CORDEIRO",,,"7","4,416","..","..","..",".."
"28","DE SOUSA",,,"7","4,416","..","..","..",".."
"29","HENRIQUES",,,"7","4,416","..","..","..",".."
"30","JOAQUIM",,,"7","4,416","..","..","..",".."
"31","MATEUS",,,"7","4,416","..","..","..",".."
"32","RODRIGUES",,,"7","4,416","..","..","..",".."
"33","SAMAKUVA",,,"7","4,416","..","..","..",".."
"34","SOARES",,,"7","4,416","..","..","..",".."
"35","DE ALMEIDA",,,"6","3,785","5","3,155","..",".."
"36","AFONSO",,,"6","3,785","..","..","..",".."
"37","BAPTISTA",,,"6","3,785","..","..","..",".."
"38","BENTO",,,"6","3,785","..","..","..",".."
"39","BERNARDO",,,"6","3,785","..","..","..",".."
"40","BRAVO DA ROSA",,,"6","3,785","..","..","..",".."
"41","CAETANO",,,"6","3,785","..","..","..",".."
"42","FERNANDES",,,"6","3,785","..","..","..",".."
"43","LEITAO",,,"6","3,785","..","..","..",".."
"44","OLIVEIRA",,,"6","3,785","..","..","..",".."
"45","PANDA",,,"6","3,785","..","..","..",".."
"46","SEBASTIAO",,,"6","3,785","..","..","..",".."
"47","VICENTE",,,"6","3,785","..","..","..",".."
"48","ALMEIDA",,,"5","3,155","7","4,416","..",".."
"49","TECOLO",,,"5","3,155","5","3,155","..",".."
"50","ADAO",,,"5","3,155","..","..","..",".."
"51","ANDRADE",,,"5","3,155","..","..","..",".."
"52","ANDRE",,,"5","3,155","..","..","..",".."
"53","CARDOSO",,,"5","3,155","..","..","..",".."
"54","CARLOS",,,"5","3,155","..","..","..",".."
"55","COSTA",,,"5","3,155","..","..","..",".."
"56","CRISTOVAO",,,"5","3,155","..","..","..",".."
"57","DE OLIVEIRA",,,"5","3,155","..","..","..",".."
"58","DIOGO",,,"5","3,155","..","..","..",".."
"59","DOS PRAZERES",,,"5","3,155","..","..","..",".."
"60","EDUARDO",,,"5","3,155","..","..","..",".."
"61","GUARDADO",,,"5","3,155","..","..","..",".."
"62","JOSE",,,"5","3,155","..","..","..",".."
"63","LUIS",,,"5","3,155","..","..","..",".."
"64","MONTEIRO",,,"5","3,155","..","..","..",".."
"65","PANZO",,,"5","3,155","..","..","..",".."
"66","ALEXANDRE",,,"..","..","9","5,678","..",".."
"67","RIBEIRO",,,"..","..","7","4,416","..",".."
"68","LISBOA",,,"..","..","5","3,155","..",".."
"69","TOMAS",,,"..","..","5","3,155","..",".."
"NOTAS:",
"0) Por secreto estadístico sólo se muestran los apellidos cuya frecuencia es mayor que 5 en alguno de los dos apellidos para el total nacional. Para las nacionalidades seleccionadas se exige además una frecuencia de al menos 5 en alguno de los dos apellidos. Por esta razón, la frecuencia total para algunos apellidos puede no ser igual a la suma de las nacionalidades que se muestran.  ",,,,,,,,,,,,
"1) Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018",,,,,,,,,,,,

