"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Belarús                           ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","IVANOVA",,,"12","2,357","..","..","..",".."
"2","DZIALENDZIK",,,"10","1,964","..","..","..",".."
"3","KUZNIATSOVA",,,"9","1,767","..","..","..",".."
"4","YAKIMENKA",,,"9","1,767","..","..","..",".."
"5","GARUSTOVICH",,,"8","1,571","..","..","..",".."
"6","NOVIK",,,"8","1,571","..","..","..",".."
"7","PIATROVA",,,"8","1,571","..","..","..",".."
"8","ZHUK",,,"8","1,571","..","..","..",".."
"9","ZHUKOUSKAYA",,,"8","1,571","..","..","..",".."
"10","BAHDANOVICH",,,"7","1,375","..","..","..",".."
"11","DARASHENKA",,,"7","1,375","..","..","..",".."
"12","HRYNIUK",,,"7","1,375","..","..","..",".."
"13","KAVALIOVA",,,"7","1,375","..","..","..",".."
"14","KAZAKOVA",,,"7","1,375","..","..","..",".."
"15","MIKAVA",,,"7","1,375","..","..","..",".."
"16","SADOUSKAYA",,,"7","1,375","..","..","..",".."
"17","SADOUSKI",,,"7","1,375","..","..","..",".."
"18","AKHMAD",,,"6","1,178","..","..","..",".."
"19","ARLOVA",,,"6","1,178","..","..","..",".."
"20","HORDZICH",,,"6","1,178","..","..","..",".."
"21","KAMISARCHUK",,,"6","1,178","..","..","..",".."
"22","KISEL",,,"6","1,178","..","..","..",".."
"23","KOPACH",,,"6","1,178","..","..","..",".."
"24","KURADCHYK",,,"6","1,178","..","..","..",".."
"25","MALKO",,,"6","1,178","..","..","..",".."
"26","MELNIKAVA",,,"6","1,178","..","..","..",".."
"27","NOVIKAVA",,,"6","1,178","..","..","..",".."
"28","PALIAKOVA",,,"6","1,178","..","..","..",".."
"29","SHYREI",,,"6","1,178","..","..","..",".."
"30","SIANKO",,,"6","1,178","..","..","..",".."
"31","TSIMAFEYEU",,,"6","1,178","..","..","..",".."
"32","VASILYEVA",,,"6","1,178","..","..","..",".."
"33","VOLAKH",,,"6","1,178","..","..","..",".."
"34","BOHDAN",,,"5","0,982","..","..","..",".."
"35","BOIKA",,,"5","0,982","..","..","..",".."
"36","HERASIMOVICH",,,"5","0,982","..","..","..",".."
"37","KACHAN",,,"5","0,982","..","..","..",".."
"38","KARABAN",,,"5","0,982","..","..","..",".."
"39","KULICH",,,"5","0,982","..","..","..",".."
"40","MARKEVICH",,,"5","0,982","..","..","..",".."
"41","MAROZAVA",,,"5","0,982","..","..","..",".."
"42","PAULAVA",,,"5","0,982","..","..","..",".."
"43","PIATROUSKAYA",,,"5","0,982","..","..","..",".."
"44","PINCHUK",,,"5","0,982","..","..","..",".."
"45","RAMANOVICH",,,"5","0,982","..","..","..",".."
"46","SAMUSEVICH",,,"5","0,982","..","..","..",".."
"47","SAVICH",,,"5","0,982","..","..","..",".."
"48","SAVITSKAYA",,,"5","0,982","..","..","..",".."
"49","SHAVEL",,,"5","0,982","..","..","..",".."
"50","SHYMANOVICH",,,"5","0,982","..","..","..",".."
"51","SIAMIONAVA",,,"5","0,982","..","..","..",".."
"52","SMIRNOVA",,,"5","0,982","..","..","..",".."
"53","STARAVOITAU",,,"5","0,982","..","..","..",".."
"54","STRUK",,,"5","0,982","..","..","..",".."
"55","YURTSEVICH",,,"5","0,982","..","..","..",".."
"56","ZAVATSKAYA",,,"5","0,982","..","..","..",".."
"57","ZINKEVICH",,,"5","0,982","..","..","..",".."
"NOTAS:",
"0) Por secreto estadístico sólo se muestran los apellidos cuya frecuencia es mayor que 5 en alguno de los dos apellidos para el total nacional. Para las nacionalidades seleccionadas se exige además una frecuencia de al menos 5 en alguno de los dos apellidos. Por esta razón, la frecuencia total para algunos apellidos puede no ser igual a la suma de las nacionalidades que se muestran.  ",,,,,,,,,,,,
"1) Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018",,,,,,,,,,,,

