"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Bosnia y Herzegovina              ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","AHMETSPAHIC",,,"13","10,934","..","..","..",".."
"2","TOLJA",,,"11","9,251","..","..","..",".."
"3","DELIC",,,"10","8,410","..","..","..",".."
"4","BABIC",,,"9","7,569","..","..","..",".."
"5","AHMETOVIC",,,"8","6,728","..","..","..",".."
"6","DZENANOVIC",,,"8","6,728","..","..","..",".."
"7","HUSIC",,,"8","6,728","..","..","..",".."
"8","MESIC",,,"8","6,728","..","..","..",".."
"9","SAMARDZIC",,,"8","6,728","..","..","..",".."
"10","TODOROVIC",,,"8","6,728","..","..","..",".."
"11","ARNAUTOVIC",,,"7","5,887","..","..","..",".."
"12","BASIC",,,"7","5,887","..","..","..",".."
"13","DURAKOVIC",,,"7","5,887","..","..","..",".."
"14","HADZIC",,,"7","5,887","..","..","..",".."
"15","KASUMOVIC",,,"7","5,887","..","..","..",".."
"16","KUDUZOVIC",,,"7","5,887","..","..","..",".."
"17","DEDIC",,,"6","5,046","..","..","..",".."
"18","HAMIDOVIC",,,"6","5,046","..","..","..",".."
"19","HRUSTIC",,,"6","5,046","..","..","..",".."
"20","LUKIC",,,"6","5,046","..","..","..",".."
"21","MAHIC",,,"6","5,046","..","..","..",".."
"22","MAHMULJIN",,,"6","5,046","..","..","..",".."
"23","PERENDA",,,"6","5,046","..","..","..",".."
"24","RAMIC",,,"6","5,046","..","..","..",".."
"25","SEJDIC",,,"6","5,046","..","..","..",".."
"26","SLADOJEVIC",,,"6","5,046","..","..","..",".."
"27","CATIC",,,"5","4,205","..","..","..",".."
"28","DERGIC",,,"5","4,205","..","..","..",".."
"29","DZANANOVIC",,,"5","4,205","..","..","..",".."
"30","LISICA",,,"5","4,205","..","..","..",".."
"31","MARTINOVIC",,,"5","4,205","..","..","..",".."
"32","SAKOVIC",,,"5","4,205","..","..","..",".."
"33","SEHIC",,,"5","4,205","..","..","..",".."
"34","SINANOVIC",,,"5","4,205","..","..","..",".."
"35","SULJIC",,,"5","4,205","..","..","..",".."
"36","ZUKIC",,,"5","4,205","..","..","..",".."
"NOTAS:",
"0) Por secreto estadístico sólo se muestran los apellidos cuya frecuencia es mayor que 5 en alguno de los dos apellidos para el total nacional. Para las nacionalidades seleccionadas se exige además una frecuencia de al menos 5 en alguno de los dos apellidos. Por esta razón, la frecuencia total para algunos apellidos puede no ser igual a la suma de las nacionalidades que se muestran.  ",,,,,,,,,,,,
"1) Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018",,,,,,,,,,,,

