"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Brasil",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","DA SILVA",,,"3.691","45,171","4.976","60,897","..",".."
"2","PEREIRA",,,"2.269","27,768","936","11,455","..",".."
"3","DOS SANTOS",,,"2.190","26,801","2.818","34,487","..",".."
"4","ALVES",,,"2.111","25,835","611","7,477","..",".."
"5","RODRIGUES",,,"2.034","24,892","689","8,432","..",".."
"6","FERREIRA",,,"2.009","24,586","939","11,492","..",".."
"7","SILVA",,,"1.822","22,298","1.905","23,314","7","0,086"
"8","DE OLIVEIRA",,,"1.546","18,920","1.734","21,221","..",".."
"9","DE SOUZA",,,"1.337","16,362","1.399","17,121","..",".."
"10","SANTOS",,,"1.184","14,490","1.142","13,976","..",".."
"11","GOMES",,,"1.157","14,159","536","6,560","..",".."
"12","OLIVEIRA",,,"1.006","12,312","718","8,787","..",".."
"13","RIBEIRO",,,"938","11,479","522","6,388","..",".."
"14","MARTINS",,,"772","9,448","418","5,116","..",".."
"15","SOUZA",,,"737","9,019","490","5,997","..",".."
"16","SOARES",,,"670","8,200","427","5,226","..",".."
"17","BARBOSA",,,"650","7,955","478","5,850","..",".."
"18","FERNANDES",,,"635","7,771","287","3,512","..",".."
"19","VIEIRA",,,"622","7,612","364","4,455","..",".."
"20","LIMA",,,"594","7,269","668","8,175","..",".."
"21","COSTA",,,"581","7,110","665","8,138","..",".."
"22","DIAS",,,"577","7,061","363","4,442","..",".."
"23","LOPES",,,"563","6,890","385","4,712","..",".."
"24","ARAUJO",,,"478","5,850","332","4,063","..",".."
"25","MOREIRA",,,"475","5,813","295","3,610","..",".."
"26","DE JESUS",,,"468","5,727","278","3,402","..",".."
"27","BATISTA",,,"449","5,495","204","2,497","..",".."
"28","GONCALVES",,,"446","5,458","204","2,497","..",".."
"29","CARDOSO",,,"441","5,397","252","3,084","..",".."
"30","MARQUES",,,"428","5,238","194","2,374","..",".."
"31","NUNES",,,"414","5,067","220","2,692","..",".."
"32","CARVALHO",,,"400","4,895","246","3,011","..",".."
"33","DE LIMA",,,"382","4,675","485","5,935","..",".."
"34","MENDES",,,"378","4,626","197","2,411","..",".."
"35","DE SOUSA",,,"375","4,589","529","6,474","..",".."
"36","ROCHA",,,"375","4,589","307","3,757","..",".."
"37","ALMEIDA",,,"353","4,320","207","2,533","..",".."
"38","DE ALMEIDA",,,"350","4,283","452","5,532","..",".."
"39","GONÇALVES",,,"347","4,247","160","1,958","..",".."
"40","BORGES",,,"337","4,124","231","2,827","..",".."
"41","NASCIMENTO",,,"330","4,039","240","2,937","..",".."
"42","TEIXEIRA",,,"329","4,026","224","2,741","..",".."
"43","RAMOS",,,"325","3,977","235","2,876","..",".."
"44","SOUSA",,,"318","3,892","236","2,888","..",".."
"45","SANTANA",,,"317","3,879","228","2,790","..",".."
"46","DA COSTA",,,"300","3,671","449","5,495","..",".."
"47","DO NASCIMENTO",,,"276","3,378","315","3,855","..",".."
"48","MACHADO",,,"272","3,329","265","3,243","..",".."
"49","DE ARAUJO",,,"253","3,096","302","3,696","..",".."
"50","MONTEIRO",,,"239","2,925","135","1,652","..",".."
"51","ROSA",,,"237","2,900","150","1,836","..",".."
"52","ANDRADE",,,"226","2,766","135","1,652","..",".."
"53","GARCIA",,,"221","2,705","159","1,946","..",".."
"54","CORREA",,,"218","2,668","154","1,885","..",".."
"55","DUARTE",,,"216","2,643","153","1,872","..",".."
"56","DE PAULA",,,"204","2,497","125","1,530","..",".."
"57","MIRANDA",,,"195","2,386","143","1,750","..",".."
"58","PINHEIRO",,,"193","2,362","138","1,689","..",".."
"59","FREITAS",,,"189","2,313","131","1,603","..",".."
"60","TAVARES",,,"188","2,301","117","1,432","..",".."
"61","NOGUEIRA",,,"187","2,289","136","1,664","..",".."
"62","BARROS",,,"182","2,227","191","2,337","..",".."
"63","BEZERRA",,,"180","2,203","120","1,469","..",".."
"64","DE CARVALHO",,,"179","2,191","298","3,647","..",".."
"65","CAMPOS",,,"178","2,178","191","2,337","..",".."
"66","PIRES",,,"176","2,154","101","1,236","..",".."
"67","DE FREITAS",,,"173","2,117","204","2,497","..",".."
"68","GUIMARAES",,,"173","2,117","157","1,921","..",".."
"69","PINTO",,,"167","2,044","228","2,790","..",".."
"70","DA CRUZ",,,"162","1,983","169","2,068","..",".."
"71","APARECIDA",,,"159","1,946","7","0,086","..",".."
"72","LEITE",,,"158","1,934","177","2,166","..",".."
"73","CORDEIRO",,,"157","1,921","84","1,028","..",".."
"74","CORREIA",,,"153","1,872","95","1,163","..",".."
"75","SIQUEIRA",,,"147","1,799","92","1,126","..",".."
"76","NEVES",,,"142","1,738","148","1,811","..",".."
"77","COELHO",,,"138","1,689","135","1,652","..",".."
"78","REIS",,,"136","1,664","142","1,738","..",".."
"79","DE ANDRADE",,,"133","1,628","190","2,325","..",".."
"80","VIANA",,,"133","1,628","111","1,358","..",".."
"81","DE MELO",,,"130","1,591","165","2,019","..",".."
"82","TORRES",,,"128","1,566","72","0,881","..",".."
"83","DE CASTRO",,,"126","1,542","136","1,664","..",".."
"84","DOS REIS",,,"125","1,530","145","1,775","..",".."
"85","MAGALHAES",,,"124","1,518","114","1,395","..",".."
"86","MELO",,,"123","1,505","136","1,664","..",".."
"87","BRITO",,,"121","1,481","135","1,652","..",".."
"88","MOURA",,,"121","1,481","95","1,163","..",".."
"89","MORAES",,,"120","1,469","102","1,248","..",".."
"90","XAVIER",,,"120","1,469","97","1,187","..",".."
"91","FARIAS",,,"119","1,456","82","1,004","..",".."
"92","FONSECA",,,"117","1,432","95","1,163","..",".."
"93","MORAIS",,,"115","1,407","98","1,199","..",".."
"94","MEDEIROS",,,"113","1,383","81","0,991","..",".."
"95","CHAVES",,,"110","1,346","102","1,248","..",".."
"96","CARNEIRO",,,"110","1,346","79","0,967","..",".."
"97","MACEDO",,,"109","1,334","95","1,163","..",".."
"98","DA CONCEICAO",,,"108","1,322","53","0,649","..",".."
"99","MACIEL",,,"106","1,297","88","1,077","..",".."
"100","CASTRO",,,"106","1,297","83","1,016","..",".."
"101","DANTAS",,,"105","1,285","76","0,930","..",".."
"102","SALES",,,"105","1,285","67","0,820","..",".."
"103","AZEVEDO",,,"104","1,273","70","0,857","..",".."
"104","SILVEIRA",,,"104","1,273","70","0,857","..",".."
"105","BRAGA",,,"103","1,261","101","1,236","..",".."
"106","CRUZ",,,"102","1,248","115","1,407","..",".."
"107","DA ROCHA",,,"101","1,236","183","2,240","..",".."
"108","QUEIROZ",,,"101","1,236","77","0,942","..",".."
"109","DE MOURA",,,"98","1,199","83","1,016","..",".."
"110","MATOS",,,"97","1,187","81","0,991","..",".."
"111","DO CARMO",,,"97","1,187","67","0,820","..",".."
"112","CUNHA",,,"95","1,163","101","1,236","..",".."
"113","LEAL",,,"93","1,138","88","1,077","..",".."
"114","MENEZES",,,"93","1,138","49","0,600","..",".."
"115","CAVALCANTE",,,"91","1,114","83","1,016","..",".."
"116","ANTUNES",,,"91","1,114","36","0,441","..",".."
"117","CANDIDO",,,"91","1,114","33","0,404","..",".."
"118","DE MORAES",,,"89","1,089","116","1,420","..",".."
"119","BUENO",,,"89","1,089","75","0,918","..",".."
"120","AMORIM",,,"87","1,065","82","1,004","..",".."
"121","JOSE",,,"86","1,052","6","0,073","..",".."
"122","DE MORAIS",,,"85","1,040","125","1,530","..",".."
"123","AMARAL",,,"85","1,040","85","1,040","..",".."
"124","BARRETO",,,"85","1,040","71","0,869","..",".."
"125","CAETANO",,,"85","1,040","45","0,551","..",".."
"126","EVANGELISTA",,,"85","1,040","39","0,477","..",".."
"127","AGUIAR",,,"83","1,016","69","0,844","..",".."
"128","CABRAL",,,"83","1,016","69","0,844","..",".."
"129","FRANCISCO",,,"82","1,004","39","0,477","..",".."
"130","DA CUNHA",,,"81","0,991","95","1,163","..",".."
"131","FELIX",,,"81","0,991","39","0,477","..",".."
"132","SANTIAGO",,,"79","0,967","64","0,783","..",".."
"133","BRANDAO",,,"77","0,942","74","0,906","..",".."
"134","SAMPAIO",,,"76","0,930","80","0,979","..",".."
"135","MAIA",,,"74","0,906","85","1,040","..",".."
"136","MOTA",,,"71","0,869","80","0,979","..",".."
"137","FREIRE",,,"71","0,869","54","0,661","..",".."
"138","ELIAS",,,"71","0,869","33","0,404","..",".."
"139","DOS ANJOS",,,"70","0,857","73","0,893","..",".."
"140","MARINHO",,,"70","0,857","64","0,783","..",".."
"141","FIGUEIREDO",,,"70","0,857","51","0,624","..",".."
"142","DOMINGOS",,,"70","0,857","21","0,257","..",".."
"143","BISPO",,,"69","0,844","34","0,416","..",".."
"144","RODRIGUEZ",,,"68","0,832","48","0,587","..",".."
"145","CAMARGO",,,"66","0,808","60","0,734","..",".."
"146","VASCONCELOS",,,"65","0,795","52","0,636","..",".."
"147","LEMOS",,,"65","0,795","51","0,624","..",".."
"148","FRANCA",,,"65","0,795","49","0,600","..",".."
"149","PAULINO",,,"65","0,795","36","0,441","..",".."
"150","SIMOES",,,"65","0,795","35","0,428","..",".."
"151","BASTOS",,,"64","0,783","74","0,906","..",".."
"152","FRANCO",,,"64","0,783","50","0,612","..",".."
"153","MESQUITA",,,"64","0,783","50","0,612","..",".."
"154","TELES",,,"64","0,783","26","0,318","..",".."
"155","DE SANTANA",,,"63","0,771","84","1,028","..",".."
"156","CHAGAS",,,"63","0,771","49","0,600","..",".."
"157","CONCEICAO",,,"63","0,771","34","0,416","..",".."
"158","GUEDES",,,"62","0,759","49","0,600","..",".."
"159","REZENDE",,,"61","0,747","43","0,526","..",".."
"160","ABREU",,,"59","0,722","37","0,453","..",".."
"161","PEIXOTO",,,"58","0,710","59","0,722","..",".."
"162","DUTRA",,,"58","0,710","49","0,600","..",".."
"163","MENDONCA",,,"58","0,710","32","0,392","..",".."
"164","DINIZ",,,"57","0,698","81","0,991","..",".."
"165","DE BARROS",,,"57","0,698","66","0,808","..",".."
"166","DE ASSIS",,,"56","0,685","73","0,893","..",".."
"167","JESUS",,,"56","0,685","17","0,208","..",".."
"168","PAIVA",,,"55","0,673","52","0,636","..",".."
"169","LACERDA",,,"54","0,661","36","0,441","..",".."
"170","FEITOSA",,,"53","0,649","59","0,722","..",".."
"171","LEMES",,,"53","0,649","41","0,502","..",".."
"172","SENA",,,"53","0,649","29","0,355","..",".."
"173","FARIA",,,"52","0,636","62","0,759","..",".."
"174","BARBOZA",,,"52","0,636","22","0,269","..",".."
"175","MUNIZ",,,"51","0,624","44","0,538","..",".."
"176","FAGUNDES",,,"50","0,612","31","0,379","..",".."
"177","GONZAGA",,,"50","0,612","26","0,318","..",".."
"178","COUTINHO",,,"49","0,600","52","0,636","..",".."
"179","LOURENCO",,,"49","0,600","36","0,441","..",".."
"180","PERES",,,"49","0,600","21","0,257","..",".."
"181","ALEXANDRE",,,"49","0,600","18","0,220","..",".."
"182","BERNARDO",,,"48","0,587","24","0,294","..",".."
"183","LUIZ",,,"48","0,587","24","0,294","..",".."
