"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Cabo Verde                        ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","GOMES",,,"143","51,906","76","27,586","..",".."
"2","MONTEIRO",,,"121","43,920","91","33,031","..",".."
"3","DOS SANTOS",,,"116","42,105","70","25,408","..",".."
"4","LOPES",,,"103","37,387","78","28,312","..",".."
"5","SILVA",,,"88","31,942","60","21,779","..",".."
"6","DELGADO",,,"84","30,490","49","17,786","..",".."
"7","TAVARES",,,"79","28,675","59","21,416","..",".."
"8","MENDES",,,"78","28,312","19","6,897","..",".."
"9","DA CRUZ",,,"76","27,586","29","10,526","..",".."
"10","FORTES",,,"62","22,505","69","25,045","..",".."
"11","ROCHA",,,"48","17,423","41","14,882","..",".."
"12","PEREIRA",,,"48","17,423","26","9,437","..",".."
"13","ALMEIDA",,,"47","17,060","28","10,163","..",".."
"14","SANTOS",,,"47","17,060","23","8,348","..",".."
"15","VARELA",,,"46","16,697","59","21,416","..",".."
"16","RODRIGUES",,,"46","16,697","49","17,786","..",".."
"17","LIMA",,,"46","16,697","33","11,978","..",".."
"18","SOARES",,,"46","16,697","32","11,615","..",".."
"19","NEVES",,,"46","16,697","31","11,252","..",".."
"20","DUARTE",,,"44","15,971","25","9,074","..",".."
"21","SEMEDO",,,"41","14,882","55","19,964","..",".."
"22","RAMOS",,,"40","14,519","45","16,334","..",".."
"23","DOS REIS",,,"39","14,156","26","9,437","..",".."
"24","SANCHES",,,"34","12,341","32","11,615","..",".."
"25","CORREIA",,,"30","10,889","35","12,704","..",".."
"26","DA LUZ",,,"30","10,889","33","11,978","..",".."
"27","DO ROSARIO",,,"30","10,889","25","9,074","..",".."
"28","ANDRADE",,,"29","10,526","33","11,978","..",".."
"29","GONCALVES",,,"29","10,526","31","11,252","..",".."
"30","SOUSA",,,"29","10,526","15","5,445","..",".."
"31","FERNANDES",,,"28","10,163","22","7,985","..",".."
"32","DIAS",,,"27","9,800","30","10,889","..",".."
"33","DA SILVA",,,"27","9,800","22","7,985","..",".."
"34","DE BRITO",,,"26","9,437","32","11,615","..",".."
"35","CABRAL",,,"25","9,074","19","6,897","..",".."
"36","PIRES",,,"25","9,074","13","4,719","..",".."
"37","FERREIRA",,,"22","7,985","31","11,252","..",".."
"38","FONSECA",,,"22","7,985","11","3,993","..",".."
"39","BRITO",,,"21","7,623","16","5,808","..",".."
"40","VIEIRA",,,"21","7,623","..","..","..",".."
"41","DA VEIGA",,,"20","7,260","24","8,711","..",".."
"42","MOREIRA",,,"19","6,897","22","7,985","..",".."
"43","MARTINS",,,"18","6,534","29","10,526","..",".."
"44","DA GRACA",,,"17","6,171","5","1,815","..",".."
"45","ALVES",,,"16","5,808","16","5,808","..",".."
"46","BORGES",,,"16","5,808","13","4,719","..",".."
"47","VAZ",,,"16","5,808","8","2,904","..",".."
"48","DE PINA",,,"15","5,445","8","2,904","..",".."
"49","TEIXEIRA",,,"15","5,445","5","1,815","..",".."
"50","FIDALGO",,,"14","5,082","23","8,348","..",".."
"51","OLIVEIRA",,,"14","5,082","17","6,171","..",".."
"52","NASCIMENTO",,,"14","5,082","5","1,815","..",".."
"53","BARBOSA",,,"13","4,719","31","11,252","..",".."
"54","EVORA",,,"12","4,356","12","4,356","..",".."
"55","COSTA",,,"12","4,356","9","3,267","..",".."
"56","BARROS",,,"11","3,993","8","2,904","..",".."
"57","FURTADO",,,"10","3,630","22","7,985","..",".."
"58","MEDINA",,,"10","3,630","10","3,630","..",".."
"59","MORENO",,,"9","3,267","8","2,904","..",".."
"60","DA COSTA",,,"9","3,267","6","2,178","..",".."
"61","RIBEIRO",,,"9","3,267","..","..","..",".."
"62","CARDOSO",,,"8","2,904","13","4,719","..",".."
"63","DA MOURA",,,"8","2,904","7","2,541","..",".."
"64","COELHO",,,"8","2,904","6","2,178","..",".."
"65","HORTA",,,"7","2,541","6","2,178","..",".."
"66","VEIGA",,,"7","2,541","5","1,815","..",".."
"67","DINIZ",,,"7","2,541","..","..","..",".."
"68","JARDIM",,,"7","2,541","..","..","..",".."
"69","JESUS",,,"7","2,541","..","..","..",".."
"70","CONCEICAO",,,"6","2,178","6","2,178","..",".."
"71","BAPTISTA",,,"6","2,178","5","1,815","..",".."
"72","CHANTRE",,,"6","2,178","..","..","..",".."
"73","DE JESUS",,,"6","2,178","..","..","..",".."
"74","PINTO",,,"5","1,815","10","3,630","..",".."
"75","CRUZ",,,"5","1,815","..","..","..",".."
"76","FREIRE",,,"5","1,815","..","..","..",".."
"77","SPENCER",,,"5","1,815","..","..","..",".."
"78","DE OLIVEIRA",,,"..","..","9","3,267","..",".."
"79","SANTANA",,,"..","..","9","3,267","..",".."
"80","GONÇALVES",,,"..","..","8","2,904","..",".."
"81","MIRANDA",,,"..","..","8","2,904","..",".."
"82","CARVALHO",,,"..","..","7","2,541","..",".."
"83","GARCIA",,,"..","..","7","2,541","..",".."
"84","LANDIM",,,"..","..","7","2,541","..",".."
"85","LEAL",,,"..","..","7","2,541","..",".."
"86","ALMADA",,,"..","..","5","1,815","..",".."
"87","ARAUJO",,,"..","..","5","1,815","..",".."
"88","GUILHERME",,,"..","..","5","1,815","..",".."
"89","MORAIS",,,"..","..","5","1,815","..",".."
"90","MOTA",,,"..","..","5","1,815","..",".."
"91","TIBURCIO",,,"..","..","5","1,815","..",".."
"NOTAS:",
"0) Por secreto estadístico sólo se muestran los apellidos cuya frecuencia es mayor que 5 en alguno de los dos apellidos para el total nacional. Para las nacionalidades seleccionadas se exige además una frecuencia de al menos 5 en alguno de los dos apellidos. Por esta razón, la frecuencia total para algunos apellidos puede no ser igual a la suma de las nacionalidades que se muestran.  ",,,,,,,,,,,,
"1) Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018",,,,,,,,,,,,

