"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Chile                             ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","GONZALEZ",,,"476","18,650","542","21,236","18","0,705"
"2","MUÑOZ",,,"431","16,887","384","15,045","10","0,392"
"3","ROJAS",,,"285","11,166","310","12,146","6","0,235"
"4","DIAZ",,,"265","10,383","295","11,558","5","0,196"
"5","PEREZ",,,"229","8,972","243","9,521","7","0,274"
"6","SILVA",,,"216","8,463","206","8,071","6","0,235"
"7","RAMIREZ",,,"203","7,954","163","6,386","..",".."
"8","MORALES",,,"193","7,562","198","7,758","..",".."
"9","RODRIGUEZ",,,"189","7,405","184","7,209","8","0,313"
"10","SOTO",,,"179","7,013","185","7,248","8","0,313"
"11","LOPEZ",,,"178","6,974","184","7,209","..",".."
"12","ESPINOZA",,,"173","6,778","156","6,112","..",".."
"13","CONTRERAS",,,"169","6,621","177","6,935","..",".."
"14","SEPULVEDA",,,"169","6,621","152","5,955","5","0,196"
"15","MARTINEZ",,,"167","6,543","162","6,347","..",".."
"16","FUENTES",,,"156","6,112","152","5,955","..",".."
"17","GOMEZ",,,"154","6,034","124","4,858","..",".."
"18","HERNANDEZ",,,"152","5,955","162","6,347","9","0,353"
"19","VALENZUELA",,,"152","5,955","151","5,916","..",".."
"20","FERNANDEZ",,,"146","5,720","144","5,642","..",".."
"21","FLORES",,,"145","5,681","169","6,621","..",".."
"22","ALVAREZ",,,"144","5,642","120","4,702","..",".."
"23","REYES",,,"142","5,564","122","4,780","..",".."
"24","GUTIERREZ",,,"140","5,485","122","4,780","..",".."
"25","VASQUEZ",,,"137","5,368","127","4,976","..",".."
"26","HERRERA",,,"136","5,329","133","5,211","..",".."
"27","NUÑEZ",,,"135","5,289","137","5,368","..",".."
"28","TAPIA",,,"131","5,133","120","4,702","..",".."
"29","CASTRO",,,"129","5,054","124","4,858","..",".."
"30","FIGUEROA",,,"128","5,015","119","4,662","..",".."
"31","CASTILLO",,,"127","4,976","113","4,427","..",".."
"32","ARAYA",,,"126","4,937","138","5,407","..",".."
"33","BRAVO",,,"121","4,741","113","4,427","..",".."
"34","VARGAS",,,"120","4,702","130","5,093","..",".."
"35","VERGARA",,,"119","4,662","120","4,702","..",".."
"36","TORRES",,,"118","4,623","174","6,817","..",".."
"37","SANCHEZ",,,"116","4,545","155","6,073","5","0,196"
"38","OLIVARES",,,"112","4,388","116","4,545","..",".."
"39","MIRANDA",,,"111","4,349","87","3,409","..",".."
"40","VERA",,,"110","4,310","90","3,526","..",".."
"41","RIVERA",,,"109","4,271","101","3,957","..",".."
"42","VEGA",,,"108","4,231","86","3,370","..",".."
"43","RIQUELME",,,"107","4,192","79","3,095","..",".."
"44","CARRASCO",,,"105","4,114","96","3,761","..",".."
"45","ORTIZ",,,"100","3,918","88","3,448","..",".."
"46","GARCIA",,,"99","3,879","136","5,329","..",".."
"47","ZUÑIGA",,,"96","3,761","88","3,448","..",".."
"48","CORTES",,,"95","3,722","111","4,349","5","0,196"
"49","ORELLANA",,,"94","3,683","107","4,192","..",".."
"50","ESCOBAR",,,"94","3,683","87","3,409","..",".."
"51","MOLINA",,,"91","3,565","107","4,192","..",".."
"52","SALINAS",,,"88","3,448","63","2,468","..",".."
"53","PIZARRO",,,"85","3,330","87","3,409","..",".."
"54","GUZMAN",,,"84","3,291","103","4,036","..",".."
"55","PEÑA",,,"83","3,252","62","2,429","..",".."
"56","JARA",,,"80","3,134","82","3,213","..",".."
"57","CALDERON",,,"80","3,134","56","2,194","..",".."
"58","GARRIDO",,,"79","3,095","65","2,547","..",".."
"59","CACERES",,,"79","3,095","62","2,429","..",".."
"60","NAVARRO",,,"78","3,056","88","3,448","..",".."
"61","ROMERO",,,"75","2,939","82","3,213","..",".."
"62","SAAVEDRA",,,"74","2,899","78","3,056","..",".."
"63","DONOSO",,,"73","2,860","66","2,586","..",".."
"64","HIDALGO",,,"72","2,821","52","2,037","..",".."
"65","AGUILERA",,,"71","2,782","74","2,899","..",".."
"66","MORENO",,,"70","2,743","79","3,095","..",".."
"67","TORO",,,"70","2,743","64","2,508","..",".."
"68","GALLARDO",,,"69","2,703","77","3,017","..",".."
"69","LEIVA",,,"69","2,703","75","2,939","..",".."
"70","ARAVENA",,,"68","2,664","69","2,703","..",".."
"71","RUIZ",,,"68","2,664","58","2,272","..",".."
"72","MENDEZ",,,"66","2,586","50","1,959","..",".."
"73","PINO",,,"65","2,547","61","2,390","..",".."
"74","CAMPOS",,,"64","2,508","89","3,487","..",".."
"75","VILLARROEL",,,"64","2,508","67","2,625","..",".."
"76","VALDES",,,"64","2,508","64","2,508","..",".."
"77","CERDA",,,"64","2,508","59","2,312","..",".."
"78","SALAZAR",,,"62","2,429","61","2,390","..",".."
"79","PARRA",,,"61","2,390","69","2,703","..",".."
"80","ARANCIBIA",,,"60","2,351","61","2,390","..",".."
"81","BUSTOS",,,"60","2,351","59","2,312","..",".."
"82","ALARCON",,,"59","2,312","83","3,252","..",".."
"83","ASTUDILLO",,,"59","2,312","44","1,724","..",".."
"84","JIMENEZ",,,"58","2,272","79","3,095","..",".."
"85","LAGOS",,,"58","2,272","59","2,312","..",".."
"86","SAN MARTIN",,,"58","2,272","54","2,116","..",".."
"87","BUSTAMANTE",,,"58","2,272","53","2,077","..",".."
"88","CARVAJAL",,,"58","2,272","51","1,998","..",".."
"89","LEON",,,"58","2,272","51","1,998","..",".."
"90","FARIAS",,,"57","2,233","62","2,429","..",".."
"91","GODOY",,,"57","2,233","58","2,272","..",".."
"92","SANDOVAL",,,"56","2,194","86","3,370","..",".."
"93","ACUÑA",,,"56","2,194","43","1,685","..",".."
"94","RIOS",,,"55","2,155","52","2,037","..",".."
"95","VIDAL",,,"54","2,116","66","2,586","..",".."
"96","RAMOS",,,"54","2,116","64","2,508","..",".."
"97","MEDINA",,,"54","2,116","51","1,998","..",".."
"98","AHUMADA",,,"54","2,116","36","1,410","..",".."
"99","CABRERA",,,"53","2,077","68","2,664","..",".."
"100","MALDONADO",,,"53","2,077","58","2,272","..",".."
"101","PAREDES",,,"53","2,077","46","1,802","..",".."
"102","PALMA",,,"52","2,037","47","1,841","..",".."
"103","CORREA",,,"52","2,037","44","1,724","..",".."
"104","SALAS",,,"51","1,998","45","1,763","..",".."
