"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: China                             ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","CHEN",,,"22.657","104,908","287","1,329","34","0,157"
"2","WANG",,,"12.522","57,980","164","0,759","11","0,051"
"3","LIN",,,"12.366","57,258","162","0,750","5","0,023"
"4","ZHANG",,,"10.832","50,155","123","0,570","..",".."
"5","LI",,,"8.905","41,233","50","0,232","..",".."
"6","YE",,,"8.609","39,862","140","0,648","6","0,028"
"7","XU",,,"8.447","39,112","110","0,509","5","0,023"
"8","LIU",,,"7.989","36,991","80","0,370","8","0,037"
"9","WU",,,"7.619","35,278","108","0,500","9","0,042"
"10","ZHOU",,,"7.092","32,838","114","0,528","8","0,037"
"11","ZHU",,,"5.753","26,638","74","0,343","..",".."
"12","ZHENG",,,"5.612","25,985","81","0,375","5","0,023"
"13","YANG",,,"4.770","22,086","61","0,282","..",".."
"14","HUANG",,,"4.502","20,845","53","0,245","..",".."
"15","JIANG",,,"4.222","19,549","46","0,213","..",".."
"16","JIN",,,"4.141","19,174","61","0,282","..",".."
"17","HU",,,"3.535","16,368","53","0,245","..",".."
"18","JI",,,"3.072","14,224","37","0,171","..",".."
"19","SUN",,,"2.854","13,215","40","0,185","..",".."
"20","QIU",,,"2.670","12,363","35","0,162","..",".."
"21","XIA",,,"2.567","11,886","48","0,222","..",".."
"22","YU",,,"2.365","10,951","17","0,079","..",".."
"23","PAN",,,"2.293","10,617","36","0,167","..",".."
"24","GUO",,,"2.271","10,515","27","0,125","..",".."
"25","CHENG",,,"2.255","10,441","32","0,148","..",".."
"26","ZHAO",,,"2.095","9,700","27","0,125","..",".."
"27","HE",,,"2.042","9,455","15","0,069","..",".."
"28","ZHAN",,,"1.698","7,862","28","0,130","..",".."
"29","LU",,,"1.425","6,598","17","0,079","..",".."
"30","GAO",,,"1.406","6,510","16","0,074","..",".."
"31","DONG",,,"1.404","6,501","19","0,088","..",".."
"32","CAI",,,"1.242","5,751","5","0,023","..",".."
"33","MA",,,"1.161","5,376","6","0,028","..",".."
"34","SHI",,,"1.127","5,218","..","..","..",".."
