"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Colombia                          ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","LOPEZ",,,"2.740","16,514","2.632","15,863","77","0,464"
"2","GARCIA",,,"2.638","15,899","2.612","15,743","67","0,404"
"3","RAMIREZ",,,"2.600","15,670","2.392","14,417","72","0,434"
"4","RODRIGUEZ",,,"2.563","15,447","2.485","14,977","74","0,446"
"5","GONZALEZ",,,"2.518","15,176","2.311","13,929","54","0,325"
"6","GOMEZ",,,"2.492","15,019","2.361","14,230","63","0,380"
"7","SANCHEZ",,,"2.101","12,663","2.072","12,488","21","0,127"
"8","VALENCIA",,,"1.928","11,620","1.796","10,825","36","0,217"
"9","MARTINEZ",,,"1.791","10,794","1.777","10,710","37","0,223"
"10","HERNANDEZ",,,"1.687","10,168","1.672","10,077","26","0,157"
"11","GIRALDO",,,"1.594","9,607","1.465","8,830","49","0,295"
"12","MUÑOZ",,,"1.425","8,589","1.497","9,023","26","0,157"
"13","DIAZ",,,"1.368","8,245","1.315","7,926","25","0,151"
"14","CARDONA",,,"1.295","7,805","1.284","7,739","32","0,193"
"15","PEREZ",,,"1.246","7,510","1.254","7,558","19","0,115"
"16","MARIN",,,"1.244","7,498","1.318","7,944","26","0,157"
"17","TORRES",,,"1.188","7,160","1.132","6,823","16","0,096"
"18","GUTIERREZ",,,"1.178","7,100","1.104","6,654","21","0,127"
"19","RESTREPO",,,"1.167","7,034","1.086","6,545","20","0,121"
"20","QUINTERO",,,"1.157","6,973","1.086","6,545","20","0,121"
"21","VARGAS",,,"1.119","6,744","1.038","6,256","15","0,090"
"22","ROJAS",,,"1.104","6,654","1.085","6,539","22","0,133"
"23","LONDOÑO",,,"1.091","6,576","1.057","6,371","24","0,145"
"24","OSORIO",,,"1.080","6,509","1.039","6,262","17","0,102"
"25","JIMENEZ",,,"1.078","6,497","963","5,804","6","0,036"
"26","MORENO",,,"1.042","6,280","964","5,810","12","0,072"
"27","ORTIZ",,,"1.029","6,202","1.105","6,660","10","0,060"
"28","ARIAS",,,"979","5,901","920","5,545","20","0,121"
"29","MONTOYA",,,"976","5,882","919","5,539","15","0,090"
"30","ALVAREZ",,,"974","5,870","874","5,268","15","0,090"
"31","OSPINA",,,"971","5,852","976","5,882","20","0,121"
"32","MEJIA",,,"956","5,762","919","5,539","11","0,066"
"33","SALAZAR",,,"947","5,708","869","5,238","16","0,096"
"34","ZAPATA",,,"922","5,557","917","5,527","19","0,115"
"35","MORALES",,,"921","5,551","953","5,744","18","0,108"
"36","JARAMILLO",,,"918","5,533","921","5,551","15","0,090"
"37","RUIZ",,,"896","5,400","896","5,400","7","0,042"
"38","HERRERA",,,"892","5,376","765","4,611","13","0,078"
"39","CASTAÑO",,,"836","5,039","802","4,834","16","0,096"
"40","HENAO",,,"835","5,033","845","5,093","23","0,139"
"41","CASTRO",,,"823","4,960","871","5,250","7","0,042"
"42","BEDOYA",,,"781","4,707","753","4,538","12","0,072"
"43","AGUDELO",,,"777","4,683","850","5,123","19","0,115"
"44","ESCOBAR",,,"753","4,538","680","4,098","6","0,036"
"45","RIVERA",,,"752","4,532","755","4,550","7","0,042"
"46","RIOS",,,"740","4,460","649","3,912","18","0,108"
"47","CORREA",,,"731","4,406","702","4,231","12","0,072"
"48","VELEZ",,,"721","4,346","643","3,875","7","0,042"
"49","SUAREZ",,,"675","4,068","631","3,803","8","0,048"
"50","ARANGO",,,"659","3,972","630","3,797","13","0,078"
"51","DUQUE",,,"649","3,912","586","3,532","7","0,042"
"52","VASQUEZ",,,"645","3,887","634","3,821","5","0,030"
"53","VELASQUEZ",,,"640","3,857","598","3,604","6","0,036"
"54","CORTES",,,"636","3,833","579","3,490","12","0,072"
"55","FLOREZ",,,"631","3,803","649","3,912","7","0,042"
"56","PARRA",,,"620","3,737","531","3,200","..",".."
"57","CASTILLO",,,"617","3,719","608","3,664","6","0,036"
"58","FRANCO",,,"592","3,568","567","3,417","6","0,036"
"59","CARDENAS",,,"587","3,538","493","2,971","10","0,060"
"60","OROZCO",,,"574","3,460","588","3,544","12","0,072"
"61","MOSQUERA",,,"567","3,417","492","2,965","16","0,096"
"62","ROMERO",,,"566","3,411","544","3,279","5","0,030"
"63","MOLINA",,,"547","3,297","524","3,158","..",".."
"64","GALLEGO",,,"539","3,249","497","2,995","6","0,036"
"65","OCAMPO",,,"527","3,176","561","3,381","10","0,060"
"66","HURTADO",,,"522","3,146","553","3,333","20","0,121"
"67","CASTAÑEDA",,,"520","3,134","477","2,875","6","0,036"
"68","MEDINA",,,"517","3,116","503","3,032","6","0,036"
"69","PEÑA",,,"513","3,092","396","2,387","6","0,036"
"70","AGUIRRE",,,"500","3,014","522","3,146","5","0,030"
"71","CAICEDO",,,"500","3,014","422","2,543","11","0,066"
"72","GUZMAN",,,"498","3,001","463","2,791","7","0,042"
"73","FERNANDEZ",,,"487","2,935","452","2,724","5","0,030"
"74","CRUZ",,,"480","2,893","435","2,622","..",".."
"75","ALZATE",,,"479","2,887","525","3,164","..",".."
"76","GIL",,,"469","2,827","391","2,357","..",".."
"77","PATIÑO",,,"464","2,797","476","2,869","..",".."
"78","TORO",,,"460","2,772","427","2,574","..",".."
"79","CANO",,,"456","2,748","427","2,574","..",".."
"80","TRUJILLO",,,"445","2,682","377","2,272","6","0,036"
"81","LOZANO",,,"439","2,646","419","2,525","..",".."
"82","SERNA",,,"428","2,580","423","2,549","5","0,030"
"83","GUERRERO",,,"419","2,525","415","2,501","..",".."
"84","RINCON",,,"418","2,519","375","2,260","..",".."
"85","MURILLO",,,"417","2,513","438","2,640","5","0,030"
"86","LOAIZA",,,"416","2,507","379","2,284","..",".."
"87","PINEDA",,,"415","2,501","365","2,200","5","0,030"
"88","SOTO",,,"397","2,393","382","2,302","..",".."
"89","ACOSTA",,,"394","2,375","383","2,308","..",".."
"90","ACEVEDO",,,"384","2,314","391","2,357","6","0,036"
"91","DELGADO",,,"383","2,308","357","2,152","..",".."
