"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Costa de Marfil                   ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","KONE",,,"248","68,132","..","..","..",".."
"2","TRAORE",,,"170","46,703","..","..","..",".."
"3","COULIBALY",,,"125","34,341","..","..","..",".."
"4","DOUMBIA",,,"97","26,648","..","..","..",".."
"5","FOFANA",,,"96","26,374","..","..","..",".."
"6","SIDIBE",,,"90","24,725","..","..","..",".."
"7","KONATE",,,"89","24,451","..","..","..",".."
"8","SANGARE",,,"84","23,077","..","..","..",".."
"9","BAMBA",,,"81","22,253","..","..","..",".."
"10","KEITA",,,"78","21,429","..","..","..",".."
"11","DIOMANDE",,,"74","20,330","..","..","..",".."
"12","OUATTARA",,,"70","19,231","..","..","..",".."
"13","DIAKITE",,,"69","18,956","..","..","..",".."
"14","TOURE",,,"69","18,956","..","..","..",".."
"15","CISSE",,,"62","17,033","..","..","..",".."
"16","SANOGO",,,"46","12,637","..","..","..",".."
"17","CAMARA",,,"43","11,813","..","..","..",".."
"18","BAKAYOKO",,,"40","10,989","..","..","..",".."
"19","SYLLA",,,"40","10,989","..","..","..",".."
"20","DIARRA",,,"37","10,165","..","..","..",".."
"21","SOUMAHORO",,,"37","10,165","..","..","..",".."
"22","KOUAME",,,"34","9,341","..","..","..",".."
"23","DIARRASSOUBA",,,"31","8,516","..","..","..",".."
"24","DIABATE",,,"29","7,967","..","..","..",".."
"25","KOFFI",,,"27","7,418","..","..","..",".."
"26","KOUADIO",,,"27","7,418","..","..","..",".."
"27","KOUASSI",,,"24","6,593","..","..","..",".."
"28","YAO",,,"22","6,044","..","..","..",".."
"29","DOSSO",,,"21","5,769","..","..","..",".."
"30","DIABY",,,"20","5,495","..","..","..",".."
"31","DIALLO",,,"18","4,945","..","..","..",".."
"32","BALLO",,,"17","4,670","..","..","..",".."
"33","KOUAKOU",,,"17","4,670","..","..","..",".."
"34","SAKO",,,"17","4,670","..","..","..",".."
"35","SAMAKE",,,"17","4,670","..","..","..",".."
"36","CHERIF",,,"16","4,396","..","..","..",".."
"37","DOUKOURE",,,"16","4,396","..","..","..",".."
"38","AKA",,,"15","4,121","..","..","..",".."
"39","KAMAGATE",,,"15","4,121","..","..","..",".."
"40","KAMARA",,,"13","3,571","..","..","..",".."
"41","BERTE",,,"12","3,297","..","..","..",".."
"42","KABA",,,"11","3,022","..","..","..",".."
"43","KANTE",,,"11","3,022","..","..","..",".."
"44","NGUESSAN",,,"11","3,022","..","..","..",".."
"45","BERTHE",,,"10","2,747","..","..","..",".."
"46","SILUE",,,"10","2,747","..","..","..",".."
"47","FANNY",,,"9","2,473","..","..","..",".."
"48","KARAMOKO",,,"9","2,473","..","..","..",".."
"49","KONAN",,,"9","2,473","..","..","..",".."
"50","MAMADOU",,,"9","2,473","..","..","..",".."
"51","DEMBELE",,,"8","2,198","..","..","..",".."
"52","MEITE",,,"8","2,198","..","..","..",".."
"53","ABDOULAYE",,,"7","1,923","..","..","..",".."
"54","DIAWARA",,,"7","1,923","..","..","..",".."
"55","DOUMBOUYA",,,"7","1,923","..","..","..",".."
"56","KOUROUMA",,,"7","1,923","..","..","..",".."
"57","YEO",,,"7","1,923","..","..","..",".."
"58","BAKARY",,,"6","1,648","..","..","..",".."
"59","DOUCOURE",,,"6","1,648","..","..","..",".."
"60","GBANE",,,"6","1,648","..","..","..",".."
"61","KAMATE",,,"6","1,648","..","..","..",".."
"62","KOSSONOU",,,"6","1,648","..","..","..",".."
"63","KOUABENA",,,"6","1,648","..","..","..",".."
"64","ADAMA",,,"5","1,374","..","..","..",".."
"65","AKE",,,"5","1,374","..","..","..",".."
"66","DAGNOGO",,,"5","1,374","..","..","..",".."
"67","DIANE",,,"5","1,374","..","..","..",".."
"68","GAKOU",,,"5","1,374","..","..","..",".."
"69","KAMISSOKO",,,"5","1,374","..","..","..",".."
"70","KANE",,,"5","1,374","..","..","..",".."
"71","KOBINA",,,"5","1,374","..","..","..",".."
"72","MOHAMED",,,"5","1,374","..","..","..",".."
"NOTAS:",
"0) Por secreto estadístico sólo se muestran los apellidos cuya frecuencia es mayor que 5 en alguno de los dos apellidos para el total nacional. Para las nacionalidades seleccionadas se exige además una frecuencia de al menos 5 en alguno de los dos apellidos. Por esta razón, la frecuencia total para algunos apellidos puede no ser igual a la suma de las nacionalidades que se muestran.  ",,,,,,,,,,,,
"1) Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018",,,,,,,,,,,,

