"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Eslovenia                         ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","BIZJAK",,,"8","5,344","..","..","..",".."
"2","NOVAK",,,"8","5,344","..","..","..",".."
"3","BREZNIK",,,"6","4,008","..","..","..",".."
"4","KRAJNC",,,"6","4,008","..","..","..",".."
"5","KURINCIC",,,"6","4,008","..","..","..",".."
"6","LOZAR",,,"6","4,008","..","..","..",".."
"7","DOLINSEK",,,"5","3,340","..","..","..",".."
"8","HABIBOVIC",,,"5","3,340","..","..","..",".."
"9","KOVACIC",,,"5","3,340","..","..","..",".."
"10","MARKOVIC",,,"5","3,340","..","..","..",".."
"11","PODGORSEK",,,"5","3,340","..","..","..",".."
"12","STEFANCIC",,,"5","3,340","..","..","..",".."
"13","ZUPANCIC",,,"5","3,340","..","..","..",".."
"NOTAS:",
"0) Por secreto estadístico sólo se muestran los apellidos cuya frecuencia es mayor que 5 en alguno de los dos apellidos para el total nacional. Para las nacionalidades seleccionadas se exige además una frecuencia de al menos 5 en alguno de los dos apellidos. Por esta razón, la frecuencia total para algunos apellidos puede no ser igual a la suma de las nacionalidades que se muestran.  ",,,,,,,,,,,,
"1) Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018",,,,,,,,,,,,

