"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Filipinas                         ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","RAMOS",,,"222","6,534","222","6,534","..",".."
"2","GARCIA",,,"200","5,886","193","5,680","..",".."
"3","BAUTISTA",,,"198","5,827","144","4,238","8","0,235"
"4","MENDOZA",,,"190","5,592","159","4,679","..",".."
"5","DE LA CRUZ",,,"183","5,386","152","4,473","..",".."
"6","CASTILLO",,,"135","3,973","110","3,237","..",".."
"7","FERNANDEZ",,,"134","3,944","89","2,619","..",".."
"8","VILLANUEVA",,,"132","3,885","112","3,296","..",".."
"9","REYES",,,"127","3,738","141","4,150","..",".."
"10","MANALO",,,"122","3,591","105","3,090","..",".."
"11","LOPEZ",,,"121","3,561","96","2,825","..",".."
"12","HERNANDEZ",,,"117","3,443","80","2,354","..",".."
"13","SANTOS",,,"114","3,355","81","2,384","..",".."
"14","AQUINO",,,"113","3,326","101","2,973","..",".."
"15","FLORES",,,"113","3,326","92","2,708","..",".."
"16","DOMINGO",,,"109","3,208","81","2,384","..",".."
"17","GONZALES",,,"107","3,149","71","2,090","..",".."
"18","DE GUZMAN",,,"104","3,061","103","3,031","..",".."
"19","VALDEZ",,,"101","2,973","101","2,973","..",".."
"20","RIVERA",,,"94","2,766","97","2,855","..",".."
"21","CRUZ",,,"94","2,766","71","2,090","..",".."
"22","SORIANO",,,"88","2,590","64","1,884","..",".."
"23","PEREZ",,,"87","2,560","75","2,207","..",".."
"24","PASCUA",,,"81","2,384","61","1,795","..",".."
"25","CORPUZ",,,"79","2,325","82","2,413","..",".."
"26","AUSTRIA",,,"78","2,296","73","2,148","..",".."
"27","TOLENTINO",,,"74","2,178","51","1,501","..",".."
"28","CASTRO",,,"71","2,090","68","2,001","..",".."
"29","TORRES",,,"68","2,001","45","1,324","..",".."
"30","MARTINEZ",,,"63","1,854","86","2,531","..",".."
"31","SANCHEZ",,,"63","1,854","54","1,589","..",".."
"32","RAMIREZ",,,"61","1,795","56","1,648","..",".."
"33","MERCADO",,,"61","1,795","47","1,383","..",".."
"34","ANTONIO",,,"57","1,678","51","1,501","..",".."
"35","PASCUAL",,,"55","1,619","49","1,442","..",".."
"36","JAVIER",,,"55","1,619","45","1,324","..",".."
"37","DE LEON",,,"54","1,589","70","2,060","..",".."
"38","VELASCO",,,"54","1,589","55","1,619","..",".."
"39","PERALTA",,,"54","1,589","50","1,472","..",".."
"40","ARELLANO",,,"54","1,589","35","1,030","..",".."
"41","ILAGAN",,,"53","1,560","46","1,354","..",".."
"42","AGUILAR",,,"51","1,501","41","1,207","..",".."
"43","DIAZ",,,"50","1,472","43","1,266","..",".."
"44","SANTIAGO",,,"50","1,472","40","1,177","..",".."
"45","CORTEZ",,,"49","1,442","43","1,266","..",".."
"46","AGUSTIN",,,"47","1,383","59","1,736","..",".."
"47","ANDRES",,,"47","1,383","44","1,295","..",".."
"48","ATIENZA",,,"47","1,383","27","0,795","..",".."
"49","PADILLA",,,"46","1,354","34","1,001","..",".."
"50","SARMIENTO",,,"46","1,354","34","1,001","..",".."
"51","CARINGAL",,,"45","1,324","48","1,413","..",".."
"52","DIZON",,,"45","1,324","34","1,001","..",".."
"53","MARQUEZ",,,"45","1,324","33","0,971","..",".."
"54","SALVADOR",,,"45","1,324","31","0,912","..",".."
"55","DELA CRUZ",,,"45","1,324","28","0,824","..",".."
"56","EVANGELISTA",,,"45","1,324","28","0,824","..",".."
"57","GUTIERREZ",,,"45","1,324","24","0,706","..",".."
"58","SABADO",,,"44","1,295","46","1,354","..",".."
"59","ESPIRITU",,,"44","1,295","39","1,148","..",".."
"60","MANZANO",,,"44","1,295","38","1,118","..",".."
"61","ENRIQUEZ",,,"44","1,295","31","0,912","..",".."
"62","DALISAY",,,"44","1,295","24","0,706","..",".."
"63","RODRIGUEZ",,,"43","1,266","39","1,148","..",".."
"64","MANUEL",,,"42","1,236","47","1,383","..",".."
"65","ALVAREZ",,,"42","1,236","30","0,883","..",".."
"66","ROMERO",,,"41","1,207","32","0,942","..",".."
"67","ASILO",,,"40","1,177","29","0,853","..",".."
"68","DE CASTRO",,,"39","1,148","28","0,824","..",".."
"69","MARIANO",,,"38","1,118","43","1,266","..",".."
"70","BRIONES",,,"38","1,118","31","0,912","..",".."
"71","ANCHETA",,,"37","1,089","54","1,589","..",".."
"72","ROSALES",,,"36","1,060","51","1,501","..",".."
"73","MARASIGAN",,,"35","1,030","44","1,295","..",".."
"74","MIRANDA",,,"35","1,030","42","1,236","..",".."
"75","FRANCISCO",,,"35","1,030","36","1,060","..",".."
"76","JIMENEZ",,,"35","1,030","29","0,853","..",".."
"77","OCAMPO",,,"34","1,001","39","1,148","..",".."
"78","DEL ROSARIO",,,"34","1,001","37","1,089","..",".."
"79","SISON",,,"34","1,001","33","0,971","..",".."
"80","PINEDA",,,"34","1,001","18","0,530","..",".."
"81","VENTURA",,,"33","0,971","34","1,001","..",".."
"82","GABRIEL",,,"33","0,971","31","0,912","..",".."
"83","MORALES",,,"33","0,971","27","0,795","..",".."
"84","VICENTE",,,"33","0,971","18","0,530","..",".."
"85","FERRER",,,"32","0,942","27","0,795","..",".."
"86","GUEVARRA",,,"32","0,942","16","0,471","..",".."
"87","JOSE",,,"32","0,942","15","0,441","..",".."
"88","NAVARRO",,,"31","0,912","40","1,177","..",".."
"89","ASUNCION",,,"31","0,912","25","0,736","..",".."
"90","JACOB",,,"31","0,912","25","0,736","..",".."
"91","HIDALGO",,,"30","0,883","25","0,736","..",".."
"92","BUENO",,,"30","0,883","24","0,706","..",".."
"93","ALVARADO",,,"30","0,883","14","0,412","..",".."
"94","DE LOS REYES",,,"29","0,853","37","1,089","..",".."
"95","MOLINA",,,"29","0,853","21","0,618","..",".."
"96","SAMSON",,,"29","0,853","19","0,559","..",".."
"97","DIMAANO",,,"29","0,853","16","0,471","..",".."
"98","MUÑOZ",,,"29","0,853","6","0,177","..",".."
"99","BALLESTEROS",,,"28","0,824","41","1,207","..",".."
"100","TORIO",,,"28","0,824","27","0,795","..",".."
"101","CABRERA",,,"28","0,824","24","0,706","..",".."
"102","DIMAYUGA",,,"28","0,824","22","0,647","..",".."
"103","MEDINA",,,"28","0,824","18","0,530","..",".."
"104","SALCEDO",,,"28","0,824","18","0,530","..",".."
"105","CARIÑO",,,"28","0,824","14","0,412","..",".."
"106","DE VILLA",,,"28","0,824","14","0,412","..",".."
"107","GAMBOA",,,"28","0,824","12","0,353","..",".."
"108","LANDICHO",,,"27","0,795","31","0,912","..",".."
"109","MARTIN",,,"27","0,795","25","0,736","..",".."
"110","TOMAS",,,"27","0,795","17","0,500","..",".."
"111","VIERNES",,,"27","0,795","11","0,324","..",".."
"112","VALENCIA",,,"26","0,765","53","1,560","..",".."
"113","ACOSTA",,,"26","0,765","26","0,765","..",".."
"114","CORDERO",,,"26","0,765","23","0,677","..",".."
"115","ANGELES",,,"26","0,765","22","0,647","..",".."
"116","CARIAGA",,,"26","0,765","19","0,559","..",".."
"117","IGNACIO",,,"26","0,765","19","0,559","..",".."
"118","ESTEBAN",,,"26","0,765","16","0,471","..",".."
"119","MIGUEL",,,"26","0,765","16","0,471","..",".."
"120","TUBON",,,"26","0,765","12","0,353","..",".."
"121","DE VERA",,,"25","0,736","34","1,001","..",".."
"122","MADRIAGA",,,"25","0,736","21","0,618","..",".."
"123","SANDOVAL",,,"25","0,736","21","0,618","..",".."
"124","BARRIENTOS",,,"25","0,736","20","0,589","..",".."
