"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Georgia",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","LIPARTELIANI",,,"236","15,674","..","..","..",".."
"2","MAISURADZE",,,"82","5,446","..","..","..",".."
"3","GELASHVILI",,,"79","5,247","..","..","..",".."
"4","KAPANADZE",,,"76","5,047","..","..","..",".."
"5","KURASBEDIANI",,,"74","4,915","..","..","..",".."
"6","TSIKLAURI",,,"65","4,317","..","..","..",".."
"7","CHANKSELIANI",,,"64","4,251","..","..","..",".."
"8","BENDELIANI",,,"60","3,985","..","..","..",".."
"9","ONIANI",,,"59","3,918","..","..","..",".."
"10","METREVELI",,,"54","3,586","..","..","..",".."
"11","MESHVELIANI",,,"52","3,454","..","..","..",".."
"12","KAVTARADZE",,,"51","3,387","..","..","..",".."
"13","SHUBITIDZE",,,"46","3,055","..","..","..",".."
"14","KHABULIANI",,,"45","2,989","..","..","..",".."
"15","KIKNADZE",,,"45","2,989","..","..","..",".."
"16","KHURTSIDZE",,,"43","2,856","..","..","..",".."
"17","TVILDIANI",,,"41","2,723","..","..","..",".."
"18","KHUTSISHVILI",,,"40","2,657","..","..","..",".."
"19","ROBAKIDZE",,,"40","2,657","..","..","..",".."
"20","MUSELIANI",,,"39","2,590","..","..","..",".."
"21","TSERTSVADZE",,,"37","2,457","..","..","..",".."
"22","NATSVLISHVILI",,,"36","2,391","..","..","..",".."
"23","AKHVLEDIANI",,,"33","2,192","..","..","..",".."
"24","GUGAVA",,,"32","2,125","..","..","..",".."
"25","JAVAKHISHVILI",,,"32","2,125","..","..","..",".."
"26","KARDAVA",,,"32","2,125","..","..","..",".."
"27","NOZADZE",,,"32","2,125","..","..","..",".."
"28","ARABULI",,,"31","2,059","..","..","..",".."
"29","GAGNIDZE",,,"30","1,992","..","..","..",".."
"30","BARBAKADZE",,,"29","1,926","..","..","..",".."
"31","GABUNIA",,,"29","1,926","..","..","..",".."
"32","LOMIDZE",,,"29","1,926","..","..","..",".."
"33","BERIDZE",,,"28","1,860","..","..","..",".."
"34","DOLIDZE",,,"28","1,860","..","..","..",".."
"35","MIKADZE",,,"28","1,860","..","..","..",".."
"36","TKESHELASHVILI",,,"28","1,860","..","..","..",".."
"37","GIGAURI",,,"27","1,793","..","..","..",".."
"38","GOGOLADZE",,,"27","1,793","..","..","..",".."
"39","TABATADZE",,,"27","1,793","..","..","..",".."
"40","APTSIAURI",,,"26","1,727","..","..","..",".."
"41","NADIRASHVILI",,,"26","1,727","..","..","..",".."
"42","ABULADZE",,,"25","1,660","..","..","..",".."
"43","GAZDELIANI",,,"25","1,660","..","..","..",".."
"44","MUMLADZE",,,"25","1,660","..","..","..",".."
"45","CHAKVETADZE",,,"24","1,594","..","..","..",".."
"46","MATCHARASHVILI",,,"24","1,594","..","..","..",".."
"47","SHENGELIA",,,"24","1,594","..","..","..",".."
"48","TCHINTCHARAULI",,,"24","1,594","..","..","..",".."
"49","BERISHVILI",,,"23","1,528","..","..","..",".."
"50","BURDULI",,,"23","1,528","..","..","..",".."
"51","DVALISHVILI",,,"23","1,528","..","..","..",".."
"52","GIORGADZE",,,"23","1,528","..","..","..",".."
"53","GOGILASHVILI",,,"23","1,528","..","..","..",".."
"54","JAPARIDZE",,,"23","1,528","..","..","..",".."
"55","MTCHEDLISHVILI",,,"23","1,528","..","..","..",".."
"56","MUKBANIANI",,,"23","1,528","..","..","..",".."
"57","RAZMADZE",,,"23","1,528","..","..","..",".."
"58","SILAGADZE",,,"23","1,528","..","..","..",".."
"59","KHACHIDZE",,,"22","1,461","..","..","..",".."
"60","MELADZE",,,"22","1,461","..","..","..",".."
"61","NATROSHVILI",,,"22","1,461","..","..","..",".."
"62","SAMKHARADZE",,,"22","1,461","..","..","..",".."
"63","SHIUKASHVILI",,,"22","1,461","..","..","..",".."
"64","ABESADZE",,,"21","1,395","..","..","..",".."
"65","CHELIDZE",,,"21","1,395","..","..","..",".."
"66","CHIKHLADZE",,,"21","1,395","..","..","..",".."
"67","DEVDARIANI",,,"21","1,395","..","..","..",".."
"68","KURTANIDZE",,,"21","1,395","..","..","..",".."
"69","POTSKHVERASHVILI",,,"21","1,395","..","..","..",".."
"70","ASATIANI",,,"20","1,328","..","..","..",".."
"71","BITSADZE",,,"20","1,328","..","..","..",".."
"72","DANELIA",,,"20","1,328","..","..","..",".."
"73","KOBERIDZE",,,"20","1,328","..","..","..",".."
"74","KUPATADZE",,,"20","1,328","..","..","..",".."
"75","MAKHARASHVILI",,,"20","1,328","..","..","..",".."
"76","MANAGADZE",,,"20","1,328","..","..","..",".."
"77","SVANIDZE",,,"20","1,328","..","..","..",".."
"78","TODUA",,,"20","1,328","..","..","..",".."
"79","ZURABIANI",,,"20","1,328","..","..","..",".."
"80","CHADUNELI",,,"19","1,262","..","..","..",".."
"81","JANELIDZE",,,"19","1,262","..","..","..",".."
"82","KVIRIKASHVILI",,,"19","1,262","..","..","..",".."
"83","LOLADZE",,,"19","1,262","..","..","..",".."
"84","LURSMANASHVILI",,,"19","1,262","..","..","..",".."
"85","NEBIERIDZE",,,"19","1,262","..","..","..",".."
"86","PAKSASHVILI",,,"19","1,262","..","..","..",".."
"87","PAPASHVILI",,,"19","1,262","..","..","..",".."
"88","GACHECHILADZE",,,"18","1,195","..","..","..",".."
"89","GIGOLASHVILI",,,"18","1,195","..","..","..",".."
"90","GOGISHVILI",,,"18","1,195","..","..","..",".."
"91","KHVEDELIDZE",,,"18","1,195","..","..","..",".."
"92","MIKELADZE",,,"18","1,195","..","..","..",".."
"93","NEMSADZE",,,"18","1,195","..","..","..",".."
"94","PAIKIDZE",,,"18","1,195","..","..","..",".."
"95","PAPIASHVILI",,,"18","1,195","..","..","..",".."
"96","SIRADZE",,,"18","1,195","..","..","..",".."
"97","TCHELIDZE",,,"18","1,195","..","..","..",".."
"98","TEVDORASHVILI",,,"18","1,195","..","..","..",".."
"99","BEKAURI",,,"17","1,129","..","..","..",".."
"100","MAMULASHVILI",,,"17","1,129","..","..","..",".."
"101","MELKADZE",,,"17","1,129","..","..","..",".."
"102","NADIRADZE",,,"17","1,129","..","..","..",".."
"103","SIKHARULIDZE",,,"17","1,129","..","..","..",".."
"104","TUGULASHVILI",,,"17","1,129","..","..","..",".."
"105","BENIDZE",,,"16","1,063","..","..","..",".."
"106","BERADZE",,,"16","1,063","..","..","..",".."
"107","GRDZELISHVILI",,,"16","1,063","..","..","..",".."
"108","ILURIDZE",,,"16","1,063","..","..","..",".."
"109","IMERLISHVILI",,,"16","1,063","..","..","..",".."
"110","JAMBURIDZE",,,"16","1,063","..","..","..",".."
"111","JANASHVILI",,,"16","1,063","..","..","..",".."
"112","KUPRASHVILI",,,"16","1,063","..","..","..",".."
"113","KURASHVILI",,,"16","1,063","..","..","..",".."
"114","MACHARASHVILI",,,"16","1,063","..","..","..",".."
"115","PETRIASHVILI",,,"16","1,063","..","..","..",".."
"116","SARALIDZE",,,"16","1,063","..","..","..",".."
"117","TATUNASHVILI",,,"16","1,063","..","..","..",".."
"118","TAVADZE",,,"16","1,063","..","..","..",".."
"119","TUKHASHVILI",,,"16","1,063","..","..","..",".."
"120","AVALISHVILI",,,"15","0,996","..","..","..",".."
"121","BAKRADZE",,,"15","0,996","..","..","..",".."
"122","BERIANIDZE",,,"15","0,996","..","..","..",".."
"123","BERUASHVILI",,,"15","0,996","..","..","..",".."
"124","GORGODZE",,,"15","0,996","..","..","..",".."
"125","KVARATSKHELIA",,,"15","0,996","..","..","..",".."
"126","LABADZE",,,"15","0,996","..","..","..",".."
"127","LALIASHVILI",,,"15","0,996","..","..","..",".."
"128","MAKHATADZE",,,"15","0,996","..","..","..",".."
"129","MESKHI",,,"15","0,996","..","..","..",".."
"130","MEZVRISHVILI",,,"15","0,996","..","..","..",".."
"131","MUSHKUDIANI",,,"15","0,996","..","..","..",".."
"132","TOPURIA",,,"15","0,996","..","..","..",".."
"133","TSISKARISHVILI",,,"15","0,996","..","..","..",".."
"134","ZHORZHOLIANI",,,"15","0,996","..","..","..",".."
"135","BABLUANI",,,"14","0,930","..","..","..",".."
"136","BLIADZE",,,"14","0,930","..","..","..",".."
"137","CHINCHARAULI",,,"14","0,930","..","..","..",".."
"138","CHUBINIDZE",,,"14","0,930","..","..","..",".."
"139","DAVITASHVILI",,,"14","0,930","..","..","..",".."
"140","DVALI",,,"14","0,930","..","..","..",".."
"141","GIORGOBIANI",,,"14","0,930","..","..","..",".."
"142","KARTVELISHVILI",,,"14","0,930","..","..","..",".."
"143","KIRKITADZE",,,"14","0,930","..","..","..",".."
"144","KOBAKHIDZE",,,"14","0,930","..","..","..",".."
"145","MODEBADZE",,,"14","0,930","..","..","..",".."
"146","NAKASHIDZE",,,"14","0,930","..","..","..",".."
"147","ODISHVILI",,,"14","0,930","..","..","..",".."
"148","PATASHURI",,,"14","0,930","..","..","..",".."
"149","REKHVIASHVILI",,,"14","0,930","..","..","..",".."
"150","SIRBILADZE",,,"14","0,930","..","..","..",".."
"151","AMIRANASHVILI",,,"13","0,863","..","..","..",".."
"152","APAKIDZE",,,"13","0,863","..","..","..",".."
"153","AVALIANI",,,"13","0,863","..","..","..",".."
"154","BAKURADZE",,,"13","0,863","..","..","..",".."
"155","BREGVADZE",,,"13","0,863","..","..","..",".."
"156","DALAKISHVILI",,,"13","0,863","..","..","..",".."
"157","DIASAMIDZE",,,"13","0,863","..","..","..",".."
"158","DZADZAMIA",,,"13","0,863","..","..","..",".."
"159","GRIGALASHVILI",,,"13","0,863","..","..","..",".."
"160","GZIRISHVILI",,,"13","0,863","..","..","..",".."
"161","KIKVADZE",,,"13","0,863","..","..","..",".."
"162","KIRVALIDZE",,,"13","0,863","..","..","..",".."
"163","KOBULASHVILI",,,"13","0,863","..","..","..",".."
"164","KVANTALIANI",,,"13","0,863","..","..","..",".."
"165","LOBJANIDZE",,,"13","0,863","..","..","..",".."
"166","MATIASHVILI",,,"13","0,863","..","..","..",".."
"167","MUZASHVILI",,,"13","0,863","..","..","..",".."
"168","NONIASHVILI",,,"13","0,863","..","..","..",".."
"169","OTARASHVILI",,,"13","0,863","..","..","..",".."
"170","PAPUASHVILI",,,"13","0,863","..","..","..",".."
"171","PEIKRISHVILI",,,"13","0,863","..","..","..",".."
"172","SALTKHUTSISHVILI",,,"13","0,863","..","..","..",".."
"173","SEKHNIASHVILI",,,"13","0,863","..","..","..",".."
"174","SISAURI",,,"13","0,863","..","..","..",".."
"175","TURIASHVILI",,,"13","0,863","..","..","..",".."
"176","ABRAMISHVILI",,,"12","0,797","..","..","..",".."
"177","BERIKASHVILI",,,"12","0,797","..","..","..",".."
"178","CHKHAIDZE",,,"12","0,797","..","..","..",".."
"179","DURGLISHVILI",,,"12","0,797","..","..","..",".."
"180","GOGALADZE",,,"12","0,797","..","..","..",".."
"181","GULIKASHVILI",,,"12","0,797","..","..","..",".."
"182","GURGENIDZE",,,"12","0,797","..","..","..",".."
"183","IOBIDZE",,,"12","0,797","..","..","..",".."
"184","KAKHIDZE",,,"12","0,797","..","..","..",".."
"185","KALANDADZE",,,"12","0,797","..","..","..",".."
"186","KALATOZISHVILI",,,"12","0,797","..","..","..",".."
"187","KASRADZE",,,"12","0,797","..","..","..",".."
"188","KINKLADZE",,,"12","0,797","..","..","..",".."
"189","KOBAIDZE",,,"12","0,797","..","..","..",".."
"190","KUKHIANIDZE",,,"12","0,797","..","..","..",".."
"191","KURDIANI",,,"12","0,797","..","..","..",".."
"192","LORTKIPANIDZE",,,"12","0,797","..","..","..",".."
"193","LOSABERIDZE",,,"12","0,797","..","..","..",".."
"194","MAMISEISHVILI",,,"12","0,797","..","..","..",".."
"195","MARGVELASHVILI",,,"12","0,797","..","..","..",".."
"196","MAZMISHVILI",,,"12","0,797","..","..","..",".."
"197","MERABISHVILI",,,"12","0,797","..","..","..",".."
"198","MGELADZE",,,"12","0,797","..","..","..",".."
"199","MINDIASHVILI",,,"12","0,797","..","..","..",".."
"200","NIKOLAISHVILI",,,"12","0,797","..","..","..",".."
"201","OTIASHVILI",,,"12","0,797","..","..","..",".."
"202","PATARIDZE",,,"12","0,797","..","..","..",".."
"203","ROSTOMASHVILI",,,"12","0,797","..","..","..",".."
"204","SAKHECHIDZE",,,"12","0,797","..","..","..",".."
"205","SHAKARASHVILI",,,"12","0,797","..","..","..",".."
"206","SHALAMBERIDZE",,,"12","0,797","..","..","..",".."
"207","SHATIRISHVILI",,,"12","0,797","..","..","..",".."
"208","SHONIA",,,"12","0,797","..","..","..",".."
"209","SHUKAKIDZE",,,"12","0,797","..","..","..",".."
"210","SHVELIDZE",,,"12","0,797","..","..","..",".."
"211","TAKADZE",,,"12","0,797","..","..","..",".."
"212","TSERETELI",,,"12","0,797","..","..","..",".."
