"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Honduras                          ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","HERNANDEZ",,,"1.996","26,487","1.840","24,417","87","1,155"
"2","RODRIGUEZ",,,"1.919","25,465","1.821","24,165","68","0,902"
"3","MARTINEZ",,,"1.772","23,515","1.601","21,246","67","0,889"
"4","LOPEZ",,,"1.730","22,957","1.557","20,662","62","0,823"
"5","GARCIA",,,"1.433","19,016","1.392","18,472","35","0,464"
"6","FLORES",,,"1.424","18,897","1.439","19,096","44","0,584"
"7","CRUZ",,,"1.249","16,574","1.183","15,699","45","0,597"
"8","MEJIA",,,"1.157","15,354","1.142","15,155","38","0,504"
"9","REYES",,,"1.083","14,372","1.037","13,761","22","0,292"
"10","SANCHEZ",,,"1.018","13,509","937","12,434","46","0,610"
"11","RIVERA",,,"958","12,713","860","11,412","14","0,186"
"12","AGUILAR",,,"763","10,125","707","9,382","19","0,252"
"13","PINEDA",,,"753","9,992","731","9,700","36","0,478"
"14","GOMEZ",,,"727","9,647","687","9,117","19","0,252"
"15","RAMOS",,,"655","8,692","673","8,931","33","0,438"
"16","RAMIREZ",,,"632","8,387","667","8,851","12","0,159"
"17","VELASQUEZ",,,"630","8,360","662","8,785","13","0,173"
"18","DIAZ",,,"628","8,334","602","7,989","18","0,239"
"19","VASQUEZ",,,"622","8,254","616","8,174","12","0,159"
"20","CASTRO",,,"569","7,551","512","6,794","..",".."
"21","AVILA",,,"538","7,139","538","7,139","26","0,345"
"22","ROMERO",,,"520","6,900","479","6,356","9","0,119"
"23","NUÑEZ",,,"518","6,874","488","6,476","12","0,159"
"24","MENDOZA",,,"495","6,569","491","6,516","19","0,252"
"25","BARAHONA",,,"495","6,569","398","5,282","9","0,119"
"26","CASTILLO",,,"492","6,529","448","5,945","8","0,106"
"27","AMADOR",,,"491","6,516","535","7,100","20","0,265"
"28","ALVARADO",,,"480","6,370","533","7,073","9","0,119"
"29","PEREZ",,,"479","6,356","517","6,861","18","0,239"
"30","ORDOÑEZ",,,"477","6,330","425","5,640","11","0,146"
"31","ZELAYA",,,"472","6,264","360","4,777","..",".."
"32","VARELA",,,"464","6,157","419","5,560","20","0,265"
"33","ZUNIGA",,,"461","6,118","455","6,038","21","0,279"
"34","TORRES",,,"456","6,051","426","5,653","9","0,119"
"35","ALVAREZ",,,"440","5,839","460","6,104","20","0,265"
"36","MEDINA",,,"438","5,812","409","5,427","8","0,106"
"37","PADILLA",,,"418","5,547","431","5,719","..",".."
"38","GONZALEZ",,,"411","5,454","419","5,560","6","0,080"
"39","PAZ",,,"387","5,136","439","5,826","20","0,265"
"40","ORTIZ",,,"383","5,082","444","5,892","9","0,119"
"41","HERRERA",,,"383","5,082","406","5,388","9","0,119"
"42","MARADIAGA",,,"383","5,082","358","4,751","10","0,133"
"43","CANALES",,,"383","5,082","339","4,499","9","0,119"
"44","VALLADARES",,,"374","4,963","326","4,326","5","0,066"
"45","BANEGAS",,,"356","4,724","334","4,432","8","0,106"
"46","MALDONADO",,,"351","4,658","331","4,392","7","0,093"
"47","LAGOS",,,"344","4,565","284","3,769","5","0,066"
"48","ORELLANA",,,"342","4,538","318","4,220","..",".."
"49","SANTOS",,,"338","4,485","336","4,459","5","0,066"
"50","SALGADO",,,"326","4,326","332","4,406","31","0,411"
