"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Hungría",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","SZABO",,,"208","22,239","14","1,497","..",".."
"2","NAGY",,,"180","19,245","8","0,855","..",".."
"3","KOVACS",,,"170","18,176","13","1,390","..",".."
"4","TOTH",,,"154","16,465","11","1,176","..",".."
"5","HORVATH",,,"112","11,975","6","0,642","..",".."
"6","KISS",,,"108","11,547","..","..","..",".."
"7","VARGA",,,"92","9,836","..","..","..",".."
"8","MOLNAR",,,"66","7,057","..","..","..",".."
"9","FARKAS",,,"60","6,415","..","..","..",".."
"10","NEMETH",,,"54","5,774","..","..","..",".."
"11","PAPP",,,"53","5,667","..","..","..",".."
"12","SIMON",,,"31","3,314","..","..","..",".."
"13","TAKACS",,,"30","3,208","8","0,855","..",".."
"14","LAKATOS",,,"30","3,208","..","..","..",".."
"15","LUKACS",,,"30","3,208","..","..","..",".."
"16","BALOGH",,,"29","3,101","..","..","..",".."
"17","MESZAROS",,,"28","2,994","..","..","..",".."
"18","BALAZS",,,"27","2,887","..","..","..",".."
"19","JUHASZ",,,"27","2,887","..","..","..",".."
"20","VERES",,,"27","2,887","..","..","..",".."
"21","RACZ",,,"26","2,780","..","..","..",".."
"22","SZUCS",,,"26","2,780","..","..","..",".."
"23","LASZLO",,,"25","2,673","..","..","..",".."
"24","MAGYAR",,,"24","2,566","..","..","..",".."
"25","KIRALY",,,"23","2,459","..","..","..",".."
"26","OLAH",,,"22","2,352","..","..","..",".."
"27","FEKETE",,,"21","2,245","..","..","..",".."
"28","NEMES",,,"21","2,245","..","..","..",".."
"29","GULYAS",,,"20","2,138","..","..","..",".."
"30","BARTA",,,"19","2,031","..","..","..",".."
"31","FODOR",,,"19","2,031","..","..","..",".."
"32","HEGEDUS",,,"18","1,925","..","..","..",".."
"33","JAKAB",,,"18","1,925","..","..","..",".."
"34","KOCSIS",,,"18","1,925","..","..","..",".."
"35","SZEKELY",,,"18","1,925","..","..","..",".."
"36","BIRO",,,"17","1,818","..","..","..",".."
"37","KOZMA",,,"17","1,818","..","..","..",".."
"38","MATE",,,"17","1,818","..","..","..",".."
"39","BALINT",,,"16","1,711","..","..","..",".."
"40","FAZEKAS",,,"16","1,711","..","..","..",".."
"41","FULOP",,,"16","1,711","..","..","..",".."
"42","SIPOS",,,"16","1,711","..","..","..",".."
"43","SOOS",,,"16","1,711","..","..","..",".."
"44","BODNAR",,,"15","1,604","..","..","..",".."
"45","FEHER",,,"15","1,604","..","..","..",".."
"46","SZALAI",,,"15","1,604","..","..","..",".."
"47","SZOKE",,,"15","1,604","..","..","..",".."
"48","GERGELY",,,"14","1,497","..","..","..",".."
"49","KATONA",,,"14","1,497","..","..","..",".."
"50","KECSKES",,,"14","1,497","..","..","..",".."
"51","PASZTOR",,,"14","1,497","..","..","..",".."
"52","SANDOR",,,"14","1,497","..","..","..",".."
"53","SZILAGYI",,,"14","1,497","..","..","..",".."
"54","ANTAL",,,"13","1,390","..","..","..",".."
"55","CSEH",,,"13","1,390","..","..","..",".."
"56","DEAK",,,"13","1,390","..","..","..",".."
"57","GABOR",,,"13","1,390","..","..","..",".."
"58","GAL",,,"13","1,390","..","..","..",".."
"59","KELEMEN",,,"13","1,390","..","..","..",".."
"60","MAJOR",,,"13","1,390","..","..","..",".."
"61","SEBESTYEN",,,"13","1,390","..","..","..",".."
"62","SOMOGYI",,,"13","1,390","..","..","..",".."
"63","DOBOS",,,"12","1,283","..","..","..",".."
"64","FERENCZI",,,"12","1,283","..","..","..",".."
"65","HAJDU",,,"12","1,283","..","..","..",".."
"66","HALASZ",,,"12","1,283","..","..","..",".."
"67","JONAS",,,"12","1,283","..","..","..",".."
"68","OROSZ",,,"12","1,283","..","..","..",".."
"69","PINTER",,,"12","1,283","..","..","..",".."
"70","SZASZ",,,"12","1,283","..","..","..",".."
"71","TAMAS",,,"12","1,283","..","..","..",".."
"72","ACS",,,"11","1,176","..","..","..",".."
"73","BALOG",,,"11","1,176","..","..","..",".."
"74","BOLDIZSAR",,,"11","1,176","..","..","..",".."
"75","CSASZAR",,,"11","1,176","..","..","..",".."
"76","DENES",,,"11","1,176","..","..","..",".."
"77","KOSA",,,"11","1,176","..","..","..",".."
"78","LEVAI",,,"11","1,176","..","..","..",".."
"79","MARTON",,,"11","1,176","..","..","..",".."
"80","BARNA",,,"10","1,069","..","..","..",".."
"81","BODA",,,"10","1,069","..","..","..",".."
"82","DUDAS",,,"10","1,069","..","..","..",".."
"83","GASPAR",,,"10","1,069","..","..","..",".."
"84","JOZSA",,,"10","1,069","..","..","..",".."
"85","KERTESZ",,,"10","1,069","..","..","..",".."
"86","KIS",,,"10","1,069","..","..","..",".."
"87","LENGYEL",,,"10","1,069","..","..","..",".."
"88","MATYAS",,,"10","1,069","..","..","..",".."
"89","MIKLOS",,,"10","1,069","..","..","..",".."
"90","MULLER",,,"10","1,069","..","..","..",".."
"91","REVESZ",,,"10","1,069","..","..","..",".."
"92","SZIGETI",,,"10","1,069","..","..","..",".."
"93","TOROK",,,"10","1,069","..","..","..",".."
"94","BALLA",,,"9","0,962","..","..","..",".."
"95","BOKOR",,,"9","0,962","..","..","..",".."
"96","BUDAI",,,"9","0,962","..","..","..",".."
"97","DEMETER",,,"9","0,962","..","..","..",".."
"98","ERDOS",,,"9","0,962","..","..","..",".."
"99","ILLES",,,"9","0,962","..","..","..",".."
"100","NOVAK",,,"9","0,962","..","..","..",".."
"101","PAL",,,"9","0,962","..","..","..",".."
"102","PATAKI",,,"9","0,962","..","..","..",".."
"103","PETER",,,"9","0,962","..","..","..",".."
"104","SZANTO",,,"9","0,962","..","..","..",".."
"105","SZEGEDI",,,"9","0,962","..","..","..",".."
"106","UJVARI",,,"9","0,962","..","..","..",".."
"107","VAJDA",,,"9","0,962","..","..","..",".."
"108","VEGH",,,"9","0,962","..","..","..",".."
"109","VINCZE",,,"9","0,962","..","..","..",".."
"110","ZSOLT",,,"9","0,962","..","..","..",".."
"111","ARVAI",,,"8","0,855","..","..","..",".."
