"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: India                             ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","SINGH",,,"15.000","344,218","83","1,905","5","0,115"
"2","KAUR",,,"7.087","162,632","139","3,190","..",".."
"3","KUMAR",,,"1.635","37,520","20","0,459","..",".."
"4","PATEL",,,"612","14,044","33","0,757","..",".."
"5","SHARMA",,,"437","10,028","23","0,528","..",".."
"6","RANI",,,"271","6,219","11","0,252","..",".."
"7","LAL",,,"176","4,039","..","..","..",".."
"8","DEVI",,,"158","3,626","..","..","..",".."
"9","PAL",,,"158","3,626","..","..","..",".."
"10","KUMARI",,,"154","3,534","5","0,115","..",".."
"11","RAM",,,"142","3,259","..","..","..",".."
"12","GILL",,,"121","2,777","45","1,033","..",".."
"13","SANDHU",,,"99","2,272","25","0,574","..",".."
"14","SIDHU",,,"98","2,249","16","0,367","..",".."
"15","BHATIA",,,"98","2,249","..","..","..",".."
"16","SAINI",,,"89","2,042","6","0,138","..",".."
"17","LALWANI",,,"85","1,951","8","0,184","..",".."
"18","CHAND",,,"83","1,905","..","..","..",".."
"19","VERMA",,,"81","1,859","..","..","..",".."
"20","BALA",,,"78","1,790","..","..","..",".."
"21","RAJ",,,"70","1,606","..","..","..",".."
"22","PAUL",,,"63","1,446","5","0,115","..",".."
"23","MULTANI",,,"62","1,423","18","0,413","..",".."
"24","KHAN",,,"61","1,400","6","0,138","..",".."
"25","DHILLON",,,"60","1,377","35","0,803","..",".."
"26","BRAR",,,"58","1,331","15","0,344","..",".."
"27","RAI",,,"58","1,331","..","..","..",".."
"28","THAKUR",,,"58","1,331","..","..","..",".."
"29","DHALIWAL",,,"56","1,285","9","0,207","..",".."
"30","RANDHAWA",,,"54","1,239","11","0,252","..",".."
"31","JOSEPH",,,"53","1,216","29","0,665","..",".."
"32","GUPTA",,,"53","1,216","..","..","..",".."
"33","RANA",,,"53","1,216","..","..","..",".."
"34","SHAH",,,"51","1,170","..","..","..",".."
"35","VARGHESE",,,"50","1,147","25","0,574","..",".."
"36","CHAUDHARI",,,"49","1,124","7","0,161","..",".."
"37","ARORA",,,"48","1,101","5","0,115","..",".."
"38","CHAUHAN",,,"48","1,101","..","..","..",".."
"39","MEHTA",,,"47","1,079","..","..","..",".."
"40","MOHAMMED",,,"46","1,056","..","..","..",".."
"41","THOMAS",,,"45","1,033","32","0,734","..",".."
"42","RAMCHANDANI",,,"44","1,010","9","0,207","..",".."
"43","GHOTRA",,,"43","0,987","7","0,161","..",".."
"44","JAIN",,,"42","0,964","..","..","..",".."
"45","DAS",,,"41","0,941","..","..","..",".."
"46","VIRK",,,"39","0,895","9","0,207","..",".."
"47","KHATRI",,,"38","0,872","..","..","..",".."
"48","TOLANI",,,"38","0,872","..","..","..",".."
"49","GREWAL",,,"37","0,849","5","0,115","..",".."
"50","VASWANI",,,"36","0,826","..","..","..",".."
"51","WADHWANI",,,"36","0,826","..","..","..",".."
"52","SING",,,"35","0,803","..","..","..",".."
"53","JOSHI",,,"34","0,780","..","..","..",".."
"54","GEORGE",,,"30","0,688","15","0,344","..",".."
"55","BABANI",,,"30","0,688","..","..","..",".."
"56","GURPREET SINGH",,,"30","0,688","..","..","..",".."
"57","MANSUKHANI",,,"30","0,688","..","..","..",".."
"58","MASIH",,,"30","0,688","..","..","..",".."
"59","ALI",,,"29","0,665","..","..","..",".."
"60","MAHTANI",,,"28","0,643","7","0,161","..",".."
"61","ANTONY",,,"27","0,620","20","0,459","..",".."
"62","PARMAR",,,"27","0,620","6","0,138","..",".."
"63","AGARWAL",,,"27","0,620","..","..","..",".."
"64","BHARDWAJ",,,"27","0,620","..","..","..",".."
"65","CHANDNANI",,,"27","0,620","..","..","..",".."
"66","DARYANANI",,,"27","0,620","..","..","..",".."
"67","NATH",,,"27","0,620","..","..","..",".."
"68","PRAJAPATI",,,"27","0,620","..","..","..",".."
"69","CHEEMA",,,"26","0,597","7","0,161","..",".."
"70","DASWANI",,,"26","0,597","..","..","..",".."
"71","DSOUZA",,,"26","0,597","..","..","..",".."
"72","MALIK",,,"26","0,597","..","..","..",".."
"73","MANWANI",,,"26","0,597","..","..","..",".."
"74","MIRCHANDANI",,,"26","0,597","..","..","..",".."
"75","SAMTANI",,,"26","0,597","..","..","..",".."
"76","SHIVNANI",,,"26","0,597","..","..","..",".."
"77","AHUJA",,,"25","0,574","..","..","..",".."
"78","ASNANI",,,"25","0,574","..","..","..",".."
"79","PRAKASH",,,"25","0,574","..","..","..",".."
"80","VIRDI",,,"25","0,574","..","..","..",".."
"81","YADAV",,,"25","0,574","..","..","..",".."
"82","BAINS",,,"24","0,551","10","0,229","..",".."
"83","DASS",,,"24","0,551","..","..","..",".."
"84","MULCHANDANI",,,"24","0,551","..","..","..",".."
"85","PRASAD",,,"24","0,551","..","..","..",".."
"86","PURI",,,"24","0,551","..","..","..",".."
"87","CHUGANI",,,"23","0,528","5","0,115","..",".."
"88","BATRA",,,"23","0,528","..","..","..",".."
"89","NEGI",,,"23","0,528","..","..","..",".."
"90","JOSE",,,"22","0,505","13","0,298","..",".."
"91","MIRPURI",,,"22","0,505","9","0,207","..",".."
"92","BHULLAR",,,"22","0,505","6","0,138","..",".."
"93","CHAHAL",,,"22","0,505","6","0,138","..",".."
"94","KAPOOR",,,"22","0,505","..","..","..",".."
"95","MANPREET SINGH",,,"22","0,505","..","..","..",".."
"96","MAYANI",,,"22","0,505","..","..","..",".."
