"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Islandia",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","SIGURDSSON",,,"26","24,096","..","..","..",".."
"2","JONSDOTTIR",,,"24","22,243","..","..","..",".."
"3","JONSSON",,,"21","19,462","..","..","..",".."
"4","GUDMUNDSSON",,,"17","15,755","..","..","..",".."
"5","SIGURDARDOTTIR",,,"15","13,902","..","..","..",".."
"6","GUDMUNDSDOTTIR",,,"14","12,975","..","..","..",".."
"7","KRISTJANSDOTTIR",,,"13","12,048","..","..","..",".."
"8","MAGNUSSON",,,"13","12,048","..","..","..",".."
"9","OLAFSSON",,,"12","11,121","..","..","..",".."
"10","GUNNARSSON",,,"11","10,195","..","..","..",".."
"11","KRISTJANSSON",,,"11","10,195","..","..","..",".."
"12","ARNADOTTIR",,,"9","8,341","..","..","..",".."
"13","EINARSSON",,,"9","8,341","..","..","..",".."
"14","GUDJONSDOTTIR",,,"9","8,341","..","..","..",".."
"15","HALLDORSDOTTIR",,,"8","7,414","..","..","..",".."
"16","MAGNUSDOTTIR",,,"8","7,414","..","..","..",".."
"17","OLAFSDOTTIR",,,"8","7,414","..","..","..",".."
"18","PETURSSON",,,"8","7,414","..","..","..",".."
"19","GUNNARSDOTTIR",,,"7","6,487","..","..","..",".."
"20","JOHANNSSON",,,"7","6,487","..","..","..",".."
"21","ARNARDOTTIR",,,"6","5,561","..","..","..",".."
"22","HELGASON",,,"6","5,561","..","..","..",".."
"23","OSKARSSON",,,"6","5,561","..","..","..",".."
"24","RUNARSDOTTIR",,,"6","5,561","..","..","..",".."
"25","STEFANSDOTTIR",,,"6","5,561","..","..","..",".."
"26","SVEINSDOTTIR",,,"6","5,561","..","..","..",".."
"27","HALLDORSSON",,,"5","4,634","..","..","..",".."
"28","JOHANNESSON",,,"5","4,634","..","..","..",".."
"29","LOUZIR",,,"5","4,634","..","..","..",".."
"NOTAS:",
"0) Por secreto estadístico sólo se muestran los apellidos cuya frecuencia es mayor que 5 en alguno de los dos apellidos para el total nacional. Para las nacionalidades seleccionadas se exige además una frecuencia de al menos 5 en alguno de los dos apellidos. Por esta razón, la frecuencia total para algunos apellidos puede no ser igual a la suma de las nacionalidades que se muestran.  ",,,,,,,,,,,,
"1) Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018",,,,,,,,,,,,

