"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Japón",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","SATO",,,"87","14,681","..","..","..",".."
"2","SUZUKI",,,"81","13,669","..","..","..",".."
"3","TAKAHASHI",,,"72","12,150","..","..","..",".."
"4","WATANABE",,,"58","9,787","..","..","..",".."
"5","SAITO",,,"56","9,450","..","..","..",".."
"6","TANAKA",,,"53","8,944","..","..","..",".."
"7","YAMAMOTO",,,"53","8,944","..","..","..",".."
"8","YOSHIDA",,,"46","7,762","..","..","..",".."
"9","ITO",,,"45","7,594","..","..","..",".."
"10","NAKAMURA",,,"36","6,075","..","..","..",".."
"11","KOBAYASHI",,,"35","5,906","..","..","..",".."
"12","INOUE",,,"34","5,737","..","..","..",".."
"13","KIMURA",,,"34","5,737","..","..","..",".."
"14","YAMADA",,,"32","5,400","..","..","..",".."
"15","YAMAGUCHI",,,"31","5,231","..","..","..",".."
"16","YAMASHITA",,,"30","5,062","..","..","..",".."
"17","MATSUMOTO",,,"29","4,894","..","..","..",".."
"18","HASHIMOTO",,,"28","4,725","..","..","..",".."
"19","HAYASHI",,,"28","4,725","..","..","..",".."
"20","MORI",,,"27","4,556","..","..","..",".."
"21","ABE",,,"26","4,387","..","..","..",".."
"22","SAKAMOTO",,,"25","4,219","..","..","..",".."
"23","KATO",,,"24","4,050","..","..","..",".."
"24","FUKUDA",,,"23","3,881","..","..","..",".."
"25","SHIMIZU",,,"23","3,881","..","..","..",".."
"26","OTA",,,"22","3,712","..","..","..",".."
"27","FUJITA",,,"21","3,544","..","..","..",".."
"28","ISHII",,,"21","3,544","..","..","..",".."
"29","OGAWA",,,"21","3,544","..","..","..",".."
"30","SAKAI",,,"21","3,544","..","..","..",".."
"31","IKEDA",,,"19","3,206","..","..","..",".."
"32","SASAKI",,,"19","3,206","..","..","..",".."
"33","TSUCHIYA",,,"19","3,206","..","..","..",".."
"34","MAEDA",,,"18","3,037","..","..","..",".."
"35","MURAKAMI",,,"18","3,037","..","..","..",".."
"36","NISHIMURA",,,"18","3,037","..","..","..",".."
"37","ISHIZUKA",,,"17","2,869","..","..","..",".."
"38","NAKAYAMA",,,"17","2,869","..","..","..",".."
"39","OKAMOTO",,,"17","2,869","..","..","..",".."
"40","ENDO",,,"16","2,700","..","..","..",".."
"41","KAWAI",,,"16","2,700","..","..","..",".."
"42","KONDO",,,"16","2,700","..","..","..",".."
"43","NAKAJIMA",,,"16","2,700","..","..","..",".."
"44","ONO",,,"16","2,700","..","..","..",".."
"45","UEDA",,,"16","2,700","..","..","..",".."
"46","HONDA",,,"15","2,531","..","..","..",".."
"47","ISHIKAWA",,,"15","2,531","..","..","..",".."
"48","MIURA",,,"15","2,531","..","..","..",".."
"49","OKADA",,,"15","2,531","..","..","..",".."
"50","TAKEDA",,,"15","2,531","..","..","..",".."
"51","HAMADA",,,"14","2,362","..","..","..",".."
"52","NAKANO",,,"14","2,362","..","..","..",".."
"53","TANIGUCHI",,,"14","2,362","..","..","..",".."
"54","TOMITA",,,"14","2,362","..","..","..",".."
"55","UENO",,,"14","2,362","..","..","..",".."
"56","YOSHIOKA",,,"14","2,362","..","..","..",".."
"57","ARAI",,,"13","2,194","..","..","..",".."
"58","GOTO",,,"13","2,194","..","..","..",".."
