"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Libia                             ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","MOHAMED",,,"29","20,984","..","..","..",".."
"2","ALI",,,"14","10,130","..","..","..",".."
"3","AHMED",,,"11","7,959","6","4,342","..",".."
"4","ABDALLA",,,"11","7,959","..","..","..",".."
"5","NAAS",,,"10","7,236","..","..","..",".."
"6","SHANAB",,,"10","7,236","..","..","..",".."
"7","GADAD",,,"9","6,512","..","..","..",".."
"8","SHABAN",,,"9","6,512","..","..","..",".."
"9","ELALLUSS",,,"8","5,789","..","..","..",".."
"10","IBRAHIM",,,"8","5,789","..","..","..",".."
"11","SALEM",,,"7","5,065","5","3,618","..",".."
"12","ABDELRHMAN",,,"7","5,065","..","..","..",".."
"13","ALNAAS",,,"7","5,065","..","..","..",".."
"14","EL HDIRI",,,"7","5,065","..","..","..",".."
"15","KADAFI",,,"7","5,065","..","..","..",".."
"16","KRAIEM",,,"7","5,065","..","..","..",".."
"17","NAGI",,,"7","5,065","..","..","..",".."
"18","ABDULLAH",,,"6","4,342","..","..","..",".."
"19","BISHARA",,,"6","4,342","..","..","..",".."
"20","EL MADANI",,,"6","4,342","..","..","..",".."
"21","ELKASEH",,,"6","4,342","..","..","..",".."
"22","KHALED",,,"6","4,342","..","..","..",".."
"23","M A",,,"6","4,342","..","..","..",".."
"24","MANA",,,"6","4,342","..","..","..",".."
"25","NURI",,,"6","4,342","..","..","..",".."
"26","SAMAMA",,,"6","4,342","..","..","..",".."
"27","ZARRUGH",,,"6","4,342","..","..","..",".."
"28","ABDULHAMID",,,"5","3,618","..","..","..",".."
"29","ALHOUTI",,,"5","3,618","..","..","..",".."
"30","ALJAFAL",,,"5","3,618","..","..","..",".."
"31","ALSAHLI",,,"5","3,618","..","..","..",".."
"32","ESSALHI",,,"5","3,618","..","..","..",".."
"33","MADI",,,"5","3,618","..","..","..",".."
"34","MAHMOUD",,,"5","3,618","..","..","..",".."
"35","MASSOUD",,,"5","3,618","..","..","..",".."
"36","NASSR",,,"5","3,618","..","..","..",".."
"37","SASSI",,,"5","3,618","..","..","..",".."
"38","SHIBANI",,,"5","3,618","..","..","..",".."
"39","SINAN",,,"5","3,618","..","..","..",".."
"40","YOUNIS",,,"5","3,618","..","..","..",".."
"41","ANAN",,,"..","..","7","5,065","..",".."
"42","ISSA",,,"..","..","7","5,065","..",".."
"43","ALWARFALLY",,,"..","..","6","4,342","..",".."
"NOTAS:",
"0) Por secreto estadístico sólo se muestran los apellidos cuya frecuencia es mayor que 5 en alguno de los dos apellidos para el total nacional. Para las nacionalidades seleccionadas se exige además una frecuencia de al menos 5 en alguno de los dos apellidos. Por esta razón, la frecuencia total para algunos apellidos puede no ser igual a la suma de las nacionalidades que se muestran.  ",,,,,,,,,,,,
"1) Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018",,,,,,,,,,,,

