"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Nepal                             ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","GURUNG",,,"361","83,837","15","3,484","..",".."
"2","THAPA",,,"226","52,485","16","3,716","..",".."
"3","SHRESTHA",,,"200","46,447","12","2,787","..",".."
"4","SAPKOTA",,,"125","29,029","20","4,645","..",".."
"5","ADHIKARI",,,"99","22,991","9","2,090","..",".."
"6","KARKI",,,"98","22,759","9","2,090","..",".."
"7","KANDEL",,,"97","22,527","18","4,180","..",".."
"8","SHERPA",,,"87","20,204","5","1,161","..",".."
"9","SHARMA",,,"78","18,114","..","..","..",".."
"10","BHANDARI",,,"76","17,650","6","1,393","..",".."
"11","POUDEL",,,"68","15,792","12","2,787","..",".."
"12","TAMANG",,,"59","13,702","6","1,393","..",".."
"13","SUBEDI",,,"57","13,237","8","1,858","..",".."
"14","KHADKA",,,"56","13,005","6","1,393","..",".."
"15","LAMA",,,"53","12,308","9","2,090","..",".."
"16","GAUTAM",,,"51","11,844","5","1,161","..",".."
"17","KHATRI",,,"49","11,379","..","..","..",".."
"18","PAUDEL",,,"49","11,379","..","..","..",".."
"19","PUN",,,"48","11,147","12","2,787","..",".."
"20","BHATTARAI",,,"47","10,915","..","..","..",".."
"21","BASNET",,,"46","10,683","6","1,393","..",".."
"22","ACHARYA",,,"45","10,451","8","1,858","..",".."
"23","MAHARJAN",,,"44","10,218","..","..","..",".."
"24","LAMICHHANE",,,"43","9,986","..","..","..",".."
"25","RAI",,,"42","9,754","..","..","..",".."
"26","REGMI",,,"39","9,057","5","1,161","..",".."
"27","GIRI",,,"36","8,360","..","..","..",".."
"28","GHIMIRE",,,"35","8,128","..","..","..",".."
"29","KHANAL",,,"34","7,896","..","..","..",".."
"30","PANDEY",,,"32","7,431","..","..","..",".."
"31","BANIYA",,,"31","7,199","..","..","..",".."
"32","NEUPANE",,,"31","7,199","..","..","..",".."
"33","POKHREL",,,"30","6,967","..","..","..",".."
"34","KC",,,"29","6,735","..","..","..",".."
"35","RANA",,,"29","6,735","..","..","..",".."
"36","BAHADUR",,,"28","6,503","..","..","..",".."
"37","K C",,,"28","6,503","..","..","..",".."
"38","BUDHATHOKI",,,"27","6,270","..","..","..",".."
"39","BARAL",,,"26","6,038","..","..","..",".."
"40","CHHETRI",,,"24","5,574","20","4,645","..",".."
"41","TIMILSINA",,,"24","5,574","..","..","..",".."
"42","DHAKAL",,,"23","5,341","..","..","..",".."
"43","DHUNGANA",,,"23","5,341","..","..","..",".."
"44","PATHAK",,,"23","5,341","..","..","..",".."
"45","BHUSAL",,,"22","5,109","..","..","..",".."
"46","KHAREL",,,"22","5,109","..","..","..",".."
"47","KUMAR",,,"22","5,109","..","..","..",".."
"48","POKHAREL",,,"22","5,109","..","..","..",".."
"49","MAGAR",,,"21","4,877","38","8,825","..",".."
"50","DAHAL",,,"21","4,877","..","..","..",".."
"51","PARAJULI",,,"20","4,645","..","..","..",".."
"52","SINGH",,,"20","4,645","..","..","..",".."
"53","GHALE",,,"19","4,412","..","..","..",".."
"54","KUNWAR",,,"18","4,180","..","..","..",".."
"55","BHUJEL",,,"17","3,948","..","..","..",".."
"56","BISTA",,,"17","3,948","..","..","..",".."
"57","ARYAL",,,"16","3,716","..","..","..",".."
"58","PRASAD",,,"16","3,716","..","..","..",".."
"59","SHAHI",,,"16","3,716","..","..","..",".."
"60","RIJAL",,,"15","3,484","..","..","..",".."
"61","BHATTA",,,"14","3,251","..","..","..",".."
"62","PARIYAR",,,"14","3,251","..","..","..",".."
"63","RANABHAT",,,"14","3,251","..","..","..",".."
"64","SIGDEL",,,"14","3,251","..","..","..",".."
"65","SUNAR",,,"14","3,251","..","..","..",".."
"66","KOIRALA",,,"13","3,019","..","..","..",".."
"67","MALLA",,,"13","3,019","..","..","..",".."
"68","TIWARI",,,"12","2,787","..","..","..",".."
"69","CHAPAGAIN",,,"11","2,555","..","..","..",".."
"70","JOSHI",,,"11","2,555","..","..","..",".."
"71","KAFLE",,,"11","2,555","..","..","..",".."
"72","ROKA",,,"11","2,555","..","..","..",".."
"73","CHALISE",,,"10","2,322","..","..","..",".."
"74","LAMSAL",,,"10","2,322","..","..","..",".."
"75","LIMBU",,,"10","2,322","..","..","..",".."
"76","PANDAY",,,"10","2,322","..","..","..",".."
"77","B K",,,"9","2,090","..","..","..",".."
"78","KHATIWADA",,,"9","2,090","..","..","..",".."
"79","MASKEY",,,"9","2,090","..","..","..",".."
"80","PANDIT",,,"9","2,090","..","..","..",".."
"81","PRASAI",,,"9","2,090","..","..","..",".."
"82","RAJBHANDARI",,,"9","2,090","..","..","..",".."
"83","RAYAMAJHI",,,"9","2,090","..","..","..",".."
"84","SHAH",,,"9","2,090","..","..","..",".."
"85","SHAKYA",,,"9","2,090","..","..","..",".."
"86","THAKURI",,,"9","2,090","..","..","..",".."
"87","WAGLE",,,"9","2,090","..","..","..",".."
"88","BARUWAL",,,"8","1,858","..","..","..",".."
"89","BISHWAKARMA",,,"8","1,858","..","..","..",".."
"90","GAUCHAN",,,"8","1,858","..","..","..",".."
"91","MANANDHAR",,,"8","1,858","..","..","..",".."
"92","NIROULA",,,"8","1,858","..","..","..",".."
"93","OLI",,,"8","1,858","..","..","..",".."
"94","PANTA",,,"8","1,858","..","..","..",".."
"95","THAPALIYA",,,"8","1,858","..","..","..",".."
"96","UPRETI",,,"8","1,858","..","..","..",".."
"97","ALE",,,"7","1,626","..","..","..",".."
"98","BAJRACHARYA",,,"7","1,626","..","..","..",".."
"99","BASTOLA",,,"7","1,626","..","..","..",".."
"100","BISHWOKARMA",,,"7","1,626","..","..","..",".."
"101","BOHARA",,,"7","1,626","..","..","..",".."
"102","DEVKOTA",,,"7","1,626","..","..","..",".."
"103","DHITAL",,,"7","1,626","..","..","..",".."
"104","GHARTI",,,"7","1,626","..","..","..",".."
"105","GYAWALI",,,"7","1,626","..","..","..",".."
