"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Noruega",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","HANSEN",,,"139","11,282","..","..","..",".."
"2","JOHANSEN",,,"119","9,659","..","..","..",".."
"3","NILSEN",,,"115","9,334","..","..","..",".."
"4","OLSEN",,,"107","8,685","..","..","..",".."
"5","LARSEN",,,"103","8,360","5","0,406","..",".."
"6","ANDERSEN",,,"96","7,792","..","..","..",".."
"7","PEDERSEN",,,"83","6,737","..","..","..",".."
"8","KRISTIANSEN",,,"67","5,438","..","..","..",".."
"9","JOHNSEN",,,"57","4,627","..","..","..",".."
"10","PETTERSEN",,,"57","4,627","..","..","..",".."
"11","JENSEN",,,"51","4,140","..","..","..",".."
"12","BERG",,,"48","3,896","..","..","..",".."
"13","KARLSEN",,,"48","3,896","..","..","..",".."
"14","ERIKSEN",,,"44","3,571","..","..","..",".."
"15","DAHL",,,"37","3,003","..","..","..",".."
"16","JACOBSEN",,,"37","3,003","..","..","..",".."
"17","LUND",,,"36","2,922","..","..","..",".."
"18","JOHANNESSEN",,,"33","2,679","..","..","..",".."
"19","HALVORSEN",,,"31","2,516","..","..","..",".."
"20","HENRIKSEN",,,"30","2,435","..","..","..",".."
"21","SORENSEN",,,"29","2,354","..","..","..",".."
"22","HAUGEN",,,"28","2,273","..","..","..",".."
"23","SOLBERG",,,"28","2,273","..","..","..",".."
"24","IVERSEN",,,"27","2,192","..","..","..",".."
"25","HAGEN",,,"26","2,110","..","..","..",".."
"26","KNUDSEN",,,"26","2,110","..","..","..",".."
"27","DANIELSEN",,,"25","2,029","..","..","..",".."
"28","NIELSEN",,,"25","2,029","..","..","..",".."
"29","PAULSEN",,,"25","2,029","..","..","..",".."
"30","CHRISTENSEN",,,"24","1,948","..","..","..",".."
"31","LUNDE",,,"24","1,948","..","..","..",".."
"32","RASMUSSEN",,,"24","1,948","..","..","..",".."
"33","SVENDSEN",,,"24","1,948","..","..","..",".."
"34","ANDREASSEN",,,"23","1,867","..","..","..",".."
"35","BERGE",,,"23","1,867","..","..","..",".."
"36","STRAND",,,"23","1,867","..","..","..",".."
"37","EIDE",,,"22","1,786","..","..","..",".."
"38","GUNDERSEN",,,"22","1,786","..","..","..",".."
"39","JORGENSEN",,,"22","1,786","..","..","..",".."
"40","HOFF",,,"21","1,705","..","..","..",".."
"41","MOE",,,"21","1,705","..","..","..",".."
"42","ANDRESEN",,,"20","1,623","..","..","..",".."
"43","BYE",,,"19","1,542","..","..","..",".."
"44","KNUTSEN",,,"19","1,542","..","..","..",".."
"45","MARTINSEN",,,"19","1,542","..","..","..",".."
"46","MOEN",,,"17","1,380","..","..","..",".."
"47","SOLHEIM",,,"17","1,380","..","..","..",".."
"48","BIRKELAND",,,"16","1,299","..","..","..",".."
"49","LIE",,,"16","1,299","..","..","..",".."
"50","LORENTZEN",,,"16","1,299","..","..","..",".."
"51","MATHISEN",,,"16","1,299","..","..","..",".."
"52","MYHRE",,,"16","1,299","..","..","..",".."
"53","RUUD",,,"16","1,299","..","..","..",".."
"54","STEEN",,,"16","1,299","..","..","..",".."
"55","AAS",,,"15","1,218","..","..","..",".."
"56","BAKKE",,,"15","1,218","..","..","..",".."
"57","HANSSEN",,,"15","1,218","..","..","..",".."
"58","KOLSTAD",,,"15","1,218","..","..","..",".."
"59","MEYER",,,"15","1,218","..","..","..",".."
"60","NAESS",,,"15","1,218","..","..","..",".."
"61","SANDVIK",,,"15","1,218","..","..","..",".."
"62","THORSEN",,,"15","1,218","..","..","..",".."
"63","TORGERSEN",,,"15","1,218","..","..","..",".."
"64","AMUNDSEN",,,"14","1,136","..","..","..",".."
"65","FREDRIKSEN",,,"14","1,136","..","..","..",".."
"66","HAUG",,,"14","1,136","..","..","..",".."
"67","HAUGE",,,"14","1,136","..","..","..",".."
"68","HOLMEN",,,"14","1,136","..","..","..",".."
"69","NYGAARD",,,"14","1,136","..","..","..",".."
"70","AASE",,,"13","1,055","..","..","..",".."
"71","BREKKE",,,"13","1,055","..","..","..",".."
"72","KVAM",,,"13","1,055","..","..","..",".."
"73","SOERENSEN",,,"13","1,055","..","..","..",".."
"74","TANGEN",,,"13","1,055","..","..","..",".."
"75","WAAGE",,,"13","1,055","..","..","..",".."
"76","AASEN",,,"12","0,974","..","..","..",".."
"77","BAKKEN",,,"12","0,974","..","..","..",".."
"78","BERNTSEN",,,"12","0,974","..","..","..",".."
"79","HELGESEN",,,"12","0,974","..","..","..",".."
"80","HOVLAND",,,"12","0,974","..","..","..",".."
"81","KRISTOFFERSEN",,,"12","0,974","..","..","..",".."
"82","MATHIESEN",,,"12","0,974","..","..","..",".."
"83","NORHEIM",,,"12","0,974","..","..","..",".."
"84","NYGARD",,,"12","0,974","..","..","..",".."
"85","PETTERSON",,,"12","0,974","..","..","..",".."
"86","RAMIREZ",,,"12","0,974","..","..","..",".."
"87","SIVERTSEN",,,"12","0,974","..","..","..",".."
"88","SOLEM",,,"12","0,974","..","..","..",".."
"89","BOE",,,"11","0,893","..","..","..",".."
"90","BUGGE",,,"11","0,893","..","..","..",".."
"91","EVENSEN",,,"11","0,893","..","..","..",".."
"92","FARSTAD",,,"11","0,893","..","..","..",".."
"93","JOHANNESEN",,,"11","0,893","..","..","..",".."
"94","JONASSEN",,,"11","0,893","..","..","..",".."
"95","LIEN",,,"11","0,893","..","..","..",".."
"96","OTTESEN",,,"11","0,893","..","..","..",".."
"97","SAETHER",,,"11","0,893","..","..","..",".."
"98","SIMONSEN",,,"11","0,893","..","..","..",".."
"99","SKOGEN",,,"11","0,893","..","..","..",".."
"100","STENSRUD",,,"11","0,893","..","..","..",".."
"101","TVEDT",,,"11","0,893","..","..","..",".."
"102","STROM",,,"10","0,812","5","0,406","..",".."
"103","ARNESEN",,,"10","0,812","..","..","..",".."
