"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Palestina. Estado Observador, no miembro de Naciones Unidas",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","ABUMUAILEQ",,,"12","14,388","..","..","..",".."
"2","YOUSEF",,,"11","13,189","..","..","..",".."
"3","ISMAEEL",,,"10","11,990","..","..","..",".."
"4","AMARNA",,,"7","8,393","..","..","..",".."
"5","QUDAIH",,,"7","8,393","..","..","..",".."
"6","ALSOURANI",,,"6","7,194","..","..","..",".."
"7","EADE",,,"6","7,194","..","..","..",".."
"8","HEMAID",,,"6","7,194","..","..","..",".."
"9","ABUSHAMMALA",,,"5","5,995","..","..","..",".."
"10","ELEIWA",,,"5","5,995","..","..","..",".."
"11","ESMAEL",,,"5","5,995","..","..","..",".."
"12","HAMDAN",,,"5","5,995","..","..","..",".."
"13","HOURANI",,,"5","5,995","..","..","..",".."
"14","ISMAIL",,,"5","5,995","..","..","..",".."
"15","KHALAF",,,"5","5,995","..","..","..",".."
"16","MOUSA",,,"5","5,995","..","..","..",".."
"17","SHAHIN",,,"5","5,995","..","..","..",".."
"18","TALEB",,,"5","5,995","..","..","..",".."
"NOTAS:",
"0) Por secreto estadístico sólo se muestran los apellidos cuya frecuencia es mayor que 5 en alguno de los dos apellidos para el total nacional. Para las nacionalidades seleccionadas se exige además una frecuencia de al menos 5 en alguno de los dos apellidos. Por esta razón, la frecuencia total para algunos apellidos puede no ser igual a la suma de las nacionalidades que se muestran.  ",,,,,,,,,,,,
"1) Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018",,,,,,,,,,,,

