"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Panamá                      ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","RODRIGUEZ",,,"65","26,563","52","21,251","..",".."
"2","GONZALEZ",,,"57","23,294","77","31,467","..",".."
"3","HERNANDEZ",,,"26","10,625","33","13,486","..",".."
"4","CASTILLO",,,"23","9,399","29","11,851","..",".."
"5","GOMEZ",,,"23","9,399","12","4,904","..",".."
"6","DIAZ",,,"22","8,991","17","6,947","..",".."
"7","LUO",,,"21","8,582","19","7,765","..",".."
"8","SANCHEZ",,,"20","8,173","35","14,303","..",".."
"9","MORENO",,,"20","8,173","22","8,991","..",".."
"10","LOPEZ",,,"19","7,765","20","8,173","..",".."
"11","MORALES",,,"19","7,765","17","6,947","..",".."
"12","PEREZ",,,"18","7,356","23","9,399","..",".."
"13","ORTEGA",,,"18","7,356","12","4,904","..",".."
"14","GARCIA",,,"17","6,947","22","8,991","..",".."
"15","MARTINEZ",,,"17","6,947","22","8,991","..",".."
"16","HERRERA",,,"17","6,947","17","6,947","..",".."
"17","VEGA",,,"17","6,947","8","3,269","..",".."
"18","VERGARA",,,"17","6,947","5","2,043","..",".."
"19","YAU",,,"16","6,539","..","..","..",".."
"20","QUINTERO",,,"15","6,130","12","4,904","..",".."
"21","RAMOS",,,"15","6,130","8","3,269","..",".."
"22","MUÑOZ",,,"14","5,721","18","7,356","..",".."
"23","CABALLERO",,,"14","5,721","10","4,087","..",".."
"24","ARAUZ",,,"14","5,721","9","3,678","..",".."
"25","ORTIZ",,,"13","5,313","10","4,087","..",".."
"26","FERNANDEZ",,,"13","5,313","7","2,861","..",".."
"27","DE LEON",,,"12","4,904","13","5,313","..",".."
"28","JAEN",,,"12","4,904","8","3,269","..",".."
"29","SANTAMARIA",,,"12","4,904","6","2,452","..",".."
"30","VALDES",,,"12","4,904","5","2,043","..",".."
"31","JIMENEZ",,,"11","4,495","16","6,539","..",".."
"32","NUÑEZ",,,"11","4,495","10","4,087","..",".."
"33","SOLIS",,,"11","4,495","10","4,087","..",".."
"34","TORRES",,,"11","4,495","7","2,861","..",".."
"35","BARRIA",,,"11","4,495","5","2,043","..",".."
"36","VALENCIA",,,"11","4,495","..","..","..",".."
"37","VASQUEZ",,,"10","4,087","12","4,904","..",".."
"38","CEDEÑO",,,"10","4,087","11","4,495","..",".."
"39","CHEN",,,"10","4,087","10","4,087","..",".."
"40","DE GRACIA",,,"10","4,087","9","3,678","..",".."
"41","FLORES",,,"10","4,087","5","2,043","..",".."
"42","CHANIS",,,"10","4,087","..","..","..",".."
"43","VALDERRAMA",,,"10","4,087","..","..","..",".."
"44","YOUNG",,,"10","4,087","..","..","..",".."
"45","ALVARADO",,,"9","3,678","11","4,495","..",".."
"46","RAMIREZ",,,"9","3,678","9","3,678","..",".."
"47","AGUILAR",,,"9","3,678","7","2,861","..",".."
"48","MURILLO",,,"9","3,678","6","2,452","..",".."
"49","ESPINOSA",,,"8","3,269","14","5,721","..",".."
"50","PEÑA",,,"8","3,269","7","2,861","..",".."
"51","RIOS",,,"8","3,269","7","2,861","..",".."
"52","ABREGO",,,"8","3,269","6","2,452","..",".."
"53","NAVARRO",,,"8","3,269","5","2,043","..",".."
"54","JARAMILLO",,,"8","3,269","..","..","..",".."
"55","MARIN",,,"8","3,269","..","..","..",".."
"56","MEDINA",,,"8","3,269","..","..","..",".."
"57","TEJADA",,,"8","3,269","..","..","..",".."
"58","WU",,,"8","3,269","..","..","..",".."
"59","BATISTA",,,"7","2,861","19","7,765","..",".."
"60","MENDOZA",,,"7","2,861","11","4,495","..",".."
"61","MIRANDA",,,"7","2,861","10","4,087","..",".."
"62","RIVERA",,,"7","2,861","10","4,087","..",".."
"63","VILLARREAL",,,"7","2,861","9","3,678","..",".."
"64","PAN",,,"7","2,861","6","2,452","..",".."
"65","PINZON",,,"7","2,861","6","2,452","..",".."
"66","ALVAREZ",,,"7","2,861","5","2,043","..",".."
"67","SERRANO",,,"7","2,861","5","2,043","..",".."
"68","CHU",,,"7","2,861","..","..","..",".."
"69","LARA",,,"7","2,861","..","..","..",".."
"70","LOO",,,"7","2,861","..","..","..",".."
"71","MONTERO",,,"7","2,861","..","..","..",".."
"72","OSORIO",,,"7","2,861","..","..","..",".."
"73","QUIROS",,,"7","2,861","..","..","..",".."
"74","REYES",,,"7","2,861","..","..","..",".."
"75","QIU",,,"6","2,452","11","4,495","..",".."
"76","CORDOBA",,,"6","2,452","8","3,269","..",".."
"77","RIVAS",,,"6","2,452","8","3,269","..",".."
"78","VARGAS",,,"6","2,452","8","3,269","..",".."
"79","CHAVEZ",,,"6","2,452","6","2,452","..",".."
"80","PITTI",,,"6","2,452","6","2,452","..",".."
"81","MENDEZ",,,"6","2,452","5","2,043","..",".."
"82","ADAMES",,,"6","2,452","..","..","..",".."
"83","CARLES",,,"6","2,452","..","..","..",".."
"84","DEL RIO",,,"6","2,452","..","..","..",".."
"85","ISAZA",,,"6","2,452","..","..","..",".."
"86","MADRID",,,"6","2,452","..","..","..",".."
"87","MEJIA",,,"6","2,452","..","..","..",".."
"88","MOLINA",,,"6","2,452","..","..","..",".."
"89","PAREDES",,,"6","2,452","..","..","..",".."
"90","RANGEL",,,"6","2,452","..","..","..",".."
"91","ROSAS",,,"6","2,452","..","..","..",".."
"92","TUÑON",,,"6","2,452","..","..","..",".."
"93","DOMINGUEZ",,,"5","2,043","13","5,313","..",".."
"94","GUTIERREZ",,,"5","2,043","9","3,678","..",".."
"95","SALAZAR",,,"5","2,043","9","3,678","..",".."
"96","SAMANIEGO",,,"5","2,043","8","3,269","..",".."
"97","CALDERON",,,"5","2,043","5","2,043","..",".."
"98","AGUIRRE",,,"5","2,043","..","..","..",".."
"99","ALMANZA",,,"5","2,043","..","..","..",".."
"100","ARIAS",,,"5","2,043","..","..","..",".."
"101","ARJONA",,,"5","2,043","..","..","..",".."
"102","CANO",,,"5","2,043","..","..","..",".."
"103","CONTRERAS",,,"5","2,043","..","..","..",".."
"104","GORDON",,,"5","2,043","..","..","..",".."
"105","HOU",,,"5","2,043","..","..","..",".."
"106","LEZCANO",,,"5","2,043","..","..","..",".."
"107","MOJICA",,,"5","2,043","..","..","..",".."
"108","PALMA",,,"5","2,043","..","..","..",".."
"109","POLANCO",,,"5","2,043","..","..","..",".."
"110","SANJUR",,,"5","2,043","..","..","..",".."
"111","SMITH",,,"5","2,043","..","..","..",".."
"112","TEJEIRA",,,"5","2,043","..","..","..",".."
"113","URRIOLA",,,"5","2,043","..","..","..",".."
"114","GUERRA",,,"..","..","12","4,904","..",".."
"115","DELGADO",,,"..","..","10","4,087","..",".."
"116","GUEVARA",,,"..","..","10","4,087","..",".."
"117","BEITIA",,,"..","..","9","3,678","..",".."
"118","ACOSTA",,,"..","..","8","3,269","..",".."
"119","ARROCHA",,,"..","..","8","3,269","..",".."
"120","MONTENEGRO",,,"..","..","8","3,269","..",".."
"121","ROMERO",,,"..","..","8","3,269","..",".."
"122","APARICIO",,,"..","..","7","2,861","..",".."
"123","BERMUDEZ",,,"..","..","7","2,861","..",".."
"124","RUIZ",,,"..","..","7","2,861","..",".."
"125","SERRACIN",,,"..","..","7","2,861","..",".."
"126","ZHANG",,,"..","..","7","2,861","..",".."
"127","BLANCO",,,"..","..","6","2,452","..",".."
"128","CASTRO",,,"..","..","6","2,452","..",".."
"129","ESPINOZA",,,"..","..","6","2,452","..",".."
"130","MORAN",,,"..","..","6","2,452","..",".."
"131","PINTO",,,"..","..","6","2,452","..",".."
"132","SANDOVAL",,,"..","..","6","2,452","..",".."
"133","ANDRADE",,,"..","..","5","2,043","..",".."
"134","AVILA",,,"..","..","5","2,043","..",".."
