"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: República Checa",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","NOVOTNA",,,"23","3,368","..","..","..",".."
"2","DVORAKOVA",,,"22","3,222","..","..","..",".."
"3","JELINKOVA",,,"19","2,782","..","..","..",".."
"4","NOVAKOVA",,,"18","2,636","..","..","..",".."
"5","NOVOTNY",,,"18","2,636","..","..","..",".."
"6","SVOBODOVA",,,"18","2,636","..","..","..",".."
"7","PROCHAZKOVA",,,"17","2,489","..","..","..",".."
"8","GARCIA",,,"15","2,197","..","..","..",".."
"9","NOVAK",,,"13","1,904","..","..","..",".."
"10","ZEMANOVA",,,"12","1,757","..","..","..",".."
"11","BENESOVA",,,"11","1,611","..","..","..",".."
"12","DVORAK",,,"11","1,611","..","..","..",".."
"13","VESELA",,,"11","1,611","..","..","..",".."
"14","CERNA",,,"10","1,464","..","..","..",".."
"15","JELINEK",,,"10","1,464","..","..","..",".."
"16","KRATOCHVILOVA",,,"10","1,464","..","..","..",".."
"17","POSPISILOVA",,,"10","1,464","..","..","..",".."
"18","BARTOSOVA",,,"9","1,318","..","..","..",".."
"19","KUCEROVA",,,"9","1,318","..","..","..",".."
"20","MACHACKOVA",,,"9","1,318","..","..","..",".."
"21","SEDLACKOVA",,,"9","1,318","..","..","..",".."
"22","SVOBODA",,,"9","1,318","..","..","..",".."
"23","MAREK",,,"8","1,171","..","..","..",".."
"24","NAVRATILOVA",,,"8","1,171","..","..","..",".."
"25","SVECOVA",,,"8","1,171","..","..","..",".."
"26","VALENTOVA",,,"8","1,171","..","..","..",".."
"27","DOSTALOVA",,,"7","1,025","..","..","..",".."
"28","FIALOVA",,,"7","1,025","..","..","..",".."
"29","GONZALEZ",,,"7","1,025","..","..","..",".."
"30","KRAL",,,"7","1,025","..","..","..",".."
"31","KUCERA",,,"7","1,025","..","..","..",".."
"32","MACKOVA",,,"7","1,025","..","..","..",".."
"33","MORAVEC",,,"7","1,025","..","..","..",".."
"34","NEMCOVA",,,"7","1,025","..","..","..",".."
"35","POKORNY",,,"7","1,025","..","..","..",".."
"36","PROCHAZKA",,,"7","1,025","..","..","..",".."
"37","RICHTEROVA",,,"7","1,025","..","..","..",".."
"38","SEDLACEK",,,"7","1,025","..","..","..",".."
"39","SEVCIKOVA",,,"7","1,025","..","..","..",".."
"40","BLAZKOVA",,,"6","0,879","..","..","..",".."
"41","CAPKOVA",,,"6","0,879","..","..","..",".."
"42","FIALA",,,"6","0,879","..","..","..",".."
"43","GOMEZ",,,"6","0,879","..","..","..",".."
"44","HANAK",,,"6","0,879","..","..","..",".."
"45","HORAK",,,"6","0,879","..","..","..",".."
"46","HORAKOVA",,,"6","0,879","..","..","..",".."
"47","JANECKOVA",,,"6","0,879","..","..","..",".."
"48","KREJCOVA",,,"6","0,879","..","..","..",".."
"49","KUBESOVA",,,"6","0,879","..","..","..",".."
"50","MARKOVA",,,"6","0,879","..","..","..",".."
"51","MARTINEZ",,,"6","0,879","..","..","..",".."
"52","MUSIL",,,"6","0,879","..","..","..",".."
"53","POCHMAN",,,"6","0,879","..","..","..",".."
"54","POKORNA",,,"6","0,879","..","..","..",".."
"55","REZNICEK",,,"6","0,879","..","..","..",".."
"56","RICHTER",,,"6","0,879","..","..","..",".."
"57","RODRIGUEZ",,,"6","0,879","..","..","..",".."
"58","SLAMOVA",,,"6","0,879","..","..","..",".."
"59","STEPANKOVA",,,"6","0,879","..","..","..",".."
"60","SUERO",,,"6","0,879","..","..","..",".."
"61","SYKOROVA",,,"6","0,879","..","..","..",".."
"62","THOMAS",,,"6","0,879","..","..","..",".."
"63","TICHA",,,"6","0,879","..","..","..",".."
"64","TUMOVA",,,"6","0,879","..","..","..",".."
"65","VLCKOVA",,,"6","0,879","..","..","..",".."
"66","ALONSO",,,"5","0,732","..","..","..",".."
"67","ARAN",,,"5","0,732","..","..","..",".."
"68","BARTON",,,"5","0,732","..","..","..",".."
"69","BARTOVA",,,"5","0,732","..","..","..",".."
"70","BLAHOVA",,,"5","0,732","..","..","..",".."
"71","BLAZEK",,,"5","0,732","..","..","..",".."
"72","CERNY",,,"5","0,732","..","..","..",".."
"73","DEMEL",,,"5","0,732","..","..","..",".."
"74","DLOUHA",,,"5","0,732","..","..","..",".."
"75","HANUSOVA",,,"5","0,732","..","..","..",".."
"76","HARVISON",,,"5","0,732","..","..","..",".."
"77","HAVLIK",,,"5","0,732","..","..","..",".."
"78","HAVLIKOVA",,,"5","0,732","..","..","..",".."
"79","HRUBA",,,"5","0,732","..","..","..",".."
"80","KADLECOVA",,,"5","0,732","..","..","..",".."
"81","KONECNA",,,"5","0,732","..","..","..",".."
"82","KRALOVA",,,"5","0,732","..","..","..",".."
"83","MALA",,,"5","0,732","..","..","..",".."
"84","MATOUSKOVA",,,"5","0,732","..","..","..",".."
"85","NAVRATIL",,,"5","0,732","..","..","..",".."
"86","PECHOVA",,,"5","0,732","..","..","..",".."
"87","PESKOVA",,,"5","0,732","..","..","..",".."
"88","PETRIKOVA",,,"5","0,732","..","..","..",".."
"89","POPELKOVA",,,"5","0,732","..","..","..",".."
"90","POSPISIL",,,"5","0,732","..","..","..",".."
"91","PROKOPOVA",,,"5","0,732","..","..","..",".."
"92","RUZICKA",,,"5","0,732","..","..","..",".."
"93","RUZICKOVA",,,"5","0,732","..","..","..",".."
"94","SAMKOVA",,,"5","0,732","..","..","..",".."
"95","SEDLAK",,,"5","0,732","..","..","..",".."
"96","SIMOVA",,,"5","0,732","..","..","..",".."
"97","SOUKUPOVA",,,"5","0,732","..","..","..",".."
"98","STEPANEK",,,"5","0,732","..","..","..",".."
"99","SYKORA",,,"5","0,732","..","..","..",".."
