"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Sudán                             ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","MOHAMED",,,"21","73,427","7","24,476","..",".."
"2","AHMED",,,"11","38,462","14","48,951","..",".."
"3","IBRAHIM",,,"8","27,972","9","31,469","..",".."
"4","MAHMOUD",,,"7","24,476","..","..","..",".."
"5","ADAM",,,"6","20,979","..","..","..",".."
"6","YASIR",,,"6","20,979","..","..","..",".."
"7","OSMAN",,,"5","17,483","5","17,483","..",".."
"8","ALI",,,"5","17,483","..","..","..",".."
"9","ABDELRAHMAN",,,"..","..","6","20,979","..",".."
"10","SALAH",,,"..","..","5","17,483","..",".."
"NOTAS:",
"0) Por secreto estadístico sólo se muestran los apellidos cuya frecuencia es mayor que 5 en alguno de los dos apellidos para el total nacional. Para las nacionalidades seleccionadas se exige además una frecuencia de al menos 5 en alguno de los dos apellidos. Por esta razón, la frecuencia total para algunos apellidos puede no ser igual a la suma de las nacionalidades que se muestran.  ",,,,,,,,,,,,
"1) Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018",,,,,,,,,,,,

