"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Suecia",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","JOHANSSON",,,"260","14,711","18","1,018","..",".."
"2","ANDERSSON",,,"259","14,654","10","0,566","..",".."
"3","NILSSON",,,"200","11,316","20","1,132","..",".."
"4","ERIKSSON",,,"165","9,336","9","0,509","..",".."
"5","LARSSON",,,"153","8,657","9","0,509","..",".."
"6","KARLSSON",,,"139","7,865","15","0,849","..",".."
"7","OLSSON",,,"139","7,865","11","0,622","..",".."
"8","PERSSON",,,"127","7,186","8","0,453","..",".."
"9","SVENSSON",,,"115","6,507","8","0,453","..",".."
"10","JONSSON",,,"110","6,224","7","0,396","..",".."
"11","GUSTAFSSON",,,"84","4,753","..","..","..",".."
"12","HANSSON",,,"57","3,225","..","..","..",".."
"13","JANSSON",,,"56","3,168","..","..","..",".."
"14","CARLSSON",,,"54","3,055","5","0,283","..",".."
"15","PETTERSSON",,,"53","2,999","..","..","..",".."
"16","LINDBERG",,,"50","2,829","..","..","..",".."
"17","GONZALEZ",,,"42","2,376","21","1,188","..",".."
"18","PETERSSON",,,"38","2,150","..","..","..",".."
"19","BENGTSSON",,,"37","2,093","..","..","..",".."
"20","SANDBERG",,,"35","1,980","..","..","..",".."
"21","MAGNUSSON",,,"33","1,867","..","..","..",".."
"22","RODRIGUEZ",,,"32","1,811","24","1,358","..",".."
"23","OLOFSSON",,,"32","1,811","..","..","..",".."
"24","LINDSTROM",,,"31","1,754","5","0,283","..",".."
"25","BJORKLUND",,,"31","1,754","..","..","..",".."
"26","LUNDBERG",,,"31","1,754","..","..","..",".."
"27","LUNDGREN",,,"31","1,754","..","..","..",".."
"28","FORSBERG",,,"29","1,641","..","..","..",".."
"29","HENRIKSSON",,,"29","1,641","..","..","..",".."
"30","BERGLUND",,,"28","1,584","..","..","..",".."
"31","MATTSSON",,,"28","1,584","..","..","..",".."
"32","BERG",,,"27","1,528","..","..","..",".."
"33","JAKOBSSON",,,"27","1,528","..","..","..",".."
"34","SUNDBERG",,,"27","1,528","..","..","..",".."
"35","SANCHEZ",,,"26","1,471","11","0,622","..",".."
"36","LINDGREN",,,"26","1,471","..","..","..",".."
"37","GARCIA",,,"25","1,415","23","1,301","..",".."
"38","DANIELSSON",,,"25","1,415","..","..","..",".."
"39","JENSEN",,,"25","1,415","..","..","..",".."
"40","LOPEZ",,,"24","1,358","21","1,188","..",".."
"41","PEREZ",,,"24","1,358","17","0,962","..",".."
"42","BERGGREN",,,"24","1,358","..","..","..",".."
"43","HOLM",,,"23","1,301","..","..","..",".."
"44","ISAKSSON",,,"23","1,301","..","..","..",".."
"45","ROJAS",,,"22","1,245","10","0,566","..",".."
"46","BERGMAN",,,"22","1,245","..","..","..",".."
"47","BERGSTROM",,,"22","1,245","..","..","..",".."
"48","NORDSTROM",,,"22","1,245","..","..","..",".."
"49","NYBERG",,,"22","1,245","..","..","..",".."
"50","LUNDIN",,,"21","1,188","..","..","..",".."
"51","DAHLBERG",,,"20","1,132","..","..","..",".."
"52","FALK",,,"20","1,132","..","..","..",".."
"53","LINDQVIST",,,"20","1,132","..","..","..",".."
"54","HAKANSSON",,,"19","1,075","..","..","..",".."
"55","HOLMBERG",,,"19","1,075","..","..","..",".."
"56","SJOGREN",,,"19","1,075","..","..","..",".."
"57","SILVA",,,"18","1,018","8","0,453","..",".."
"58","FERNANDEZ",,,"18","1,018","5","0,283","..",".."
"59","AXELSSON",,,"18","1,018","..","..","..",".."
"60","FREDRIKSSON",,,"18","1,018","..","..","..",".."
"61","GUSTAVSSON",,,"18","1,018","..","..","..",".."
"62","MALMBERG",,,"18","1,018","..","..","..",".."
"63","NORDIN",,,"18","1,018","..","..","..",".."
"64","SJOBERG",,,"18","1,018","..","..","..",".."
"65","SODERBERG",,,"18","1,018","..","..","..",".."
"66","ARVIDSSON",,,"17","0,962","..","..","..",".."
"67","BLOM",,,"17","0,962","..","..","..",".."
"68","ENGSTROM",,,"17","0,962","..","..","..",".."
"69","HEDBERG",,,"17","0,962","..","..","..",".."
"70","HOLMGREN",,,"17","0,962","..","..","..",".."
"71","LIND",,,"17","0,962","..","..","..",".."
"72","LUNDQVIST",,,"17","0,962","..","..","..",".."
"73","MANSSON",,,"17","0,962","..","..","..",".."
"74","SANDSTROM",,,"17","0,962","..","..","..",".."
"75","WALLIN",,,"17","0,962","..","..","..",".."
"76","MUÑOZ",,,"16","0,905","12","0,679","..",".."
"77","ALVAREZ",,,"16","0,905","9","0,509","..",".."
"78","CABRERA",,,"16","0,905","..","..","..",".."
"79","CLAESSON",,,"16","0,905","..","..","..",".."
"80","EKMAN",,,"16","0,905","..","..","..",".."
"81","ENGLUND",,,"16","0,905","..","..","..",".."
"82","GUNNARSSON",,,"16","0,905","..","..","..",".."
"83","JONASSON",,,"16","0,905","..","..","..",".."
"84","LOFGREN",,,"16","0,905","..","..","..",".."
"85","OSTERBERG",,,"16","0,905","..","..","..",".."
"86","SAHLIN",,,"16","0,905","..","..","..",".."
"87","SJOSTROM",,,"16","0,905","..","..","..",".."
"88","SUAREZ",,,"16","0,905","..","..","..",".."
"89","MARTINEZ",,,"15","0,849","16","0,905","..",".."
"90","RAMIREZ",,,"15","0,849","7","0,396","..",".."
"91","EKLUND",,,"15","0,849","..","..","..",".."
"92","HALLBERG",,,"15","0,849","..","..","..",".."
"93","HOLMQVIST",,,"15","0,849","..","..","..",".."
"94","MARTINSSON",,,"15","0,849","..","..","..",".."
"95","NIELSEN",,,"15","0,849","..","..","..",".."
"96","NYSTROM",,,"15","0,849","..","..","..",".."
"97","DIAZ",,,"14","0,792","11","0,622","..",".."
"98","BERGQVIST",,,"14","0,792","..","..","..",".."
"99","BLOMQVIST",,,"14","0,792","..","..","..",".."
"100","EK",,,"14","0,792","..","..","..",".."
"101","FRANZEN",,,"14","0,792","..","..","..",".."
"102","LANTZ",,,"14","0,792","..","..","..",".."
"103","SAMUELSSON",,,"14","0,792","..","..","..",".."
"104","CRUZ",,,"13","0,736","10","0,566","..",".."
"105","MORALES",,,"13","0,736","10","0,566","..",".."
"106","ABRAHAMSSON",,,"13","0,736","..","..","..",".."
"107","AHLBERG",,,"13","0,736","..","..","..",".."
"108","ANDERSON",,,"13","0,736","..","..","..",".."
"109","DAHLIN",,,"13","0,736","..","..","..",".."
"110","EKSTROM",,,"13","0,736","..","..","..",".."
"111","ELIASSON",,,"13","0,736","..","..","..",".."
"112","LINDHOLM",,,"13","0,736","..","..","..",".."
"113","LUND",,,"13","0,736","..","..","..",".."
"114","MOLIN",,,"13","0,736","..","..","..",".."
"115","NYGREN",,,"13","0,736","..","..","..",".."
"116","OBERG",,,"13","0,736","..","..","..",".."
"117","OTTOSSON",,,"13","0,736","..","..","..",".."
"118","SOYAL",,,"13","0,736","..","..","..",".."
"119","STENBERG",,,"13","0,736","..","..","..",".."
"120","WESTERLUND",,,"13","0,736","..","..","..",".."
"121","ALM",,,"12","0,679","..","..","..",".."
"122","BORG",,,"12","0,679","..","..","..",".."
"123","BROBERG",,,"12","0,679","..","..","..",".."
"124","DAHL",,,"12","0,679","..","..","..",".."
"125","ENGDAHL",,,"12","0,679","..","..","..",".."
"126","ENGSTROEM",,,"12","0,679","..","..","..",".."
"127","ERICSSON",,,"12","0,679","..","..","..",".."
"128","GRANBERG",,,"12","0,679","..","..","..",".."
"129","HEDIN",,,"12","0,679","..","..","..",".."
"130","JIMENEZ",,,"12","0,679","..","..","..",".."
"131","MELIN",,,"12","0,679","..","..","..",".."
"132","STRANDBERG",,,"12","0,679","..","..","..",".."
"133","STROM",,,"12","0,679","..","..","..",".."
"134","STROMBERG",,,"12","0,679","..","..","..",".."
"135","THOREN",,,"12","0,679","..","..","..",".."
"136","VIKLUND",,,"12","0,679","..","..","..",".."
"137","TORRES",,,"11","0,622","9","0,509","..",".."
"138","AHLGREN",,,"11","0,622","..","..","..",".."
"139","ANDERSEN",,,"11","0,622","..","..","..",".."
"140","BHAGWANI",,,"11","0,622","..","..","..",".."
"141","BJORK",,,"11","0,622","..","..","..",".."
"142","BORJESSON",,,"11","0,622","..","..","..",".."
"143","EKELUND",,,"11","0,622","..","..","..",".."
"144","HEDLUND",,,"11","0,622","..","..","..",".."
"145","HEDMAN",,,"11","0,622","..","..","..",".."
"146","HOGLUND",,,"11","0,622","..","..","..",".."
"147","HOLMSTROM",,,"11","0,622","..","..","..",".."
"148","JOSEFSSON",,,"11","0,622","..","..","..",".."
"149","KRISTIANSSON",,,"11","0,622","..","..","..",".."
"150","LILJA",,,"11","0,622","..","..","..",".."
"151","LUNDSTROM",,,"11","0,622","..","..","..",".."
"152","MARTENSSON",,,"11","0,622","..","..","..",".."
"153","MARTIN",,,"11","0,622","..","..","..",".."
"154","NORBERG",,,"11","0,622","..","..","..",".."
"155","ROSEN",,,"11","0,622","..","..","..",".."
"156","STRAND",,,"11","0,622","..","..","..",".."
"157","HERNANDEZ",,,"10","0,566","12","0,679","..",".."
"158","HERRERA",,,"10","0,566","10","0,566","..",".."
"159","AGUIRRE",,,"10","0,566","5","0,283","..",".."
"160","GOMEZ",,,"10","0,566","5","0,283","..",".."
"161","ALMQVIST",,,"10","0,566","..","..","..",".."
"162","BACKMAN",,,"10","0,566","..","..","..",".."
"163","BERGSTRAND",,,"10","0,566","..","..","..",".."
"164","BERGSTROEM",,,"10","0,566","..","..","..",".."
"165","BERNDTSSON",,,"10","0,566","..","..","..",".."
"166","DAHLGREN",,,"10","0,566","..","..","..",".."
"167","FOGELBERG",,,"10","0,566","..","..","..",".."
"168","HAGGLUND",,,"10","0,566","..","..","..",".."
"169","HAGLUND",,,"10","0,566","..","..","..",".."
"170","HAGSTROM",,,"10","0,566","..","..","..",".."
"171","HANSEN",,,"10","0,566","..","..","..",".."
"172","HOLMLUND",,,"10","0,566","..","..","..",".."
"173","JACOBSSON",,,"10","0,566","..","..","..",".."
"174","LINDBLOM",,,"10","0,566","..","..","..",".."
"175","LUNDQUIST",,,"10","0,566","..","..","..",".."
"176","NIKLASSON",,,"10","0,566","..","..","..",".."
"177","NORD",,,"10","0,566","..","..","..",".."
"178","OHLSSON",,,"10","0,566","..","..","..",".."
"179","PALM",,,"10","0,566","..","..","..",".."
"180","RIVERO",,,"10","0,566","..","..","..",".."
"181","STAHL",,,"10","0,566","..","..","..",".."
"182","SUNDQVIST",,,"10","0,566","..","..","..",".."
"183","WIKSTROM",,,"10","0,566","..","..","..",".."
"184","ABERG",,,"9","0,509","..","..","..",".."
"185","ADOLFSSON",,,"9","0,509","..","..","..",".."
"186","ASTROM",,,"9","0,509","..","..","..",".."
"187","BACKSTROM",,,"9","0,509","..","..","..",".."
"188","BJORKMAN",,,"9","0,509","..","..","..",".."
"189","BLOMBERG",,,"9","0,509","..","..","..",".."
"190","BOHLIN",,,"9","0,509","..","..","..",".."
"191","DAHLSTROM",,,"9","0,509","..","..","..",".."
"192","ERICSON",,,"9","0,509","..","..","..",".."
"193","FRIBERG",,,"9","0,509","..","..","..",".."
"194","IVARSSON",,,"9","0,509","..","..","..",".."
"195","LINDEN",,,"9","0,509","..","..","..",".."
"196","LINDQUIST",,,"9","0,509","..","..","..",".."
"197","MALM",,,"9","0,509","..","..","..",".."
"198","MALMSTROM",,,"9","0,509","..","..","..",".."
"199","MULLER",,,"9","0,509","..","..","..",".."
"200","NORMAN",,,"9","0,509","..","..","..",".."
