"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Estados Unidos de América",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","RODRIGUEZ",,,"265","7,636","93","2,680","7","0,202"
"2","GONZALEZ",,,"211","6,080","83","2,392","..",".."
"3","SMITH",,,"202","5,820","5","0,144","..",".."
"4","GARCIA",,,"198","5,705","93","2,680","..",".."
"5","MARTINEZ",,,"176","5,071","67","1,931","..",".."
"6","PEREZ",,,"156","4,495","47","1,354","..",".."
"7","LOPEZ",,,"135","3,890","62","1,786","..",".."
"8","JOHNSON",,,"132","3,803","6","0,173","..",".."
"9","HERNANDEZ",,,"119","3,429","52","1,498","..",".."
"10","FERNANDEZ",,,"115","3,314","37","1,066","..",".."
"11","TORRES",,,"109","3,141","43","1,239","..",".."
"12","DIAZ",,,"106","3,054","42","1,210","..",".."
"13","GOMEZ",,,"98","2,824","29","0,836","..",".."
"14","JONES",,,"98","2,824","..","..","..",".."
"15","RIVERA",,,"92","2,651","63","1,815","..",".."
"16","DAVIS",,,"92","2,651","..","..","..",".."
"17","SANCHEZ",,,"91","2,622","43","1,239","..",".."
"18","MILLER",,,"91","2,622","..","..","..",".."
"19","BROWN",,,"84","2,420","..","..","..",".."
"20","MARTIN",,,"76","2,190","15","0,432","..",".."
"21","ALVAREZ",,,"75","2,161","23","0,663","..",".."
"22","ORTIZ",,,"72","2,075","28","0,807","..",".."
"23","WILLIAMS",,,"66","1,902","..","..","..",".."
"24","WHITE",,,"65","1,873","..","..","..",".."
"25","ANDERSON",,,"60","1,729","..","..","..",".."
"26","JIMENEZ",,,"57","1,642","16","0,461","..",".."
"27","RAMIREZ",,,"52","1,498","30","0,864","..",".."
"28","WILSON",,,"51","1,470","..","..","..",".."
"29","RAMOS",,,"50","1,441","17","0,490","..",".."
"30","THOMPSON",,,"50","1,441","..","..","..",".."
"31","MORALES",,,"48","1,383","21","0,605","..",".."
"32","GUTIERREZ",,,"48","1,383","11","0,317","..",".."
"33","CLARK",,,"47","1,354","..","..","..",".."
"34","MOORE",,,"47","1,354","..","..","..",".."
"35","CRUZ",,,"46","1,325","21","0,605","..",".."
"36","WALKER",,,"46","1,325","..","..","..",".."
"37","VAZQUEZ",,,"45","1,297","18","0,519","..",".."
"38","TAYLOR",,,"45","1,297","..","..","..",".."
"39","CASTRO",,,"43","1,239","9","0,259","..",".."
"40","MORENO",,,"43","1,239","8","0,231","..",".."
"41","KING",,,"43","1,239","..","..","..",".."
"42","NELSON",,,"43","1,239","..","..","..",".."
"43","HILL",,,"41","1,181","..","..","..",".."
"44","RUIZ",,,"40","1,153","24","0,692","..",".."
"45","REYES",,,"40","1,153","21","0,605","..",".."
"46","SOTO",,,"40","1,153","14","0,403","..",".."
"47","THOMAS",,,"40","1,153","..","..","..",".."
"48","CASTILLO",,,"39","1,124","14","0,403","..",".."
"49","HARRIS",,,"39","1,124","..","..","..",".."
"50","FLORES",,,"38","1,095","14","0,403","..",".."
"51","MEDINA",,,"38","1,095","12","0,346","..",".."
"52","HERRERA",,,"37","1,066","7","0,202","..",".."
"53","CABRERA",,,"36","1,037","..","..","..",".."
"54","SANTIAGO",,,"35","1,009","19","0,547","..",".."
"55","CAMPBELL",,,"35","1,009","..","..","..",".."
"56","ROMERO",,,"34","0,980","11","0,317","..",".."
"57","ALONSO",,,"34","0,980","9","0,259","..",".."
"58","LEE",,,"33","0,951","..","..","..",".."
"59","LEWIS",,,"33","0,951","..","..","..",".."
"60","PHILLIPS",,,"33","0,951","..","..","..",".."
"61","ROGERS",,,"33","0,951","..","..","..",".."
"62","VARGAS",,,"32","0,922","16","0,461","..",".."
"63","KELLY",,,"32","0,922","..","..","..",".."
"64","HALL",,,"31","0,893","..","..","..",".."
"65","ADAMS",,,"30","0,864","..","..","..",".."
"66","COOK",,,"30","0,864","..","..","..",".."
"67","MITCHELL",,,"30","0,864","..","..","..",".."
"68","SCOTT",,,"30","0,864","..","..","..",".."
"69","FIGUEROA",,,"29","0,836","15","0,432","..",".."
"70","MOLINA",,,"29","0,836","11","0,317","..",".."
"71","BAKER",,,"29","0,836","..","..","..",".."
"72","ALLEN",,,"28","0,807","..","..","..",".."
"73","WRIGHT",,,"28","0,807","..","..","..",".."
"74","YOUNG",,,"28","0,807","..","..","..",".."
"75","DOMINGUEZ",,,"27","0,778","14","0,403","..",".."
"76","MENDEZ",,,"27","0,778","11","0,317","..",".."
"77","EVANS",,,"27","0,778","..","..","..",".."
"78","FOSTER",,,"27","0,778","..","..","..",".."
"79","HICKS",,,"27","0,778","..","..","..",".."
"80","JACKSON",,,"27","0,778","..","..","..",".."
"81","ROBINSON",,,"27","0,778","..","..","..",".."
"82","WARD",,,"27","0,778","..","..","..",".."
"83","GREEN",,,"26","0,749","..","..","..",".."
"84","STEWART",,,"26","0,749","..","..","..",".."
"85","DELGADO",,,"25","0,720","13","0,375","..",".."
"86","SANTOS",,,"25","0,720","12","0,346","..",".."
"87","SALAZAR",,,"25","0,720","9","0,259","..",".."
"88","VELEZ",,,"25","0,720","9","0,259","..",".."
"89","CHAVEZ",,,"25","0,720","7","0,202","..",".."
"90","BENNETT",,,"25","0,720","..","..","..",".."
"91","MURPHY",,,"25","0,720","..","..","..",".."
"92","COHEN",,,"24","0,692","..","..","..",".."
"93","LAWRENCE",,,"24","0,692","..","..","..",".."
"94","MUÑOZ",,,"23","0,663","14","0,403","..",".."
"95","MIRANDA",,,"23","0,663","9","0,259","..",".."
"96","BLANCO",,,"23","0,663","7","0,202","..",".."
"97","LEON",,,"23","0,663","6","0,173","..",".."
"98","MARQUEZ",,,"23","0,663","6","0,173","..",".."
"99","PETERSON",,,"23","0,663","..","..","..",".."
"100","ROBERTS",,,"23","0,663","..","..","..",".."
"101","RYAN",,,"23","0,663","..","..","..",".."
"102","WELLS",,,"23","0,663","..","..","..",".."
"103","MEJIA",,,"22","0,634","8","0,231","..",".."
"104","MENDOZA",,,"22","0,634","6","0,173","..",".."
"105","ROSARIO",,,"22","0,634","6","0,173","..",".."
"106","BAILEY",,,"22","0,634","..","..","..",".."
"107","COLLINS",,,"22","0,634","..","..","..",".."
"108","FISHER",,,"22","0,634","..","..","..",".."
"109","GRANT",,,"22","0,634","..","..","..",".."
"110","MORRIS",,,"22","0,634","..","..","..",".."
"111","PARKER",,,"22","0,634","..","..","..",".."
"112","ROSE",,,"22","0,634","..","..","..",".."
"113","SULLIVAN",,,"22","0,634","..","..","..",".."
"114","ARIAS",,,"21","0,605","8","0,231","..",".."
"115","ACEVEDO",,,"21","0,605","7","0,202","..",".."
"116","ROMAN",,,"21","0,605","6","0,173","..",".."
"117","RICHARDS",,,"21","0,605","..","..","..",".."
"118","ROSS",,,"21","0,605","..","..","..",".."
"119","WOOD",,,"21","0,605","..","..","..",".."
"120","ORTEGA",,,"20","0,576","13","0,375","..",".."
"121","SILVA",,,"20","0,576","9","0,259","..",".."
"122","FUENTES",,,"20","0,576","8","0,231","..",".."
"123","NAVARRO",,,"20","0,576","8","0,231","..",".."
"124","ROJAS",,,"20","0,576","8","0,231","..",".."
"125","PENA",,,"20","0,576","7","0,202","..",".."
"126","BERMUDEZ",,,"20","0,576","..","..","..",".."
"127","BONILLA",,,"20","0,576","..","..","..",".."
"128","CARTER",,,"20","0,576","..","..","..",".."
"129","COOPER",,,"20","0,576","..","..","..",".."
"130","GOODMAN",,,"20","0,576","..","..","..",".."
"131","HANSEN",,,"20","0,576","..","..","..",".."
"132","HAYES",,,"20","0,576","..","..","..",".."
"133","HUGHES",,,"20","0,576","..","..","..",".."
"134","MORAN",,,"20","0,576","..","..","..",".."
"135","NORRIS",,,"20","0,576","..","..","..",".."
"136","RUSSELL",,,"20","0,576","..","..","..",".."
"137","GUZMAN",,,"19","0,547","14","0,403","..",".."
"138","CALDERON",,,"19","0,547","7","0,202","..",".."
"139","PEÑA",,,"19","0,547","6","0,173","..",".."
"140","BOWMAN",,,"19","0,547","..","..","..",".."
"141","COX",,,"19","0,547","..","..","..",".."
"142","CUEVAS",,,"19","0,547","..","..","..",".."
"143","GORDON",,,"19","0,547","..","..","..",".."
"144","JARAMILLO",,,"19","0,547","..","..","..",".."
"145","KELLEY",,,"19","0,547","..","..","..",".."
"146","SANDERS",,,"19","0,547","..","..","..",".."
"147","SCHMIDT",,,"19","0,547","..","..","..",".."
"148","COLON",,,"18","0,519","22","0,634","..",".."
"149","SUAREZ",,,"18","0,519","14","0,403","..",".."
"150","VEGA",,,"18","0,519","14","0,403","..",".."
"151","SOSA",,,"18","0,519","9","0,259","..",".."
"152","FRANCO",,,"18","0,519","8","0,231","..",".."
"153","MONTERO",,,"18","0,519","8","0,231","..",".."
