"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Vietnam                           ",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","NGUYEN",,,"422","262,438","16","9,950","..",".."
"2","TRAN",,,"133","82,711","7","4,353","..",".."
"3","LE",,,"80","49,751","7","4,353","..",".."
"4","PHAM",,,"75","46,642","9","5,597","..",".."
"5","HOANG",,,"59","36,692","8","4,975","..",".."
"6","DANG",,,"35","21,766","..","..","..",".."
"7","VU",,,"32","19,900","5","3,109","..",".."
"8","PHAN",,,"32","19,900","..","..","..",".."
"9","NGO",,,"25","15,547","..","..","..",".."
"10","TRUONG",,,"23","14,303","..","..","..",".."
"11","BUI",,,"21","13,060","..","..","..",".."
"12","TRINH",,,"19","11,816","..","..","..",".."
"13","DO",,,"17","10,572","..","..","..",".."
"14","DINH",,,"16","9,950","..","..","..",".."
"15","NGUYEN THI",,,"16","9,950","..","..","..",".."
"16","THI",,,"15","9,328","71","44,154","..",".."
"17","HUYNH",,,"13","8,085","..","..","..",".."
"18","VO",,,"13","8,085","..","..","..",".."
"19","CAO",,,"12","7,463","..","..","..",".."
"20","DUONG",,,"12","7,463","..","..","..",".."
"21","HA",,,"12","7,463","..","..","..",".."
"22","HO",,,"11","6,841","..","..","..",".."
"23","LE THI",,,"11","6,841","..","..","..",".."
"24","MAI",,,"10","6,219","..","..","..",".."
"25","DOAN",,,"9","5,597","6","3,731","..",".."
"26","PHUNG",,,"9","5,597","..","..","..",".."
"27","VAN",,,"8","4,975","30","18,657","..",".."
"28","TRAN THI",,,"8","4,975","..","..","..",".."
"29","CHU",,,"7","4,353","..","..","..",".."
"30","LUONG",,,"7","4,353","..","..","..",".."
"31","VAN LE",,,"7","4,353","..","..","..",".."
"32","DAO",,,"6","3,731","..","..","..",".."
"33","VAN NGUYEN",,,"6","3,731","..","..","..",".."
"34","NGOC",,,"5","3,109","12","7,463","..",".."
"35","LAM",,,"5","3,109","..","..","..",".."
"36","LUU",,,"5","3,109","..","..","..",".."
"37","LY",,,"5","3,109","..","..","..",".."
"38","TA",,,"5","3,109","..","..","..",".."
"39","TRANG",,,"5","3,109","..","..","..",".."
"40","THANH",,,"..","..","12","7,463","..",".."
"41","PHUONG",,,"..","..","10","6,219","..",".."
"42","HUU",,,"..","..","9","5,597","..",".."
"43","MINH",,,"..","..","9","5,597","..",".."
"44","DUC",,,"..","..","8","4,975","..",".."
"45","QUANG",,,"..","..","8","4,975","..",".."
"46","ANH",,,"..","..","7","4,353","..",".."
"47","VIET",,,"..","..","7","4,353","..",".."
"48","QUOC",,,"..","..","6","3,731","..",".."
"49","THI THU",,,"..","..","6","3,731","..",".."
"NOTAS:",
"0) Por secreto estadístico sólo se muestran los apellidos cuya frecuencia es mayor que 5 en alguno de los dos apellidos para el total nacional. Para las nacionalidades seleccionadas se exige además una frecuencia de al menos 5 en alguno de los dos apellidos. Por esta razón, la frecuencia total para algunos apellidos puede no ser igual a la suma de las nacionalidades que se muestran.  ",,,,,,,,,,,,
"1) Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018",,,,,,,,,,,,

