PRIMER APELLIDO,FRECUENCIA
GARCIA,36.341  
RODRIGUEZ,34.234  
FERNANDEZ,31.599  
LOPEZ,31.519  
MARTINEZ,22.690  
GONZALEZ,21.093  
VAZQUEZ,19.965  
PEREZ,19.654  
SANCHEZ,14.211  
CASTRO,13.261  
GOMEZ,12.796  
VARELA,12.069  
SUAREZ,10.356  
BLANCO,9.901  
IGLESIAS,9.792  
DIAZ,9.756  
REY,9.568  
ALVAREZ,7.081  
OTERO,7.049  
ROMERO,6.160  
DOMINGUEZ,4.928  
SOUTO,4.703  
VIDAL,4.703  
SANTOS,4.563  
RAMOS,4.491  
PIÑEIRO,4.403  
PENA,4.255  
BARREIRO,4.233  
MOSQUERA,4.144  
CALVO,4.105  
LORENZO,3.980  
FREIRE,3.974  
SEOANE,3.972  
FRAGA,3.919  
CAAMAÑO,3.877  
MENDEZ,3.860  
LEMA,3.795  
FERREIRO,3.735  
PAZ,3.656  
LAGO,3.541  
ALONSO,3.434  
PEREIRA,3.365  
PAZOS,3.290  
VILLAR,3.163  
NUÑEZ,3.134  
RIVAS,3.028  
CASAL,2.816  
PARDO,2.811  
BELLO,2.631  
MONTERO,2.602  
