PRIMER APELLIDO,FRECUENCIA
GARCIA,21.295  
MARTINEZ,21.168  
LOPEZ,14.121  
SANCHEZ,14.059  
GONZALEZ,9.300  
GOMEZ,7.227  
FERNANDEZ,7.156  
MORENO,6.048  
JIMENEZ,6.014  
PEREZ,5.571  
RODRIGUEZ,4.861  
NAVARRO,4.342  
RUIZ,3.993  
DIAZ,2.804  
HERNANDEZ,2.632  
SERRANO,2.544  
ROMERO,2.410  
SAEZ,2.295  
MUÑOZ,2.244  
MOLINA,2.148  
ALFARO,2.145  
RUBIO,2.073  
LOZANO,2.020  
CASTILLO,2.019  
PICAZO,1.689  
ORTEGA,1.583  
MORCILLO,1.470  
CANO,1.462  
CUENCA,1.429  
ORTIZ,1.411  
GIL,1.383  
TORRES,1.357  
CORCOLES,1.350  
GARRIDO,1.309  
RODENAS,1.260  
CEBRIAN,1.220  
CALERO,1.218  
NUÑEZ,1.217  
MARIN,1.215  
TEBAR,1.175  
MOYA,1.163  
REQUENA,1.140  
RAMIREZ,1.135  
ALARCON,1.098  
COLLADO,1.070  
BLAZQUEZ,1.061  
VALERO,1.033  
PARDO,1.001  
BALLESTEROS,990  
CUESTA,976  
