PRIMER APELLIDO,FRECUENCIA
GARCIA,57.066  
MARTINEZ,54.434  
PEREZ,34.213  
SANCHEZ,33.319  
LOPEZ,31.964  
RODRIGUEZ,21.819  
FERNANDEZ,21.549  
GONZALEZ,20.026  
GOMEZ,15.873  
NAVARRO,14.636  
RUIZ,14.483  
HERNANDEZ,13.802  
MORENO,12.016  
MUÑOZ,8.973  
PASTOR,8.798  
JIMENEZ,8.318  
DIAZ,8.209  
TORRES,7.188  
MOLINA,7.060  
MARTIN,6.137  
GIL,6.097  
ROMERO,6.032  
SERRANO,5.522  
SOLER,5.212  
CORTES,4.932  
RICO,4.891  
MAS,4.663  
JUAN,4.454  
VALERO,4.353  
GIMENEZ,4.302  
MARIN,4.282  
PASCUAL,4.192  
RUBIO,4.159  
MIRA,4.080  
FERRER,4.048  
ORTIZ,4.045  
BERNABEU,4.001  
ALVAREZ,3.994  
VERDU,3.984  
VIDAL,3.978  
SEMPERE,3.977  
GUTIERREZ,3.898  
ANTON,3.869  
RAMIREZ,3.781  
AMOROS,3.671  
ORTEGA,3.663  
MIRALLES,3.645  
SAEZ,3.617  
ALONSO,3.589  
LOZANO,3.554  
