PRIMER APELLIDO,FRECUENCIA
GARCIA,20.504  
GONZALEZ,19.689  
SANCHEZ,19.018  
RODRIGUEZ,17.634  
FERNANDEZ,12.720  
GOMEZ,9.354  
LOPEZ,8.843  
PEREZ,8.741  
DIAZ,7.996  
MORENO,7.817  
MARTINEZ,6.838  
MARTIN,6.161  
ROMERO,5.905  
MUÑOZ,5.227  
HERNANDEZ,5.156  
ALVAREZ,5.073  
JIMENEZ,4.609  
RUIZ,4.092  
DOMINGUEZ,3.964  
VAZQUEZ,3.852  
RAMOS,3.467  
GUERRERO,3.396  
GUTIERREZ,3.198  
DURAN,3.136  
GALLARDO,3.102  
DELGADO,3.061  
NUÑEZ,3.000  
MARQUEZ,2.975  
BLANCO,2.850  
GIL,2.825  
GALLEGO,2.804  
FLORES,2.779  
LOZANO,2.760  
ORTIZ,2.735  
BENITEZ,2.688  
CORTES,2.631  
CABALLERO,2.569  
CARRASCO,2.563  
MENDEZ,2.510  
MURILLO,2.419  
SANTOS,2.399  
NIETO,2.285  
CARMONA,2.247  
CALDERON,2.235  
SUAREZ,2.212  
SERRANO,2.210  
SILVA,2.208  
TORRES,2.168  
RUBIO,2.140  
RAMIREZ,2.115  
