PRIMER APELLIDO,FRECUENCIA
GARCIA,21.112  
MARTINEZ,14.418  
LOPEZ,13.122  
SANCHEZ,12.852  
RODRIGUEZ,12.850  
FERNANDEZ,12.707  
GONZALEZ,12.236  
PEREZ,10.082  
TORRES,8.797  
PONS,8.727  
GOMEZ,6.876  
JIMENEZ,6.266  
MORENO,6.182  
FERRER,5.862  
MARTIN,5.795  
RUIZ,5.653  
MUÑOZ,5.366  
SERRA,5.029  
RIERA,4.812  
DIAZ,4.768  
HERNANDEZ,4.726  
OLIVER,4.433  
COLL,4.199  
MARI,4.074  
VIDAL,4.069  
BARCELO,4.002  
ROMERO,3.724  
MAS,3.504  
ALVAREZ,3.452  
RIBAS,3.253  
ROSSELLO,3.175  
JUAN,3.167  
NAVARRO,3.158  
TUR,3.096  
CORTES,3.078  
PERELLO,2.915  
SASTRE,2.915  
AMENGUAL,2.880  
ROIG,2.877  
RAMIS,2.832  
BAUZA,2.683  
CARDONA,2.673  
RAMIREZ,2.546  
MARTORELL,2.545  
SEGUI,2.497  
COSTA,2.480  
MOLINA,2.435  
PASCUAL,2.389  
RAMON,2.355  
GOMILA,2.304  
