PRIMER APELLIDO,FRECUENCIA
GARCIA,135.062  
MARTINEZ,94.204  
LOPEZ,91.749  
SANCHEZ,81.864  
RODRIGUEZ,80.120  
FERNANDEZ,77.216  
PEREZ,74.865  
GONZALEZ,73.169  
GOMEZ,44.925  
RUIZ,39.682  
MARTIN,36.618  
JIMENEZ,35.950  
MORENO,32.835  
HERNANDEZ,31.490  
MUÑOZ,30.399  
DIAZ,28.805  
ROMERO,23.285  
NAVARRO,22.217  
ALVAREZ,22.014  
TORRES,20.386  
GUTIERREZ,16.174  
MOLINA,15.886  
RAMIREZ,15.247  
SERRANO,14.828  
GIL,14.202  
MORALES,13.582  
RAMOS,13.352  
MARIN,13.111  
ORTIZ,12.536  
ORTEGA,12.451  
ALONSO,12.441  
DOMINGUEZ,11.919  
RUBIO,11.851  
DELGADO,11.705  
FERRER,11.490  
VILA,11.413  
GIMENEZ,11.386  
SOLER,11.230  
VAZQUEZ,11.219  
FLORES,11.134  
CASTILLO,11.121  
CASTRO,11.011  
SERRA,10.826  
CORTES,10.429  
VIDAL,10.350  
MEDINA,10.017  
PUIG,9.650  
MARTI,9.537  
CANO,9.460  
GUERRERO,9.139  
