PRIMER APELLIDO,FRECUENCIA
GARCIA,14.053  
GONZALEZ,10.820  
MARTINEZ,8.798  
PEREZ,7.296  
LOPEZ,6.209  
FERNANDEZ,6.009  
ALONSO,5.291  
MARTIN,4.501  
RUIZ,4.491  
RODRIGUEZ,4.305  
GOMEZ,3.903  
DIEZ,3.663  
GUTIERREZ,3.291  
SANTAMARIA,3.078  
ORTEGA,2.751  
SAIZ,2.151  
SANZ,2.124  
SANCHEZ,2.090  
HERNANDEZ,1.911  
PEÑA,1.891  
HERNANDO,1.887  
JIMENEZ,1.657  
DELGADO,1.639  
ALVAREZ,1.631  
MIGUEL,1.626  
GIL,1.568  
CALVO,1.541  
PASCUAL,1.458  
BLANCO,1.426  
IZQUIERDO,1.418  
MORENO,1.410  
ORTIZ,1.336  
VELASCO,1.326  
ARNAIZ,1.321  
IBAÑEZ,1.275  
BENITO,1.254  
SAEZ,1.245  
MUÑOZ,1.208  
HERRERO,1.170  
ESTEBAN,1.110  
ARRIBAS,1.071  
MERINO,1.068  
ANTON,1.059  
PALACIOS,1.046  
CUESTA,1.042  
NUÑEZ,1.025  
RAMOS,972  
ARROYO,954  
DIAZ,950  
ANDRES,948  
