PRIMER APELLIDO,FRECUENCIA
SANCHEZ,14.569  
GARCIA,13.256  
MARTIN,12.637  
GONZALEZ,9.940  
RODRIGUEZ,8.325  
FERNANDEZ,7.629  
PEREZ,6.936  
GOMEZ,5.583  
HERNANDEZ,5.396  
JIMENEZ,5.389  
MORENO,4.547  
DIAZ,4.500  
LOPEZ,4.315  
DOMINGUEZ,4.032  
MUÑOZ,3.502  
IGLESIAS,3.314  
MATEOS,2.434  
RAMOS,2.415  
RUBIO,2.232  
GIL,2.156  
ALONSO,2.067  
DURAN,2.037  
ALVAREZ,2.002  
GUTIERREZ,1.973  
SERRANO,1.871  
BRAVO,1.783  
ROMERO,1.759  
MONTERO,1.714  
MARTINEZ,1.685  
BLANCO,1.532  
NUÑEZ,1.496  
RUIZ,1.418  
PULIDO,1.390  
GALAN,1.379  
DELGADO,1.375  
BERMEJO,1.331  
CARRASCO,1.301  
FLORES,1.271  
BLAZQUEZ,1.262  
GARRIDO,1.245  
SANTOS,1.231  
PANIAGUA,1.208  
PRIETO,1.167  
TORRES,1.161  
MARCOS,1.122  
REDONDO,1.119  
VAZQUEZ,1.117  
CLEMENTE,1.090  
MANZANO,1.026  
VARGAS,1.009  
