PRIMER APELLIDO,FRECUENCIA
FERNANDEZ,22.843  
GARCIA,19.498  
GONZALEZ,18.807  
GUTIERREZ,13.643  
GOMEZ,13.115  
PEREZ,11.967  
RUIZ,11.651  
MARTINEZ,10.484  
LOPEZ,9.880  
RODRIGUEZ,9.095  
SANCHEZ,6.878  
DIAZ,6.192  
ALONSO,5.721  
MARTIN,4.083  
ORTIZ,4.038  
SAIZ,3.588  
ALVAREZ,3.438  
DIEZ,3.189  
COBO,2.992  
SAINZ,2.599  
HERNANDEZ,2.515  
JIMENEZ,2.463  
BLANCO,2.331  
PEÑA,2.216  
DIEGO,2.166  
CRESPO,2.081  
ABASCAL,2.010  
LAVIN,1.917  
HERRERO,1.891  
HERRERA,1.861  
MUÑOZ,1.803  
CASTILLO,1.796  
VEGA,1.615  
PUENTE,1.599  
REVUELTA,1.598  
SIERRA,1.557  
TORRE,1.545  
CUESTA,1.462  
IBAÑEZ,1.458  
SANTAMARIA,1.442  
IGLESIAS,1.437  
SAN EMETERIO,1.313  
CEBALLOS,1.305  
CALDERON,1.302  
CANO,1.290  
MORENO,1.227  
MERINO,1.221  
TRUEBA,1.217  
BOLADO,1.198  
ARCE,1.196  
