PRIMER APELLIDO,FRECUENCIA
GARCIA,14.675  
MARTINEZ,10.633  
SANCHEZ,7.214  
LOPEZ,7.114  
PEREZ,5.603  
GONZALEZ,5.086  
FERNANDEZ,4.929  
RODRIGUEZ,4.720  
GOMEZ,4.361  
GIL,3.615  
BELTRAN,3.437  
NAVARRO,3.258  
RUIZ,2.863  
MUÑOZ,2.753  
MORENO,2.564  
MARTIN,2.551  
JIMENEZ,2.534  
MARTI,2.386  
HERNANDEZ,2.299  
SALVADOR,2.087  
IBAÑEZ,2.065  
MARIN,2.064  
TORRES,2.030  
ROMERO,2.018  
VIDAL,1.952  
SALES,1.844  
GIMENEZ,1.824  
DIAZ,1.769  
FERRER,1.742  
SERRANO,1.742  
RAMOS,1.736  
SEGARRA,1.731  
GIMENO,1.684  
TENA,1.669  
NEBOT,1.649  
PITARCH,1.646  
MIRALLES,1.498  
RUBIO,1.460  
CASTILLO,1.437  
MONFORT,1.432  
BELLES,1.354  
MOLINA,1.345  
PERIS,1.301  
ORTIZ,1.288  
SANZ,1.280  
FABREGAT,1.243  
ROIG,1.242  
BALLESTER,1.233  
ESCRIG,1.228  
BLASCO,1.215  
