PRIMER APELLIDO,FRECUENCIA
GARCIA,34.814  
FERNANDEZ,28.656  
RODRIGUEZ,28.293  
LOPEZ,26.536  
SANCHEZ,21.961  
MARTIN,19.867  
PEREZ,18.679  
JIMENEZ,18.662  
MARTINEZ,17.976  
RUIZ,15.894  
GONZALEZ,15.000  
MORENO,10.926  
GOMEZ,9.838  
MUÑOZ,9.175  
MOLINA,8.785  
ROMERO,6.428  
HEREDIA,6.197  
ORTEGA,6.022  
HERNANDEZ,6.016  
DIAZ,5.951  
MORALES,5.359  
TORRES,4.991  
CORTES,4.927  
ALVAREZ,4.872  
CASTILLO,4.789  
NAVARRO,4.406  
GUTIERREZ,4.318  
GUERRERO,4.100  
RAMIREZ,3.991  
MEDINA,3.813  
CARMONA,3.409  
CASTRO,3.340  
MALDONADO,3.328  
ORTIZ,3.282  
DELGADO,3.057  
SANTIAGO,3.000  
SERRANO,2.979  
RAMOS,2.745  
LOZANO,2.664  
CANO,2.659  
AGUILERA,2.655  
GARRIDO,2.606  
ALONSO,2.452  
VILCHEZ,2.383  
MARIN,2.315  
MOYA,2.181  
VARGAS,2.067  
AMADOR,2.061  
ROBLES,2.032  
HIDALGO,2.002  
