PRIMER APELLIDO,FRECUENCIA
GARCIA,12.726  
GONZALEZ,9.858  
RODRIGUEZ,8.876  
FERNANDEZ,8.215  
SANCHEZ,7.487  
PEREZ,7.371  
LOPEZ,6.731  
MARTINEZ,6.636  
MARTIN,6.165  
GOMEZ,4.915  
HERNANDEZ,4.701  
LARRAÑAGA,3.216  
GARMENDIA,3.186  
ALONSO,3.160  
JIMENEZ,3.033  
RUIZ,2.924  
ALVAREZ,2.826  
AGUIRRE,2.587  
ALBERDI,2.389  
ETXEBERRIA,2.362  
ECHEVERRIA,2.235  
DIAZ,2.011  
MENDIZABAL,1.994  
ARAMBURU,1.980  
MUÑOZ,1.969  
GUTIERREZ,1.967  
MORENO,1.926  
LASA,1.917  
ZABALA,1.852  
MUGICA,1.802  
BLANCO,1.780  
DOMINGUEZ,1.706  
AIZPURUA,1.682  
ARRIETA,1.645  
RAMOS,1.618  
IGLESIAS,1.600  
DIEZ,1.557  
ODRIOZOLA,1.529  
SANZ,1.501  
ROMERO,1.465  
VAZQUEZ,1.461  
ALTUNA,1.434  
GIL,1.389  
CALVO,1.343  
AGIRRE,1.326  
URANGA,1.278  
ZABALETA,1.270  
JAUREGUI,1.254  
OLAIZOLA,1.253  
ARREGUI,1.235  
