PRIMER APELLIDO,FRECUENCIA
GARCIA,23.612  
MARTINEZ,20.614  
LOPEZ,20.402  
SANCHEZ,13.729  
FERNANDEZ,12.688  
MORENO,11.850  
RUIZ,11.716  
RODRIGUEZ,10.456  
JIMENEZ,10.443  
PEREZ,10.379  
GONZALEZ,9.287  
MUÑOZ,6.543  
GOMEZ,6.295  
TORRES,6.138  
MOLINA,5.567  
ORTEGA,4.966  
ROMERO,4.645  
GARRIDO,4.644  
DIAZ,4.597  
SERRANO,4.401  
GUTIERREZ,3.924  
MARTOS,3.909  
CANO,3.509  
CRUZ,3.460  
EXPOSITO,3.302  
RAMIREZ,3.273  
CORTES,3.268  
CASTILLO,3.231  
MARIN,3.168  
LARA,2.953  
QUESADA,2.945  
MEDINA,2.931  
MORAL,2.849  
DELGADO,2.689  
FUENTES,2.542  
CASTRO,2.490  
MORALES,2.460  
NAVARRO,2.452  
HERNANDEZ,2.324  
HERRERA,2.233  
COBO,2.178  
CABRERA,2.146  
MARTIN,2.013  
MOYA,1.996  
HIDALGO,1.967  
ORTIZ,1.934  
CAMPOS,1.929  
CONTRERAS,1.899  
PADILLA,1.879  
CARRILLO,1.877  
