PRIMER APELLIDO,FRECUENCIA
GARCIA,11.618  
MARTINEZ,11.121  
JIMENEZ,8.594  
PEREZ,8.461  
LOPEZ,7.424  
FERNANDEZ,7.304  
GONZALEZ,6.309  
RODRIGUEZ,5.445  
SANCHEZ,5.372  
RUIZ,4.160  
GOÑI,3.879  
HERNANDEZ,3.504  
GOMEZ,3.156  
MORENO,3.007  
ECHEVERRIA,2.976  
SANZ,2.692  
DIAZ,2.540  
GIL,2.462  
MARTIN,2.432  
MUÑOZ,2.151  
ALVAREZ,2.015  
ALONSO,1.948  
IRIARTE,1.939  
SOLA,1.777  
IBAÑEZ,1.682  
NAVARRO,1.660  
AGUIRRE,1.579  
MARIN,1.405  
TORRES,1.400  
ROMERO,1.392  
GUTIERREZ,1.385  
ESPARZA,1.376  
OCHOA,1.359  
ARMENDARIZ,1.327  
VILLANUEVA,1.320  
HUARTE,1.305  
PASCUAL,1.299  
DOMINGUEZ,1.255  
CALVO,1.236  
AZCONA,1.222  
ZABALZA,1.168  
OSES,1.167  
ELIZALDE,1.166  
RAMIREZ,1.166  
SERRANO,1.141  
RUBIO,1.119  
SAN MARTIN,1.109  
VALENCIA,1.082  
LIZARRAGA,1.076  
VICENTE,1.053  
