PRIMER APELLIDO,FRECUENCIA
RODRIGUEZ,21.473  
FERNANDEZ,18.068  
GONZALEZ,16.756  
PEREZ,10.225  
ALVAREZ,9.860  
LOPEZ,7.163  
VAZQUEZ,6.913  
GARCIA,6.503  
GOMEZ,5.570  
MARTINEZ,4.627  
DOMINGUEZ,3.939  
BLANCO,3.787  
IGLESIAS,3.542  
CID,2.882  
ALONSO,2.855  
NOVOA,2.131  
CONDE,2.097  
ESTEVEZ,2.045  
LORENZO,1.998  
SALGADO,1.981  
CASTRO,1.865  
DIAZ,1.818  
FEIJOO,1.762  
SANCHEZ,1.755  
PEREIRA,1.582  
NUÑEZ,1.361  
PRIETO,1.342  
OTERO,1.257  
SUAREZ,1.243  
ARIAS,1.208  
DIEGUEZ,1.191  
LOSADA,1.157  
MENDEZ,1.138  
FERREIRO,1.109  
GIL,1.068  
VARELA,1.065  
CARBALLO,1.043  
QUINTAS,989  
RAMOS,983  
ARAUJO,966  
VIDAL,857  
GARRIDO,813  
REY,771  
PRADA,765  
SOTO,753  
FERREIRA,739  
PAZ,734  
SILVA,725  
DELGADO,684  
SOTELO,667  
