PRIMER APELLIDO,FRECUENCIA
GARCIA,3.869  
MARTINEZ,2.465  
HERNANDEZ,1.559  
PEREZ,1.445  
JIMENEZ,1.368  
SANZ,1.335  
GOMEZ,1.302  
RUIZ,1.099  
LOPEZ,1.045  
GONZALEZ,1.003  
MARTIN,801  
ALONSO,787  
ROMERO,746  
FERNANDEZ,736  
SANCHEZ,715  
MUÑOZ,618  
MORENO,609  
DE MIGUEL,594  
RODRIGUEZ,593  
PASCUAL,586  
RUBIO,584  
GIL,546  
LAFUENTE,545  
GONZALO,523  
ORTEGA,521  
ANDRES,503  
CALVO,470  
HERRERO,447  
ROMERA,421  
LLORENTE,418  
ANTON,417  
ALVAREZ,401  
RAMOS,386  
HERNANDO,382  
SORIA,375  
MIGUEL,364  
ESTEBAN,348  
MOLINA,347  
DELGADO,346  
IZQUIERDO,332  
MATEO,328  
RODRIGO,323  
ABAD,322  
DIEZ,315  
CACHO,298  
MARIN,281  
DOMINGUEZ,268  
PEÑA,268  
ARRIBAS,259  
RUPEREZ,258  
