PRIMER APELLIDO,FRECUENCIA
GARCIA,16.481  
MARTINEZ,11.740  
LOPEZ,10.043  
SANCHEZ,9.512  
RODRIGUEZ,9.073  
FERNANDEZ,8.855  
GONZALEZ,8.568  
PEREZ,7.652  
GOMEZ,5.566  
MORENO,4.474  
RUIZ,4.219  
JIMENEZ,4.120  
MARTIN,3.950  
MUÑOZ,3.523  
HERNANDEZ,3.364  
NAVARRO,3.314  
MARTI,3.260  
DIAZ,3.017  
FERRE,2.970  
TORRES,2.958  
VIDAL,2.589  
ROMERO,2.498  
SOLE,2.417  
ALVAREZ,2.313  
GIL,2.174  
GUTIERREZ,2.134  
RAMIREZ,1.913  
ROIG,1.886  
RAMOS,1.870  
TOMAS,1.724  
CORTES,1.721  
MARIN,1.714  
MOLINA,1.705  
SERRANO,1.673  
MORALES,1.574  
GIMENEZ,1.558  
ORTIZ,1.510  
SABATE,1.490  
ROCA,1.465  
DOMINGUEZ,1.418  
DOMENECH,1.416  
CASANOVA,1.409  
RUBIO,1.405  
ROVIRA,1.391  
BORRAS,1.386  
SANCHO,1.382  
ORTEGA,1.322  
SEGURA,1.307  
VAZQUEZ,1.270  
ALONSO,1.261  
