PRIMER APELLIDO,FRECUENCIA
GARCIA,61.396  
MARTINEZ,58.740  
PEREZ,31.008  
LOPEZ,30.658  
SANCHEZ,23.198  
NAVARRO,21.746  
GOMEZ,19.738  
GONZALEZ,19.052  
FERNANDEZ,16.663  
RODRIGUEZ,14.231  
MORENO,13.776  
RUIZ,13.168  
MUÑOZ,12.855  
HERNANDEZ,12.657  
SANCHIS,10.548  
FERRER,10.541  
MARTI,10.389  
GIMENEZ,9.466  
ROMERO,9.104  
GIL,9.008  
TORRES,8.666  
SOLER,8.264  
JIMENEZ,7.317  
VIDAL,7.190  
SANZ,6.828  
MARTIN,6.799  
DIAZ,6.797  
SORIANO,6.713  
GIMENO,6.657  
RUBIO,6.433  
PASTOR,6.174  
SERRANO,5.901  
IBAÑEZ,5.769  
PERIS,5.570  
ORTIZ,5.492  
BLASCO,5.460  
MOLINA,5.292  
CERVERA,5.169  
LLOPIS,5.024  
ESTEVE,4.994  
CORTES,4.978  
PASCUAL,4.961  
SAEZ,4.941  
JUAN,4.911  
PARDO,4.718  
VALERO,4.684  
BALLESTER,4.563  
MARIN,4.550  
MARCO,4.548  
CAMPOS,4.338  
