PRIMER APELLIDO,FRECUENCIA
FERNANDEZ,6.087  
RODRIGUEZ,6.071  
GARCIA,6.021  
MARTIN,5.061  
GONZALEZ,4.735  
PEREZ,4.263  
ALONSO,3.057  
HERNANDEZ,2.832  
SANCHEZ,2.283  
LOPEZ,2.182  
MARTINEZ,2.084  
ALVAREZ,1.904  
PRIETO,1.840  
DOMINGUEZ,1.788  
BLANCO,1.769  
RAMOS,1.408  
GOMEZ,1.398  
FERRERO,1.301  
CALVO,1.266  
LORENZO,1.249  
GALLEGO,1.006  
VICENTE,1.001  
ESTEBAN,986  
JIMENEZ,986  
VEGA,897  
GUTIERREZ,871  
SANTOS,842  
CRESPO,746  
MATEOS,726  
HERRERO,723  
DIEZ,719  
MIGUEL,711  
GAGO,687  
VARA,674  
VILLAR,654  
IGLESIAS,648  
ANDRES,645  
PASCUAL,624  
VAQUERO,613  
SANTIAGO,597  
NIETO,586  
CASADO,549  
LOZANO,543  
DELGADO,542  
MARCOS,499  
ROMAN,497  
ANTON,487  
ROMERO,465  
MORAN,461  
VAZQUEZ,445  
