Steffen,Klassert
David,Dillow
Adam,Radford
James,E.J.,Bottomley
Alexander,Aring
Andreas,Koensgen
Johannes,Berg
Realtek,linux,nic,maintainers
Greg,Kroah-Hartman
Eric,Van,Hensbergen
Antti,Palosaari
Adaptec,OEM,Raid,Solutions
Hans,de,Goede
Alistair,John,Strachan
William,Breathitt,Gray
William,Breathitt,Gray
William,Breathitt,Gray
William,Breathitt,Gray
William,Breathitt,Gray
William,Breathitt,Gray
Jes,Sorensen
Peter,Kaestle
Lee
Rafael,J.,Wysocki
Rafael,J.,Wysocki
Robert,Moore
Zhang,Rui
Lorenzo,Pieralisi
Hans,de,Goede
Rafael,J.,Wysocki
Zhang,Rui
Zhang,Rui
Michael,Hennerich
Michael,Hennerich
Michael,Hennerich
Michael,Hennerich
Michael,Hennerich
Jiri,Kosina
Michael,Hennerich
Jean,Delvare
Corentin,Labbe
Sakari,Ailus
Michael,Hennerich
Michael,Hennerich
Michael,Hennerich
Colin,Leroy
Jean,Delvare
Matthew,Wilcox
Michael,Hennerich
Michael,Hennerich
Antti,Palosaari
Antti,Palosaari
David,Sterba
David,Howells
David,Airlie
Juergen,E.,Fischer
Hannes,Reinecke
Hans,Verkuil
Benjamin,LaHaise
Antti,Palosaari
Lino,Sanfilippo
Duncan,Sands
Manuel,Lauss
Rudolf,Marek
Tomislav,Denis
Michael,Tretter
Maxime,Ripard
Yangtao,Li
Corentin,Labbe
Vasily,Khoruzhick
Maxime,Ripard
Richard,Henderson
Thor,Thayer
Ley,Foon,Tan
Joyce,Ooi
Thor,Thayer
Thor,Thayer
Thor,Thayer
Tobias,Klauser
Talel,Shenhar
Talel,Shenhar
Netanel,Belgazal
Gal,Pressman
Tom,Lendacky
Harry,Wentland
Naveen,Krishna,Chatradhi
Huang,Rui
Enrico,Weigelt
Andres,Salomon
Joerg,Roedel
Felix,Kuehling
Sanjay,R,Mehta
Elie,Morisse
Evan,Quan
Brijesh,Singh
Tom,Lendacky
Michael,Hennerich
Michael,Hennerich
Beniamin,Bia
Michael,Hennerich
Alexandru,Tachici
Marcelo,Schmitt
Michael,Hennerich
Michael,Hennerich
Michael,Hennerich
Hans,Verkuil
Mircea,Caprioru
Alexandru,Ardelean
Alexandru,Ardelean
Dragos,Bogdan
Nuno,Sa
Beniamin,Bia
Michael,Hennerich
Lars-Peter,Clausen
Kieran,Bingham
Hans,Verkuil
Hans,Verkuil
Hans,Verkuil
Lars-Peter,Clausen
Lars-Peter,Clausen
Beniamin,Bia
Lars-Peter,Clausen
Paul,Walmsley
Nick,Hu
Rob,Herring
Greg,Kroah-Hartman
Miodrag,Dinic
Miodrag,Dinic
Laura,Abbott
Johannes,Berg
William,Breathitt,Gray
Jiri,Kosina
John,Johansen
Henrik,Rydberg
Henrik,Rydberg
Khuong,Dinh
Khuong,Dinh
Iyappan,Subramanian
Iyappan,Subramanian
Khuong,Dinh
Laurent,Pinchart
Igor,Russkikh
Egor,Pomozov
Naga,Sureshkumar,Relli
Jaya,Kumar
Alexey,Brodkin
Michael,Grzeschik
Mark,Rutland
Liviu,Dudau
Linus,Walleij
James,(Qian),Wang
Rob,Herring
Liviu,Dudau
Ian,Molton
Will,Deacon
Russell,King
Russell,King
Russell,King
Russell,King
Russell,King
Russell,King
Linus,Walleij
Russell,King
Linus,Walleij
Julius,Werner
Will,Deacon
Andreas,Färber
Lennert,Buytenhek
Sergey,Lapin
Lennert,Buytenhek
Emilio,López
Maxime,Ripard
Neil,Armstrong
Corentin,Labbe
Jerome,Brunet
Kevin,Hilman
Tsahee,Zidenberg
Jesper,Nilsson
Brendan,Higgins
Joel,Stanley
Manivannan,Sadhasivam
Andre,Przywara
Krzysztof,Halasa
Sunil,Goutham
Lukasz,Majewski
Alexander,Shiyan
Lennert,Buytenhek
Hartley,Sweeten
Russell,King
Baruch,Siach
Hubert,Feurstein
Mathieu,Poirier
Richard,Purdie
Hans,Ulli,Kroll
Barry,Song
Marek,Behun
Russell,King
Uwe,Kleine-König
Robert,Jarzmik
Hans,Ulli,Kroll
Russell,King
Shawn,Guo
Shawn,Guo
Shawn,Guo
Lennert,Buytenhek
Steve,Sakoman
Philipp,Zabel
Wei,Xu
Kristoffer,Ericson
Enric,Balletbo,i,Serra
Marek,Vasut
Lennert,Buytenhek
Lennert,Buytenhek
Lennert,Buytenhek
Linus,Walleij
Jonathan,Cameron
Lennert,Buytenhek
Lennert,Buytenhek
Chanho,Min
Lennert,Buytenhek
Vladimir,Zapolskiy
Vladimir,Zapolskiy
Philipp,Zabel
Jason,Cooper
Jason,Cooper
Eddie,Huang
Matthias,Brugger
Chunfeng,Yun
Nicolas,Ferre
Robert,Jarzmik
Michael,Petchkovsky
Linus,Walleij
Avi,Fishman
Alexander,Clouter
Neil,Armstrong
Tomas,Cech
Marek,Vasut
Sergey,Lapin
Peter,Chubb
Stefan,Eletzhofer
Andy,Gross
Lennert,Buytenhek
Manivannan,Sadhasivam
Andreas,Färber
Geert,Uytterhoeven
Russell,King
Heiko,Stuebner
Kukjin,Kim
Kyungmin,Park
Kyungmin,Park
Marek,Szyprowski
Andrzej,Pietrasiewicz
Kyungmin,Park
Geert,Uytterhoeven
Dinh,Nguyen
Dinh,Nguyen
Thor,Thayer
Orson,Zhai
Patrice,Chotard
Maxime,Coquelin
Jisheng,Zhang
Marc,Gonzalez
Lennert,Buytenhek
Hans,Verkuil
Mark,F.,Brown
Santosh,Shilimkar
Santosh,Shilimkar
Santosh,Shilimkar
Santosh,Shilimkar
Santosh,Shilimkar
Tero,Kristo
Lennert,Buytenhek
Dmitry,Eremin-Solenikov
Masahiro,Yamada
Liviu,Dudau
Russell,King
Marek,Vasut
Tony,Prisk
Marek,Vasut
Jun,Nie
Michal,Simek
Catalin,Marinas
Sakari,Ailus
Tianshu,Qiu
Linus,Walleij
George,Joseph
Andrew,Jeffery
Eddie,James
Eddie,James
Corentin,Chary
João,Paulo,Rechi,Vita
David,Howells
Bartosz,Golaszewski
Justin,Sanders
Alban,Bedel
Alban,Bedel
Kalle,Valo
Jiri,Slaby
Kalle,Valo
Ville,Syrjala
Luca,Tettamanti
Jay,Cliburn
Chas,Williams
Nicolas,Ferre
Nick,Dyer
Simon,Kelley
Will,Deacon
Bradley,Grove
Stefan,Schmidt
Paul,Moore
Miguel,Ojeda,Sandonis
Andreas,Klinger
Ralf,Baechle
Peter,Rosin
Peter,Rosin
Nuno,Sá
Krzysztof,Adamski
Mauro,Carvalho,Chehab
Hans,Verkuil
Larry,Finger
Lee,Jones
Marek,Lindner
Thomas,Sailer
Coly,Li
Fabien,Dessenne
Dariusz,Marcinkiewicz
Luis,de,Bethencourt
Paolo,Valente
Tigran,A.,Aivazian
Jan-Simon,Moeller
Jens,Axboe
Joern,Engel
Marcel,Holtmann
Marcel,Holtmann
Jay,Vosburgh
Dan,Robertson
Alexei,Starovoitov
Shubham,Bansal
Daniel,Borkmann
Paul,Burton
Jakub,Kicinski
Naveen,N.,Rao
Luke,Nelson
Björn,Töpel
Ilya,Leoshkevich
David,S.,Miller
Wang,YanQing
Alexei,Starovoitov
