MARIE,99806
SOPHIE,102457
MARIA,1156
ANNA,186330
MIA,35162
KATHARINA,99248
JOHANNA,50202
SOPHIA,1260
EMILIA,68223
CHARLOTTE,5202
EMMA,45192
LINA,14922
LENA,65543
LARA,34693
LEA,43478
LUISA,28082
LAURA,57533
LEONIE,43285
ELISABETH,28723
SARAH,85476
PAULA,9241
EMILY,774
JULIA,92375
GRETA,1902
LUISE,356
HANNAH,769
CLARA,680
ANTONIA,7515
ELIF,2608
MAYA,431
IDA,1971
MAJA,10393
LOTTA,415
MELINA,2691
ALINA,20933
HELENA,830
LISA,61786
MILA,2911
NELE,247
CARLA,292
PAULINE,237
AMELIE,27793
JOSEFINE,1646
LILLY,9415
LOUISA,308
SOFIA,636
VICTORIA,583
ELISA,12341
HELENE,271
LENI,215
CARLOTTA,171
ELLA,10576
HANNA,594
MATILDA,5929
NUR,133
ISABELLA,39658
JOSEPHINE,209
NISA,394
ANGELINA,2788
MARLENE,30867
ZOE,7697
LUCIA,686
NINA,35101
ELA,615
MARA,207
FRIDA,1790
MATHILDA,283
LIA,1178
PIA,7543
SARA,1191
ECRIN,297
ROSA,4964
CELINA,5004
FRANZISKA,10542
MELISSA,9089
ANNIKA,20179
JANA,411
EVA,24636
MICHELLE,188
MIRA,1171
SOFIE,162
FINJA,126
FRIEDA,172
ISABEL,206
JULE,76
MILLA,85
PAULINA,6648
TUANA,178
VALENTINA,33789
CELINE,130
CHIARA,38941
FIONA,351
LINDA,5081
LUNA,257
ROMY,255
SELIN,180
ALEXANDRA,16574
ANASTASIA,1656
ELENA,68216
SELINA,20522
STELLA,844
THERESA,38624
VIKTORIA,43641
HELIN,86
JULIE,96
KLARA,407
LIV,79
MARTHA,138
MINA,339
RONJA,459
ZEYNEP,1386
ALICIA,115
AZRA,478
LARISSA,6167
LILLI,138
LUCY,113
MERLE,60
NORA,11902
OLIVIA,7605
ALESSIA,239
AYLIN,300
CEYLIN,82
HELEN,60
JASMIN,33815
MAGDALENA,47546
MELEK,185
JOLIE,47
LEYLA,180
LOU,50
ROSE,59
SAMIRA,148
VANESSA,24890
DIANA,282
FABIENNE,461
LEONA,225
LOUISE,147
LUANA,88
LUZIE,33
MILENA,270
NICOLE,26022
SINA,73
AMINA,4334
ANNE,63
ASYA,145
ERIKA,34
FELICITAS,108
JULIANA,59
NAOMI,205
NAZ,42
SU,60
ZOÉ,69
ALICE,8675
AMIRA,147
AMY,130
ASHLEY,50
AVA,165
BEYZA,97
CHRISTINA,62906
DILARA,167
FLORA,1264
GIULIA,109
LIVIA,2387
MELIS,81
NIKE,29
SUDE,63
VIVIEN,203
ALEYNA,91
AMALIA,155
ANOUK,69
AYŞE,729
CAROLINA,161
EMILIE,123
ISABELL,102
JOLINA,49
KARLA,104
LETIZIA,68
LOTTE,141
MARGARETE,44
MIRIAM,363
NEELE,27
NOEMI,106
PHILINE,33
REBECCA,1050
SORAYA,48
YAĞMUR,58
ALMA,876
ANNABELLE,94
BARBARA,15296
DEFNE,98
ELISE,80
FELICIA,59
GIADA,16
HERMINE,34
INGA,22
JESSICA,3093
JOLINE,30
KIM,55
LILITH,87
LUCIE,47
MERYEM,248
RUTH,79
SENA,114
ALISA,164
AMELIA,246
ANNI,34
AURORA,131
CANSU,35
CAROLINE,22892
CHRISTINE,54
DANA,67
EDA,98
ELINA,241
EMELIE,103
EMINE,66
FATMA,109
GIULIANA,35
HATICE,89
HAVIN,31
ISABELLE,130
JANE,27
JONNA,34
JUDITH,55
KIMBERLY,144
LANA,301
LILIANA,370
LIYA,144
LORENA,999
LYNN,51
MALOU,34
MARIANNE,37
MARLA,57
ROSALIE,1960
TAMARA,12892
TAMINA,44
URSULA,25
ADRIANA,143
ALISHA,57
AMANDA,71
ANGELA,138
AURELIA,635
CATHARINA,42
DARIA,145
DENISE,11510
DILAY,25
ECE,39
ESMA,192
EVELYN,543
EYLÜL,72
FEE,13
FLORENTINE,41
FRANKA,43
FRIEDERIKE,35
HENRIETTE,37
İLAYDA,17
INA,91
JOY,41
KAROLINA,109
KRISTIN,26
LEILA,54
LILO,33
LINN,36
MADITA,52
MALIA,50
MALIN,39
MARIT,27
MARLEN,34
MARY,29
MATHILDE,54
MEDINA,203
MERVE,82
MICHAELA,30604
MINOU,33
MONIKA,1395
NATALIE,15223
NEELA,17
NOA,44
OLGA,25
ROMINA,31
SELMA,83
SHIRIN,46
SMILLA,29
SVENJA,14
TALIA,34
TANEM,20
THEA,81
TILDA,58
TINA,242
VERA,83
ZÜMRA,130
AALIYAH,43
AGNES,56
ALEXIA,42
ALISSA,94
ALIYAH,50
ANDREA,15406
ASEL,80
CAROLIN,54
CEREN,41
DANIELA,22856
ELEONORE,65
ELIN,67
ELSA,147
EMMI,25
EMMY,19
ERVA,138
ESILA,184
ESLEM,147
ESTHER,88
GÜL,26
JANNA,25
JENNIFER,14900
JOANA,33
JUNA,95
KIARA,77
LAILA,70
LEAH,125
LENE,22
LOLA,78
MADELEINE,78
MARIELLA,97
MARINA,371
MARLEEN,65
MARTINA,15297
MARYAM,144
