Liste aller jemals vergebenen ersten Bubennamen 1984-2020,,,,,
,,,,,
Vorname,,Anzahl,Rang,Anzahl,Rang
Original-Schreibweise,häufigste Schreibweise 1984-2020*),1984-2020,,2020,
,,,,,
Aaban,Aaban,1,10.287,-,-
Aabed,Aabed,2,7.058,-,-
Aaby,Aaby,1,10.287,-,-
Aaden,Aaden,4,4.736,1,1.772
Aadhvik,Aadhvik,1,10.287,-,-
Aadi,Aadi,3,5.593,-,-
Aadib,Aadib,1,10.287,1,1.772
Aadish,Aadish,1,10.287,-,-
Aadit,Aadit,3,5.593,-,-
Aaditya,Aaditya,1,10.287,-,-
Aadvik,Aadvik,1,10.287,-,-
Aadvith,Aadvith,1,10.287,-,-
Aadyah,Aadyah,1,10.287,-,-
Aagaz,Aagaz,1,10.287,-,-
Aahil,Aahil,6,3.749,1,1.772
Aahron,Aaron,1,10.287,-,-
Aamer,Emir,2,7.058,-,-
Aang,Aang,1,10.287,-,-
Aanon,Aanon,1,10.287,-,-
Aaon,Aaon,1,10.287,-,-
Aaram,Aaram,1,10.287,-,-
Aarav,Aarav,10,2.802,-,-
Aaravkumar,Aaravkumar,1,10.287,-,-
Aare,Aare,1,10.287,-,-
Aaren,Aaron,3,5.593,1,1.772
Aari,Aari,1,10.287,-,-
Aarian,Aarian,2,7.058,-,-
Aariz,Aariz,4,4.736,-,-
Âarlen,Âarlen,1,10.287,-,-
Aaron,Aaron,1.737,123,100,83
Aarón,Aaron,4,4.736,-,-
Aáron,Aaron,1,10.287,-,-
Aaron-Amadeus,Aaron-Amadeus,1,10.287,-,-
Aaron-Cassian,Aaron-Cassian,1,10.287,-,-
Aaron-Daniel,Aaron-Daniel,1,10.287,-,-
Aaron-Dario,Aaron-Dario,1,10.287,-,-
Aaron-David,Aaron-David,2,7.058,-,-
Aaron-Eden,Aaron-Eden,1,10.287,-,-
Aaron-Eliah,Aaron-Eliah,1,10.287,-,-
Aaron-Elias,Aaron-Elias,1,10.287,1,1.772
Aaron-Eneas,Aaron-Eneas,1,10.287,1,1.772
Aaron-Jason,Aaron-Jason,1,10.287,-,-
Aaron-Jesper,Aaron-Jesper,1,10.287,-,-
Aaron-John,Aaron-John,1,10.287,-,-
Aaron-Joseph,Aaron-Joseph,1,10.287,-,-
Aaron-Kai,Aaron-Kai,1,10.287,1,1.772
Aaron-Levi,Aaron-Levi,2,7.058,-,-
Aaron-Luca,Aaron-Luca,3,5.593,-,-
Aaron-Mael,Aaron-Mael,1,10.287,-,-
Aaron-Maria,Aaron-Maria,1,10.287,-,-
Aaron-Marvin,Aaron-Marvin,1,10.287,-,-
Aaron-Noah,Aaron-Noah,2,7.058,-,-
Aaron-Noel,Aaron-Noel,2,7.058,-,-
Aaron-Paul,Aaron-Paul,1,10.287,-,-
Aaron-Raoul,Aaron-Raoul,1,10.287,-,-
Aaron-Thomas,Aaron-Thomas,1,10.287,-,-
Âarthur,Arthur,1,10.287,-,-
Aarudh,Aarudh,1,10.287,-,-
Aarush,Aarush,2,7.058,1,1.772
Aarvin,Aarvin,1,10.287,-,-
Aaryan,Aaryan,8,3.186,-,-
Aashwin,Aashwin,1,10.287,-,-
Aatos,Aatos,1,10.287,-,-
Aavaideep,Aavaideep,1,10.287,-,-
Aayan,Aayan,13,2.407,1,1.772
Aaynankhan,Aaynankhan,1,10.287,-,-
Aayush,Aayush,1,10.287,-,-
Aazif,Aazif,1,10.287,-,-
Aba,Aba,1,10.287,-,-
Ababacar,Ababacar,1,10.287,1,1.772
Abai,Abai,1,10.287,-,-
Șaban,Shaban,1,10.287,-,-
Abanob,Abanob,2,7.058,-,-
Abanoub,Abanoub,7,3.427,-,-
Abas,Abas,13,2.407,2,1.219
Abaseen,Abaseen,2,7.058,-,-
Abasin,Abasin,3,5.593,-,-
Abass,Abass,2,7.058,-,-
Abaz,Abaz,1,10.287,-,-
Abba,Abba,2,7.058,-,-
Abbas,Abbas,45,1.147,6,604
Abbas-Aras,Abbas-Aras,1,10.287,1,1.772
Abbdullah,Abdullah,1,10.287,-,-
Abbel,Abel,1,10.287,-,-
Abckar,Abckar,1,10.287,-,-
Abd,Abd,38,1.259,2,1.219
Abda-Alah,Abda-Alah,1,10.287,-,-
Abdal,Abdul,3,5.593,-,-
Abdalaziz,Abdalaziz,1,10.287,-,-
Abdalbasit,Abdalbasit,1,10.287,-,-
Abdalgliel,Abdalgliel,1,10.287,-,-
Abdalhadi,Abdalhadi,1,10.287,-,-
Abdalkader,Abdalkader,1,10.287,-,-
Abdalkarem,Abdalkarem,1,10.287,-,-
Abdalkarim,Abdalkarim,1,10.287,1,1.772
Abdalla,Abdullah,13,2.407,-,-
Abdallah,Abdullah,45,1.147,-,-
Abdallrhman,Abdurrahman,1,10.287,-,-
Abdal-Maged,Abdal-Maged,1,10.287,-,-
Abdalrahim,Abdalrahim,1,10.287,-,-
Abdalrahman,Abdurrahman,2,7.058,-,-
Abdalrhman,Abdurrahman,2,7.058,-,-
Abdarahman,Abdurrahman,1,10.287,-,-
Abdar-Rahman,Abdurrahman,1,10.287,-,-
Abd-Arrohman,Abdurrahman,1,10.287,-,-
Abdel,Abdul,21,1.784,-,-
Ab-Del,Abdul,1,10.287,-,-
Abdelaziz,Abdelaziz,2,7.058,1,1.772
Abdel-Aziz,Abdulaziz,1,10.287,-,-
Abdelhady,Abdulhadi,1,10.287,-,-
Abdelhak,Abdelhak,1,10.287,-,-
Abdelhakim,Abdelhakim,1,10.287,-,-
Abdelhalek,Abdelhalek,1,10.287,-,-
Abdelkader,Abdelkader,5,4.151,2,1.219
Abdelkarim,Abdelkarim,1,10.287,-,-
Abdelkrim,Abdelkrim,1,10.287,-,-
Abdellah,Abdullah,1,10.287,-,-
Abdellatif,Abdellatif,1,10.287,-,-
Abdelmajid,Abdelmajid,2,7.058,1,1.772
Abdelmalek,Abdelmalek,1,10.287,-,-
Abdel-Malek,Abdul-Malik,1,10.287,-,-
Abdelmoez,Abdelmoez,1,10.287,-,-
Abdelrahman,Abdurrahman,48,1.102,-,-
Abd-El-Rahman,Abd-El-Rahman,1,10.287,-,-
Abdel-Rahman,Abdurrahman,6,3.749,-,-
Abdelrazak,Abdelrazak,1,10.287,-,-
Abdelrhman,Abdelrhman,1,10.287,-,-
Abdelsalam,Abdussalam,1,10.287,-,-
Abdelsatar,Abdelsatar,1,10.287,-,-
Abdelsayed,Abdelsayed,1,10.287,-,-
Abdenasir,Abdenasir,1,10.287,-,-
Abderahman,Abderahman,1,10.287,-,-
Abderrahim,Abderrahim,2,7.058,1,1.772
Abderrahman,Abdurrahman,4,4.736,-,-
Abderrahmen,Abdurrahman,3,5.593,-,-
Abdi,Abdi,11,2.647,-,-
Abdiasis,Abdiasis,2,7.058,-,-
Abdiaziz,Abdiaziz,4,4.736,2,1.219
Abdibasid,Abdibasid,1,10.287,-,-
Abdifatah,Abdifatah,5,4.151,2,1.219
Abdigani,Abdigani,1,10.287,-,-
Abdihafid,Abdihafid,1,10.287,-,-
Abdihamid,Abdihamid,1,10.287,-,-
Abdijabaar,Abdijabaar,1,10.287,-,-
Abdikani,Abdikani,1,10.287,-,-
Abdikarim,Abdikarim,2,7.058,-,-
Abdikhadar,Abdikhadar,1,10.287,-,-
Abdikhani,Abdikhani,1,10.287,-,-
Abdikhliq,Abdikhliq,1,10.287,-,-
Abdil,Abdil,1,10.287,-,-
Abdilaahi,Abdilaahi,1,10.287,-,-
Abdilahi,Abdilahi,1,10.287,-,-
Abdillahi,Abdillahi,1,10.287,-,-
Abdilmalik,Abdul-Malik,1,10.287,-,-
Abdimalik,Abdimalik,1,10.287,-,-
Abdinasir,Abdinasir,2,7.058,1,1.772
Abdinur,Abdinur,1,10.287,-,-
Abdirahim,Abdirahim,1,10.287,1,1.772
Abdirahman,Abdurrahman,23,1.687,2,1.219
Abdi-Rahman,Abdi-Rahman,1,10.287,-,-
Abdi-Rauf,Abdi-Rauf,1,10.287,-,-
Abdirisak,Abdirisak,1,10.287,-,-
Abdirisaq,Abdirisaq,1,10.287,-,-
Abdirizak,Abdirizak,1,10.287,-,-
Abdirsaaq,Abdirsaaq,1,10.287,-,-
Abdisabur,Abdisabur,1,10.287,-,-
Abdisamad,Abdisamad,3,5.593,1,1.772
Abdi-Samad,Abdi-Samad,1,10.287,-,-
Abdishakur,Abdishakur,1,10.287,-,-
Abdishakuur,Abdishakuur,1,10.287,-,-
Abdiwasa,Abdiwasa,1,10.287,-,-
Abdiwasi,Abdiwasi,1,10.287,-,-
Abdizemad,Abdizemad,1,10.287,-,-
Abdo,Abdo,2,7.058,-,-
Abdoelrahman,Abdurrahman,1,10.287,-,-
Abdol,Abdul,2,7.058,-,-
Abdollah,Abdullah,1,10.287,-,-
Abdolwahab,Abdolwahab,1,10.287,-,-
Abdou,Abdou,1,10.287,-,-
Abdoul,Abdoul,1,10.287,-,-
Abdoulaye,Abdoulaye,2,7.058,-,-
Abdoul-Barri,Abdoul-Barri,1,10.287,-,-
Abdoul-Koudous,Abdoul-Koudous,1,10.287,-,-
Abdourahman,Abdourahman,1,10.287,-,-
Abdrafie,Abdrafie,1,10.287,-,-
Abd-Rahim,Abd-Rahim,1,10.287,-,-
Abd-Rahman,Abd-Rahman,1,10.287,-,-
Abd-Sattaar,Abd-Sattaar,1,10.287,-,-
Abdu,Abdu,7,3.427,-,-
Abduallah,Abduallah,1,10.287,1,1.772
Abdul,Abdul,176,493,16,320
Abdül,Abdul,9,2.968,-,-
Abdula,Abdullah,4,4.736,-,-
Abdulaahi,Abdullah,2,7.058,-,-
Abdulah,Abdullah,14,2.297,1,1.772
Abdulahi,Abdulahi,1,10.287,-,-
Abdulah-Naim,Abdulah-Naim,1,10.287,-,-
Abdulai,Abdulai,1,10.287,-,-
Abdul-Alim,Abdul-Alim,2,7.058,-,-
Abdul-Arif,Abdul-Arif,1,10.287,-,-
Abdulaz,Abdulaz,1,10.287,-,-
Abdulaziz,Abdulaziz,8,3.186,-,-
Abdul-Aziz,Abdulaziz,3,5.593,1,1.772
Abdülaziz,Abdülaziz,1,10.287,-,-
Abdül-Aziz,Abdulaziz,1,10.287,-,-
Abdülaziz-Cinar,Abdülaziz-Cinar,1,10.287,-,-
Abdulbaki,Abdulbaki,13,2.407,-,-
Abdulbâki,Abdulbaki,1,10.287,-,-
Abdülbaki,Abdulbaki,5,4.151,-,-
Abdulbasir,Abdulbasir,1,10.287,-,-
Abdulbasit,Abdulbasit,1,10.287,-,-
Abdülber,Abdülber,1,10.287,-,-
Abdülcelil,Abdülcelil,1,10.287,-,-
Abdülcemal,Abdülcemal,1,10.287,-,-
Abdulchalim,Abdulchalim,1,10.287,-,-
Abdul-Chalim,Abdul-Chalim,1,10.287,-,-
Abdul-Dzhabbar,Abdul-Dzhabbar,1,10.287,-,-
Abdul-Dzhalil,Abdul-Dzhalil,1,10.287,-,-
Abdulfatah,Abdulfatah,1,10.287,-,-
Abdulfattakh,Abdulfattakh,1,10.287,-,-
Abdülgadir,Abdülgadir,1,10.287,-,-
Abdulhadi,Abdulhadi,7,3.427,1,1.772
Abdul-Hadi,Abdulhadi,2,7.058,-,-
Abdülhadi,Abdulhadi,1,10.287,-,-
Abdul-Hafiz,Abdul-Hafiz,1,10.287,-,-
Abdulhai,Abdulhai,1,10.287,-,-
Abdulhakem,Abdulhakem,1,10.287,-,-
Abdülhakem,Abdulhakim,1,10.287,-,-
Abdulhakim,Abdulhakim,4,4.736,-,-
Abdul-Hakim,Abdulhakim,2,7.058,-,-
Abdülhalik,Abdülhalik,1,10.287,-,-
Abdulhalim,Abdulhalim,13,2.407,1,1.772
Abdul-Halim,Abdul-Halim,15,2.212,2,1.219
Abdülhalim,Abdülhalim,1,10.287,-,-
Abdulhamid,Abdulhamid,21,1.784,4,815
Abdul-Hamid,Abdulhamid,5,4.151,-,-
Abdülhamid,Abdulhamid,9,2.968,3,969
Abdulhamid-Han,Abdulhamid-Han,2,7.058,-,-
Abdulhamit,Abdulhamid,2,7.058,-,-
Abdülhamit,Abdulhamid,4,4.736,-,-
Abdulhamithan,Abdulhamithan,1,10.287,-,-
Abdulhan,Abdulhan,1,10.287,-,-
Abdulhaqim,Abdulhaqim,1,10.287,-,-
Abdulhay,Abdulhay,1,10.287,-,-
Abdulilah,Abdulilah,2,7.058,1,1.772
Abduljalil,Abduljalil,1,10.287,-,-
Abdulkader,Abdulkader,2,7.058,-,-
Abdulkadir,Abdulkadir,51,1.063,1,1.772
Abdul-Kadir,Abdulkadir,5,4.151,-,-
Abdülkadir,Abdulkadir,19,1.900,1,1.772
Abdulkadir-Geylani,Abdulkadir-Geylani,1,10.287,-,-
Abdulkalik,Abdulkalik,1,10.287,-,-
Abdulkarim,Abdulkarim,11,2.647,2,1.219
Abdul-Karim,Abdul-Karim,3,5.593,-,-
Abdulkerim,Abdulkerim,14,2.297,1,1.772
Abdul-Kerim,Abdul-Kerim,7,3.427,-,-
Abdülkerim,Abdülkerim,6,3.749,-,-
Abdulkhalek,Abdulkhalek,1,10.287,1,1.772
Abdull,Abdul,3,5.593,-,-
Abdulla,Abdullah,23,1.687,-,-
Abdullah,Abdullah,555,243,30,207
Abdullah-Azzam,Abdullah-Azzam,1,10.287,-,-
Abdullah-Emin,Abdullah-Emin,1,10.287,-,-
Abdullahi,Abdullah,13,2.407,2,1.219
Abdullah-Lors,Abdullah-Lors,1,10.287,-,-
Abdullah-Ömer,Abdullah-Ömer,1,10.287,-,-
Abdullah-Orhan,Abdullah-Orhan,1,10.287,-,-
Abdullatif,Abdullatif,7,3.427,-,-
Abdul-Lâtif,Abdullatif,1,10.287,-,-
Abdullkadir,Abdullkadir,1,10.287,-,-
Abdullrahim,Abdurrahim,1,10.287,-,-
Abdullrahman,Abdurrahman,3,5.593,1,1.772
Abdull-Rahman,Abdull-Rahman,1,10.287,-,-
Abdullrauf,Abdullrauf,1,10.287,-,-
Abdulmadjid,Abdulmadjid,1,10.287,-,-
Abdulmajed,Abdulmajed,1,10.287,-,-
Abdulmajid,Abdulmajid,1,10.287,-,-
Abdulmalek,Abdulmalek,1,10.287,-,-
Abdulmalik,Abdul-Malik,28,1.502,2,1.219
Abdul-Malik,Abdul-Malik,28,1.502,1,1.772
Abdulmalik-Hakan,Abdulmalik-Hakan,1,10.287,-,-
Abdul-Martin,Abdul-Martin,1,10.287,-,-
Abdulmazhit,Abdulmazhit,1,10.287,-,-
Abdulmecid,Abdulmecid,1,10.287,-,-
Abdulmecit,Abdulmecit,1,10.287,-,-
Abdülmecit,Abdelmajid,1,10.287,-,-
Abdulmedjid,Abdulmedjid,1,10.287,-,-
Abdulmelik,Abdulmelik,3,5.593,-,-
Abdülmelik,Abdülmelik,2,7.058,-,-
Abdülmetin,Abdülmetin,1,10.287,-,-
Abdulmoeed,Abdulmoeed,1,10.287,-,-
Abdulmoti,Abdulmoti,1,10.287,-,-
Abdulmuiz,Abdulmuiz,1,10.287,-,-
Abdul-Mumin,Abdul-Mumin,1,10.287,-,-
Abdulmuqit,Abdulmuqit,1,10.287,-,-
Abdulmuttalib,Abdulmuttalib,1,10.287,1,1.772
Abdülmüttalib,Abdülmüttalib,1,10.287,-,-
Abdulnasir,Abdulnasir,1,10.287,-,-
Abdulnuur,Abdulnuur,1,10.287,-,-
Abdulrachim,Abdurrahim,1,10.287,-,-
Abdul-Rachim,Abdurrahim,3,5.593,-,-
Abdulrachman,Abdulrachman,1,10.287,-,-
Abdul-Rachman,Abdurrahman,2,7.058,-,-
Abdulraham,Abdulraham,1,10.287,-,-
Abdulrahim,Abdurrahim,2,7.058,-,-
Abdul-Rahim,Abdurrahim,7,3.427,1,1.772
Abdulrahman,Abdurrahman,44,1.159,3,969
Abdul-Rahman,Abdurrahman,12,2.530,1,1.772
Abdul-Rasaq,Abdul-Rasaq,1,10.287,-,-
Abdul-Rashid,Abdul-Rashid,1,10.287,-,-
Abdulrazak,Abdulrazak,1,10.287,-,-
Abdul-Razzaq,Abdul-Razzaq,1,10.287,-,-
Abdulrhman,Abdulrhman,1,10.287,-,-
Abdulrrahman,Abdulrrahman,1,10.287,-,-
Abdul-Salah,Abdul-Salah,1,10.287,-,-
Abdulsalam,Abdussalam,1,10.287,-,-
Abdul-Salam,Abdul-Salam,2,7.058,-,-
Abdulsamad,Abdussamed,3,5.593,-,-
Abdulsamed,Abdussamed,9,2.968,-,-
Abdul-Samed,Abdussamed,1,10.287,-,-
Abdülsamed,Abdülsamed,1,10.287,-,-
Abdül-Samed,Abdussamed,1,10.287,-,-
Abdulsamet,Abdussamed,8,3.186,-,-
Abdul-Samet,Abdussamed,1,10.287,-,-
Abdul-Semih,Abdul-Semih,1,10.287,-,-
Abdulvahap,Abdulvahap,1,10.287,-,-
Abdulvahid,Abdul-Vahid,2,7.058,-,-
Abdul-Vahid,Abdul-Vahid,2,7.058,-,-
Abdülvahid,Abdul-Vahid,1,10.287,-,-
Abdulvahit,Abdul-Vahid,1,10.287,-,-
Abdulvali,Abdulvali,1,10.287,-,-
Abdülvedüd,Abdülvedüd,1,10.287,-,-
Abdülvehhab,Abdülvehhab,1,10.287,-,-
Abdul-Wachid,Abdul-Wachid,1,10.287,-,-
Abdulwahab,Abdulwahab,4,4.736,-,-
Abdul-Wahab,Abdul-Wahab,2,7.058,-,-
Abdulwahid,Abdulwahid,1,10.287,-,-
Abdul-Wahid,Abdul-Vahid,1,10.287,-,-
Abdulwali,Abdulwali,1,10.287,-,-
Abdulwares,Abdulwares,1,10.287,-,-
Abdulzahir,Abdulzahir,1,10.287,-,-
Abdur,Abdul,7,3.427,-,-
Abdurachman,Abdurrahman,5,4.151,-,-
Abdurahim,Abdurrahim,8,3.186,-,-
Abdurahman,Abdurrahman,38,1.259,4,815
Abdu-Rahman,Abdurrahman,1,10.287,-,-
Abdurakhman,Abdurakhman,1,10.287,-,-
Abdurazak,Abdurazak,1,10.287,-,-
Abdurohman,Abdurohman,1,10.287,-,-
Abdurragip,Abdurragip,1,10.287,-,-
Abdurraheem,Abdurrahim,1,10.287,-,-
Abdurrahim,Abdurrahim,17,2.047,-,-
Abdürrahim,Abdurrahim,3,5.593,-,-
Abdurrahman,Abdurrahman,127,593,5,701
Abdur-Rahman,Abdur-Rahman,2,7.058,-,-
Abdürrahman,Abdurrahman,3,5.593,-,-
Abdur-Rashid,Abdur-Rashid,1,10.287,-,-
Abdurrezzag,Abdurrezzag,1,10.287,-,-
Abdurrohman,Abdurrohman,1,10.287,-,-
Abdus,Abdus,1,10.287,-,-
Abdüs,Abdüs,1,10.287,-,-
Abdusalam,Abdusalam,2,7.058,-,-
Abdusamed,Abdussamed,2,7.058,-,-
Abdüsamet,Abdussamed,1,10.287,-,-
Abdussalam,Abdussalam,3,5.593,-,-
Abdussamed,Abdussamed,11,2.647,2,1.219
Abdüssamed,Abdussamed,9,2.968,1,1.772
Abdussamet,Abdussamet,1,10.287,-,-
Abdüssamet,Abdussamed,6,3.749,-,-
Abdüsselam,Abdussalam,2,7.058,-,-
Abdüsselâm,Abdussalam,1,10.287,-,-
Abdussettar,Abdussettar,1,10.287,-,-
Abdyl,Abdyl,1,10.287,-,-
Abed,Abed,6,3.749,1,1.772
Abedallah,Abedallah,1,10.287,-,-
Abedin,Abedin,4,4.736,-,-
Abel,Abel,76,821,5,701
Ábel,Abel,20,1.840,4,815
Àbel,Abel,1,10.287,-,-
Abel-Adrian,Abel-Adrian,1,10.287,-,-
Abelardo,Abelardo,1,10.287,-,-
Abel-Beniamin,Abel-Beniamin,1,10.287,-,-
Abel-Benjamin,Abel-Benjamin,1,10.287,-,-
Abel-Bryan,Abel-Bryan,1,10.287,-,-
Abel-Filip,Abel-Filip,1,10.287,-,-
Abel-İonatan,Abel-İonatan,1,10.287,-,-
Abel-Jeovanni,Abel-Jeovanni,1,10.287,-,-
Abel-Nicolae,Abel-Nicolae,1,10.287,-,-
Abel-Valentino,Abel-Valentino,1,10.287,-,-
Abenezer,Abenezer,1,10.287,-,-
Abes,Abes,1,10.287,-,-
Abgar,Abgar,1,10.287,-,-
