MARIA,1106290
ANA,931583
FERNANDA,104166
RENATA,34895
ADRIANA,17049
JULIANA,89377
MARIANA,142607
VERA,1747
PATRÍCIA,27061
ALINE,75076
BEATRIZ,170565
DANIELA,39416
CRISTINA,9227
REGINA,4349
SANDRA,7403
BRUNA,137747
CAROLINA,44734
CARLA,50975
PAULA,29292
HELENA,82
LUCIANA,19547
CAMILA,128424
GABRIELA,168467
CLÁUDIA,9864
DENISE,9352
LAURA,93995
VANESSA,66452
ANNA,26197
MARINA,38911
CRISTIANE,63
MÁRCIA,11934
CLAUDIA,60
BIANCA,108924
MARCIA,56
LARISSA,168810
LÚCIA,3750
ALICE,61089
ROBERTA,23005
RAQUEL,48571
ALESSANDRA,29545
FLÁVIA,36482
LUANA,116507
AMANDA,175914
TATIANA,6407
RITA,12608
FABIANA,19814
LUIZA,58502
VIVIANE,24343
BÁRBARA,46253
CAROL,9026
SILVIA,42
LETÍCIA,208569
SONIA,42
CARMEN,821
ELIZABETH,1530
PRISCILA,18540
ROSA,3294
MIRIAM,5462
LUCIA,40
MARTA,8692
ELISA,9881
JULIA,39
SÔNIA,2193
KARINA,17647
ELAINE,16788
MÔNICA,12143
FRANCISCA,31028
JÚLIA,264684
TÂNIA,2996
ELIANE,8901
ROSANA,4576
SIMONE,6558
GIOVANNA,26819
ANDRÉA,4734
EDNA,4438
PATRICIA,34
ELIANA,5206
ISABEL,20129
LEILA,4644
CAROLINE,62694
JÉSSICA,67439
ISABELA,126191
CECILIA,32
APARECIDA,4277
CÉLIA,1520
MONICA,31
SOLANGE,2391
ANGELA,30
ANTONIA,29
MARLENE,29
SILVANA,4475
SUZANA,7010
ÂNGELA,12706
CAMILLA,28
ANDRESSA,58012
DÉBORA,65689
MARCELA,35192
CLARA,45324
ERIKA,27
JOANA,20503
ANA PAULA,27
VALÉRIA,14628
ELZA,777
NATÁLIA,95389
JAQUELINE,38271
SARAH,20895
TERESA,1267
DANIELE,25
SABRINA,80112
MICHELLE,3081
MARISA,3080
JANE,2082
NORMA,330
MARIA DO CARMO,24
MONIQUE,16441
INGRID,41069
HILDA,473
FLAVIA,23
KÁTIA,3996
MARA,4314
MARÍLIA,11196
BARBARA,23
RUTH,4546
RAFAELA,104451
GISELE,26993
TEREZA,2929
LIGIA,22
NATALIA,22
KATIA,22
THAÍS,35122
JACQUELINE,735
DANIELLE,4875
OLGA,935
LOURDES,590
YARA,7330
LORENA,44559
JESSICA,20
VITÓRIA,282754
LIA,2696
EUNICE,826
ISABELLA,20
MARIA LÚCIA,20
THAIS,35120
ERICA,20
LÍVIA,78361
DIANA,8614
GILDA,296
ROSÂNGELA,4333
PRISCILLA,19
EVA,4244
ANA BEATRIZ,19
SYLVIA,19
MAYARA,18129
LUISA,18
ESTHER,5593
GIULIA,12923
FÁTIMA,4819
HELOÍSA,22050
KAREN,21776
ROSELI,1626
SHEILA,4175
ANA CAROLINA,18
DULCE,1130
IRENE,1052
PAOLA,24107
VÂNIA,2175
ALEXANDRA,11060
LETICIA,17
SUELI,3165
KARLA,5874
SÍLVIA,5057
VIVIAN,12671
MARTHA,347
MARGARIDA,716
ROSANE,16
DORA,493
MILENA,74254
JOSEFA,4305
JOYCE,10135
TALITA,44986
KELLY,13379
JANAÍNA,16
CLARICE,10957
DALVA,562
TEREZINHA,777
CATARINA,7934
DEBORA,15
CELIA,15
MARY,1418
JUSSARA,3826
ANITA,2987
ANDRÉIA,11579
LILIAN,8048
CECÍLIA,14178
ISADORA,57672
TELMA,888
LEONOR,130
LUCY,14
ALZIRA,301
SORAYA,535
NATHÁLIA,14
LUÍSA,22983
KARINE,20242
NAIR,665
DANIELLA,14
LILIANE,7040
ANDREA,4705
TANIA,14
BETH,62
NINA,2976
VICTORIA,13
AMÉLIA,854
SARA,115773
MANUELA,31803
CELINA,1375
CHRISTINA,13
ARIANE,20480
ADELAIDE,451
NICOLE,86479
WILMA,811
ANGÉLICA,11713
CARINA,9173
WANDA,413
OLIVIA,13
YASMIN,84688
GISELLE,1411
RACHEL,1133
REJANE,13
CÁSSIA,8728
CHRISTIANE,13
THALITA,12
ARLETE,671
EDITH,54
BERENICE,360
ANTÔNIA,30725
SELMA,1053
MALU,1074
CLARISSA,4204
ANGELINA,4660
ELLEN,19835
ÉRIKA,13184
ANA MARIA,12
IZABEL,4478
ZILDA,300
TAMIRES,38974
SOFIA,59571
LUCIANE,11
ALDA,507
THEREZA,11
LAIS,47610
ISABELLE,11
MANOELA,14678
MAGDA,557
SUELY,829
EVELYN,17417
ADRIANE,7680
LUZIA,4657
BETTY,11
BRENDA,67047
FLORA,815
SUSANA,2233
DEBORAH,2431
VALENTINA,9001
GABI,10
RAIMUNDA,2736
GIOVANA,70358
THEREZINHA,10
MARILENE,2457
LUÍZA,58468
INÊS,1257
GABRIELLA,10
YOLANDA,399
ANNE,9687
ROSE,879
VERÔNICA,16555
VANDA,735
SAMANTHA,2307
TAMARA,1
EDUARDA,110154
IRACEMA,495
VALERIA,9
NADIA,9
LIVIA,9
STELLA,9
MARIA JÚLIA,9
MARIA BEATRIZ,9
MARCELLA,9
LYDIA,117
LIANA,9
GRAÇA,345
VIRGÍNIA,1788
GINA,108
EMÍLIA,2682
MARIA DA PENHA,9
PÂMELA,9
CARMEM,1205
ESTER,42403
FRANCINE,4300
LARA,78234
KAROLINE,8725
MARGARETE,278
MARIA INÊS,9
MARIA THEREZA,9
CYNTHIA,361
LEDA,9
ELEONORA,263
ELIZA,5570
CRISTIANA,1538
MAYRA,9
ANA CLÁUDIA,9
SUELEN,14493
KARIN,698
ÉRICA,53502
MIRELLA,8
HELOISA,8
IVANA,1775
DIVA,245
DANDARA,5755
ELVIRA,223
AMELIA,8
NILZA,386
IVONE,1056
JOELMA,6091
STEPHANIE,3424
BERTA,8
MICHELE,26519
MARIA LUIZA,8
LÍDIA,7516
CIBELE,8245
ALBA,210
CONSUELO,61
IARA,20511
PALOMA,21410
CINTHIA,8
ARACY,8
GLÓRIA,5075
CONCEIÇÃO,936
CÍNTIA,13029
HELEN,13621
MARGARETH,70
LINA,8
ALBERTINA,191
ANA LUCIA,8
ELISABETH,589
RAFA,7
VANIA,7
VILMA,1126
VERONICA,7
CLAUDETE,281
ÁUREA,7
SUZY,250
MYRIAM,7
NANCY,84
MARIA HELENA,7
MARIA JOSÉ,7
IRIS,7
IONE,576
ISAURA,754
ANDREIA,7
DUDA,2
MARIZA,7
DANI,1
PÂMELLA,7
MAGALI,467
LUDMILA,9457
LIDIANE,6758
EDILENE,7
MARIA APARECIDA,7
TAINÁ,56143
NÁDIA,4020
NATASHA,5665
JOICE,30844
JANETE,1235
ANTONIETA,179
ODETE,237
IZABELA,7
MARIE,343
FABIOLA,7
ZÉLIA,340
FATIMA,7
TANYA,6
THAYNARA,6
ANGELICA,6
CLEIDE,1051
FANNY,87
MARIA DE LOURDES,6
GISELA,6
TINA,6
MARIANNA,6
JULIETA,267
JULIE,1924
KAMILA,7565
IRMA,73
