Aadila,1
Aaliyah,2
Aartje,1
Aaryn,1
Abby,6
Abeille,1
Abigail,12
Abla,1
Ada,12
Addison,1
Addy,1
Adela,1
Adelaide,4
Adele,10
Adeline,2
Adi,1
Adina,1
Adine,2
Adjia,1
Adria,2
Adriana,7
Adriane,2
Adrianna,2
Adrianne,4
Adrienne,16
Adwoa,1
Adèle,8
Adéla,1
Afua,1
Aganetha,1
Agathe,4
Agnes,28
Agnieszka,1
Agnès,6
Ai,1
Aida,3
Aija,1
Aiko,2
Ailana,1
Aileen,7
Aimee,8
Aimée,6
Aine,1
Ainslee,1
Ainsley,2
Ainslie,1
Aisha,2
Aisling,1
Aislinn,3
Aisslinn,1
Aiza,1
Aja,1
Akemi,2
Akhtar,1
Aki,2
Akiko,2
Akina,1
Akitiq,1
Alaa,1
Alacie,1
Alaina,3
Alaine,1
Alana,10
Alanis,2
Alanna,6
Alannah,2
Alasi,1
Albanie,1
Alberta,5
Albertine,5
Albina,1
Albine,1
Alda,1
Aldina,1
Aldéa,1
Aleah,1
Aleisha,1
Alejandra,3
Aleksandra,1
Alena,2
Alesia,1
Alessandra,4
Alessia,2
Alethea,1
Alethia,1
Alex,16
Alexa,9
Alexa-Jeanne,1
Alexandra,2
Alexandria,6
Alexandrine,3
Alexanne,1
Alexe,1
Alexei,1
Alexia,2
Alexiane,1
Alexie,3
Alexina,1
Alexis,6
Alexzandra,1
Ali,2
Alice,58
Alicia,14
Alicie,1
Aliette,1
Alina,6
Aline,23
Alisa,2
Alisen,1
Alisha,4
Alison,54
Alissa,7
Alix,4
Aliyah,1
Aliza,1
Alizée,1
Aliénor,1
Alla,2
Allana,1
Allegra,1
Allene,1
Allicia,1
Allie,5
Allison,29
Ally,2
Allyn,1
Allysha,1
Allyson,5
Alma,5
Almeda,1
Aloha,1
Alondra,2
Alonso,34
Althea,2
Alvine,1
Alvira,1
Alwyn,1
Alycia,3
Alyona,1
Alys,1
Alyscha,1
Alysha,2
Alysia,1
Alyson,7
Alyssa,14
Alysse,1
Alysson,1
Alyxandria,1
Amal,1
Amalie,1
Aman,1
Amanda,65
Amandine,2
Amber,16
Amelia,13
Amelie,2
America,1
Ami,1
Amice,1
Amie,1
Amin,1
Amina,1
Aminata,1
Amira,1
Amit,1
Amra,1
Amulette,1
Amy,54
Amylie,1
Amélie,29
An,1
Ana,12
Ana Lucia,1
Anabel,1
Anabelle,2
Anahi,1
Anais,2
Analía,1
Anastasia,7
Anastasiya,1
Anauta,1
Anaïs,3
Anca,1
Andi,2
Andie,1
Andrea,21
Andria,2
Andromache,1
André,1
Andréa,2
Andréanne,14
Andrée,49
Andrée-Ann,1
Andrée-Anne,7
Aneta,1
Angel,1
Angela,60
Angelica,1
Angelina,4
Angeline,2
Angelique,2
Angie,5
Angy,1
Angèle,9
Angéla,1
Angélina,2
Angélique,3
Ani,3
Ania,3
Anick,6
Anicka,1
Anie,1
Anik,5
Anika,1
Anique,2
Anissa,1
Anita,29
Anjali,1
Anju,1
Anjulie,1
Anke,1
Ann,102
Ann-Louise,1
Ann-Marie,3
Ann-Sophie,1
Anna,1
Anna Maria,1
Anna-Maria,1
Anna-Marie,1
Annabel,3
Annabella,1
Annabelle,10
Annaleise,1
Annamarie,1
Annamay,1
Anne,214
Anne Marie,2
Anne-Claude,1
Anne-France,2
Anne-Laure,2
Anne-Marie,65
Anne-Sophie,4
Anne-Élisabeth,2
Annebelle,1
Annemarie,4
Annesley,1
Annetta,1
Annette,17
Annick,19
Annie,120
Annik,3
Annika,1
Annis,1
Annita,2
Annora,1
Anny,1
Anouck,1
Anouk,6
Antje,1
Antoine,1
Antoinette,2
Antonia,4
Antonie,1
Antonietta,2
Antonine,1
Anya,1
Anyssa,1
Aoura,1
Apollonia,1
April,7
Arabella,1
Araz,1
Arden,1
Aretha,1
Aria,1
Ariana,5
Ariane,39
Ariane-Li,1
Arianne,4
Ariel,4
Arielle,5
Arin,1
Arinn,1
Arisa,1
Arista,1
Aristazabal,1
Aritha,1
Arleen,3
Arlene,11
Arlette,6
Arline,1
Armelle,1
Armine,1
Arna,1
Arsinée,1
Artis,1
Aryana,1
Aselin,1
Ash,1
Asha,1
Ashlan,1
Ashlea,1
Ashlee,1
Ashleigh,7
Ashley,45
Ashlie,1
Asia,2
Astrid,6
Athanasia,1
Athena,1
Athene,1
Athole,1
Atia,1
Atina,1
Atlas,1
Atsuko,1
Attagootak,1
Aube,1
Aude,4
Audla,1
Audrey,47
Audréane,3
Audrée,2
Augusta,1
Augustina,1
Augustine,2
Aurelia,2
Aurelie,2
Aurora,3
Aurore,5
Auréa,1
Aurélia,1
