'Abd al-Majid,1
Aadu,1
Aage,1
Aaron,1
Aart,2
Ab,11
Aba,1
Abbas,1
Abbie,1
Abbott,1
Abbé,1
Abdoulaye,2
Abdul,1
Abdullah,3
Abdullahi,1
Abe,8
Abel,5
Abercrombie,4
Abhi,1
Abhinav,1
Abid,1
Abie,1
Abner,3
Abraham,28
Abram,6
Absalom,3
Abu,1
Abzal,1
Acalus,1
Ace,2
Acheson,1
Achilla,1
Achille,8
Achille-Ferdinand,1
Adalbert,4
Adam,189
Adamie,5
Adamo,2
Adams,1
Adderly,1
Addie,1
Addison,2
Adedeji,1
Adel,1
Adelard,1
Adelbert,1
Adelme,1
Aden,3
Adham,2
Adhémar,2
Adi,1
Adib,1
Adjutor,2
Adla,1
Admir,1
Adolf,3
Adolfo,5
Adolph,2
Adolphe,15
Adolphe-Philippe,1
Adolphus,3
Adonijah,1
Adonis,2
Adrian,49
Adriano,1
Adrien,29
Adulphe,1
Adélard,16
Adéodat,1
Aegidius,1
Aemilius,1
Aeneas,2
Aengus,1
Afie,1
Agar,2
Aggie,2
Agop,1
Agostino,2
Aher,1
Ahmad,2
Ahmed,8
Ahren,1
Aidan,11
Aiden,2
Aiemann,1
Aimable,1
Aimé,17
Ain,1
Ainsley,1
Ainslie,1
Aisa,3
Aitken,1
Ajay,8
Ajene,1
Akeel,1
Akeem,2
Akeley,1
Akil,1
Akim,1
Akira,1
Akli,1
Akos,1
Akwasi,1
Al,87
Aladár,1
Alain,205
Alan,157
Alano,1
Alanson,1
Alar,1
Alasdair,3
Alastair,10
Alban,7
Albany,1
Albert,260
Albert Edward,2
Alberta,1
Alberto,2
Albertus,1
Albin,1
Albini,1
Albiny,1
Albion,1
Albéric,2
Albéric-Archie,1
Alcibiade,2
Alcide,8
Alcides,1
Alcock,1
Alden,3
Aldi,1
Aldin,1
Aldis,1
Aldo,5
Aldor,1
Aldée,2
Aldéric,4
Aldéric-Joseph,1
Ale,1
Alec,17
Aled,1
Alejandro,5
Alek,2
Aleks,2
Aleksa,2
Aleksandar,1
Aleksander,3
Aleksandr,11
Aleksis,1
Alen,1
Alessandro,6
Alessio,1
Alex,179
Alexander,326
Alexandre,161
Alexandro,1
Alexandru,2
Alexei,2
Alexey,1
Alexi,1
Alexie,1
Alexis,50
Alexis-Xyste,1
Alexy,1
Aleš,1
Alf,13
Alfie,4
Alfons,1
Alfonso,3
Alfred,197
Alfred-Odilon,1
Alfred-Valère,1
Alfredo,1
Algis,1
Ali,3
Aliocha,1
Alistair,11
Alister,2
Allain,1
Allan,148
Allard,1
Alle,1
Allen,36
Allie,1
Allison,5
Allister,6
Allyre,1
Almon,1
Alois,2
Alok,1
Alon,1
Alonza,1
Alonzo,7
Aloupa,1
Aloysius,3
Alpha,2
Alphaeus,1
Alpheus,3
Alphida,1
Alphide,1
Alphonse,57
Alphonse-Charles,1
Alphonse-Edgar,1
Alphonse-Marie,1
Alphonse-Télesphore,1
Alphonso,2
Alphonsus,2
Alphée,3
Alson,1
Alston,1
Alton,3
Alun,1
Alupa,1
Alva,1
Alvaro,3
Alvin,20
Alwyn,1
Aly,2
Alykhan,1
Alyn,1
Alyre,1
Amable,8
Aman,2
Amand,1
Amani,1
Amaro,1
Amaury,1
Ambroise,4
Ambroise-Hilaire,1
Ambrose,8
Amby,1
Ameer,2
Ameet,1
Ameko,1
Amer,1
Americus,1
Amhlaidh,1
Ami,1
Amidou,1
Amiel,2
Amine,2
Amir,6
Amit,1
Ammanuel,1
Amor,1
Amos,12
Amr,1
Amrik,1
Amédée,12
An,1
Anakadlak,1
Anand,2
Anastasios,1
Anatol,1
Anatole,2
Anatoly,1
Ander,1
Anders,4
Anderson,3
Andor,1
Andras,1
Andre,31
Andrea,1
Andreas,11
Andrei,1
Andrej,2
Andres,5
Andrew,401
Andrew the Apostle,1
Andrey,5
Andrii,1
Andru,1
Andrzej,4
André,415
André-Albert,2
André-Marie,2
André-Philippe,1
André-Pierre,1
Andréa,1
Andréas,1
Andrés,3
Andy,95
Ange,2
Angel,1
Angelo,16
Angie,1
Angus,60
Anh,1
Anicet,2
Anil,3
Anne-Marie,1
Annesley,1
Annis,1
Anselme,4
Anson,5
Anstruther,2
