阿,277856
啊,2726
皑,392
蔼,1735
霭,496
艾,60098
爱,1443486
叆,11
安,4610624
桉,4250
谙,124
岸,22487
昂,114849
敖,17441
遨,1107
熬,1475
翱,15014
鳌,6121
傲,93106
奥,124385
骜,4052
澳,46028
鏊,180
八,43674
巴,41015
粑,1
拔,667
白,80178
百,276137
佰,136942
柏,820862
拜,662
班,5120
板,1220
邦,673998
帮,293280
榜,63269
包,5347
薄,2067
宝,5172285
保,3517598
葆,7780
报,11204
抱,845
豹,86099
鲍,953
暴,120
杯,2766
北,147648
贝,86040
备,26759
倍,14784
被,108
琲,244
焙,977
蓓,7003
奔,42332
犇,15187
本,1096052
笨,293
镚,16
比,5245
彼,1446
必,335288
毕,22837
铋,46
弼,6039
碧,222613
壁,5184
璧,3947
边,5893
卞,134
变,1927
标,845697
彪,967676
飙,3459
镖,4281
镳,232
表,9342
苾,47
邠,3
玢,952
宾,508910
彬,3332598
斌,4814830
滨,425603
缤,2195
槟,10546
镔,9625
膑,1096
冰,444612
兵,4454868
丙,473169
邴,55
秉,204130
柄,15255
炳,1598317
卜,21735
波,5517079
玻,2612
菠,4139
伯,542519
泊,23534
勃,65383
铂,6765
博,2060262
渤,19131
搏,16639
擘,1314
布,41532
步,144816
部,1241
才,4335195
材,57873
财,1755371
裁,92
采,10037
彩,321983
菜,599
蔡,3451
参,22501
灿,740373
粲,2433
璨,10272
仓,188522
苍,26699
沧,4272
藏,4772
操,27569
曹,9625
草,11736
策,98477
岑,34318
涔,978
层,2836
曾,49232
茶,3637
查,4782
钗,4718
柴,540
婵,3343
禅,1512
蝉,1942
潺,1283
产,14627
昌,4834799
尝,658
常,556042
偿,219
嫦,299
长,5015722
厂,20146
场,5377
昶,45506
畅,181748
唱,3938
怊,8
钞,3701
绰,914
超,5289288
焯,33321
晁,1791
巢,393
朝,2802255
潮,223546
车,6405
彻,3050
澈,4344
郴,2501
琛,177680
臣,1315806
尘,14800
辰,399521
沉,2877
忱,36516
陈,215129
宸,107931
晨,1136672
谌,682
趁,6586
琤,1429
称,7219
成,11279627
丞,54955
呈,93865
