MARIA CARMEN,647877
MARIA,589055
CARMEN,375835
ANA MARIA,271616
JOSEFA,262571
MARIA PILAR,260302
ISABEL,258873
LAURA,257680
MARIA DOLORES,255040
MARIA TERESA,248131
ANA,246892
CRISTINA,228022
MARTA,226974
MARIA ANGELES,223560
LUCIA,208878
FRANCISCA,204718
MARIA ISABEL,203839
MARIA JOSE,203236
ANTONIA,198493
DOLORES,187124
SARA,172330
PAULA,171912
ELENA,161552
MARIA LUISA,156661
RAQUEL,147970
ROSA MARIA,146852
PILAR,141468
MANUELA,140802
CONCEPCION,140358
MARIA JESUS,136736
MERCEDES,133991
JULIA,125798
BEATRIZ,123191
NURIA,120523
SILVIA,120380
ALBA,119104
IRENE,117379
ROSARIO,116470
JUANA,115392
TERESA,113947
PATRICIA,112249
ENCARNACION,111866
MONTSERRAT,108551
ANDREA,108336
ROCIO,107983
MONICA,103317
ALICIA,100530
MARIA MAR,99405
ROSA,98927
SONIA,98049
SANDRA,97952
MARINA,97671
ANGELA,96852
SUSANA,95520
NATALIA,94283
YOLANDA,91915
MARGARITA,87617
MARIA JOSEFA,85644
CLAUDIA,83470
SOFIA,82123
EVA,80960
CARLA,78833
MARIA ROSARIO,78492
INMACULADA,78020
MARIA MERCEDES,76971
ANA ISABEL,76225
ESTHER,74297
NOELIA,73944
VERONICA,71796
NEREA,66953
CAROLINA,66876
ANGELES,65002
DANIELA,64728
MARIA VICTORIA,63405
EVA MARIA,63155
INES,63026
MIRIAM,62655
LORENA,61837
MARIA ROSA,61503
MARIA ELENA,60587
ANA BELEN,60564
VICTORIA,59698
MARIA CONCEPCION,59445
AMPARO,57984
MARTINA,57123
MARIA ANTONIA,55424
ALEJANDRA,53807
LIDIA,53352
CATALINA,53200
CELIA,52694
MARIA NIEVES,51706
CONSUELO,50149
FATIMA,50096
OLGA,49991
AINHOA,49804
GLORIA,47515
CLARA,47412
MARIA CRISTINA,46861
MARIA SOLEDAD,46683
EMILIA,46381
AURORA,45327
LUISA,45265
ANNA,44542
