1,"MARIA CARMEN",641875,"59,5"
2,MARIA,578124,"48,4"
3,CARMEN,366259,"60,5"
4,"ANA MARIA",269814,"53,6"
5,"MARIA PILAR",258063,"59,4"
6,LAURA,257933,"30,8"
7,JOSEFA,254603,"69,6"
8,ISABEL,253995,"58,7"
9,"MARIA DOLORES",252315,"58,9"
10,"MARIA TERESA",245619,"59,4"
11,ANA,244582,"44,8"
12,MARTA,227510,"31,7"
13,CRISTINA,227478,"36,4"
14,"MARIA ANGELES",221658,"57,7"
15,LUCIA,211415,"24,2"
16,"MARIA ISABEL",203041,"55,5"
17,"MARIA JOSE",202688,"48,7"
18,FRANCISCA,199351,"66,5"
19,ANTONIA,193396,"66,3"
20,DOLORES,181179,"68,3"
21,SARA,173633,"26,3"
22,PAULA,173613,"21,5"
23,ELENA,161038,"38,1"
24,"MARIA LUISA",154134,"62,9"
25,RAQUEL,147734,"38,7"
26,"ROSA MARIA",146262,"54,9"
27,MANUELA,138726,61
28,PILAR,137176,"64,7"
29,CONCEPCION,136594,"67,3"
30,"MARIA JESUS",135557,"57,7"
31,MERCEDES,130843,"62,6"
32,JULIA,126308,"38,8"
33,BEATRIZ,122917,"39,7"
34,ALBA,120836,"18,5"
35,SILVIA,120412,"38,6"
36,NURIA,120228,"40,2"
37,IRENE,117797,"28,1"
38,ROSARIO,113368,"65,3"
39,PATRICIA,112214,"34,3"
40,JUANA,112164,"67,2"
41,TERESA,110694,"62,7"
42,ENCARNACION,109187,"64,9"
43,ANDREA,108594,"24,6"
44,ROCIO,108547,"31,1"
45,MONTSERRAT,107393,"56,5"
46,MONICA,103224,"40,3"
47,ALICIA,100606,"39,9"
48,"MARIA MAR",99278,"46,2"
49,SANDRA,98016,32
50,SONIA,97965,40
51,MARINA,97632,"33,5"
52,ROSA,95994,"65,8"
53,ANGELA,95816,"44,8"
54,SUSANA,95392,"44,7"
55,NATALIA,94487,"30,3"
56,YOLANDA,91722,"45,5"
57,MARGARITA,86081,"61,7"
58,SOFIA,85039,"18,8"
59,CLAUDIA,84688,"17,9"
60,"MARIA JOSEFA",84374,"64,2"
61,EVA,81354,"34,7"
62,CARLA,80635,"14,7"
63,"MARIA ROSARIO",77738,"60,8"
64,INMACULADA,77614,"46,8"
65,"MARIA MERCEDES",76594,"57,2"
66,"ANA ISABEL",76152,"46,1"
67,NOELIA,74038,"30,4"
68,ESTHER,73772,"43,5"
69,VERONICA,71753,"36,1"
70,NEREA,67388,"20,7"
71,CAROLINA,67163,"34,9"
72,DANIELA,66821,"14,8"
73,INES,63378,"35,1"
74,"EVA MARIA",63202,44
75,"MARIA VICTORIA",63145,"54,4"
76,ANGELES,62996,"67,3"
77,MIRIAM,62996,"29,5"
78,LORENA,61883,"30,9"
79,"MARIA ROSA",60685,"63,3"
80,"ANA BELEN",60591,"40,6"
81,"MARIA ELENA",60519,"52,1"
82,MARTINA,59910,"15,6"
83,VICTORIA,59357,"45,8"
84,"MARIA CONCEPCION",58724,"63,8"
85,AMPARO,56373,"65,9"
86,ALEJANDRA,54726,"24,4"
87,"MARIA ANTONIA",54723,"61,7"
88,LIDIA,53294,"36,2"
89,CELIA,52856,34
90,CATALINA,52195,"61,2"
91,"MARIA NIEVES",51197,"58,7"
92,FATIMA,50359,"38,3"
93,AINHOA,50338,"20,2"
94,OLGA,49706,"47,4"
95,CONSUELO,48583,"68,3"
96,CLARA,47868,"29,5"
97,GLORIA,46868,"55,5"
98,"MARIA CRISTINA",46836,"51,5"
