1,ANTONIO,640854,"57,1"
2,MANUEL,562798,"55,7"
3,JOSE,547142,"62,1"
4,FRANCISCO,467933,"58,7"
5,DAVID,369633,"32,9"
6,JUAN,325791,"56,3"
7,JAVIER,308465,"35,3"
8,"JOSE ANTONIO",303446,"51,9"
9,DANIEL,302864,"28,8"
10,"FRANCISCO JAVIER",285853,"47,4"
11,"JOSE LUIS",285096,"55,4"
12,CARLOS,276918,"40,7"
13,JESUS,268791,"49,9"
14,ALEJANDRO,265562,"27,2"
15,MIGUEL,240406,"47,2"
16,"JOSE MANUEL",239213,"49,5"
17,RAFAEL,228320,"52,1"
18,"MIGUEL ANGEL",227786,"46,1"
19,PABLO,222590,"28,4"
20,PEDRO,214374,"54,5"
21,ANGEL,213042,"50,9"
22,SERGIO,209093,"30,5"
23,"JOSE MARIA",199992,"55,7"
24,FERNANDO,199161,"50,4"
25,JORGE,193890,"36,1"
26,LUIS,185340,"52,9"
27,ALBERTO,179233,39
28,ALVARO,164351,"23,7"
29,"JUAN CARLOS",160704,"48,2"
30,ADRIAN,158783,"20,9"
31,DIEGO,154834,"32,9"
32,"JUAN JOSE",151376,"50,4"
33,RAUL,141433,"33,6"
34,IVAN,136071,"27,5"
35,"JUAN ANTONIO",131286,51
36,RUBEN,129725,"29,5"
37,ENRIQUE,124830,51
38,OSCAR,123308,"36,5"
39,RAMON,115941,"58,7"
40,ANDRES,113392,"48,1"
41,"JUAN MANUEL",112411,48
42,VICENTE,111719,60
43,SANTIAGO,109248,"48,4"
44,JOAQUIN,107272,"55,1"
45,MARIO,107100,"25,5"
46,VICTOR,106304,"31,7"
47,EDUARDO,104224,"46,2"
48,ROBERTO,97787,"42,3"
49,JAIME,95959,"41,7"
50,"FRANCISCO JOSE",95334,"44,2"
51,MARCOS,95305,"26,1"
52,HUGO,89378,"11,7"
53,IGNACIO,89371,41
54,JORDI,82593,"41,5"
55,ALFONSO,81604,"52,2"
56,RICARDO,79473,"50,3"
57,SALVADOR,77610,"54,7"
58,GUILLERMO,72973,"34,7"
59,MARC,72286,"21,8"
60,GABRIEL,72244,"36,8"
61,MOHAMED,71073,"35,6"
62,EMILIO,69152,"57,8"
63,GONZALO,68478,"31,4"
64,MARTIN,67731,"26,2"
65,"JOSE MIGUEL",64833,"47,2"
66,JULIO,64508,"55,2"
67,JULIAN,63670,"57,5"
68,TOMAS,62310,"54,1"
69,NICOLAS,60075,"28,9"
70,AGUSTIN,59954,"57,2"
71,"JOSE RAMON",57349,"54,7"
72,SAMUEL,56989,22
73,ISMAEL,56270,"30,7"
74,CRISTIAN,55280,"25,7"
75,LUCAS,55154,"14,5"
76,JOAN,54728,"42,4"
77,FELIX,52968,"58,8"
78,AITOR,52249,"24,4"
79,HECTOR,50149,"22,6"
80,IKER,47652,"16,1"
81,ALEX,47346,15
82,"JUAN FRANCISCO",46925,"47,8"
83,"JOSE CARLOS",44970,"45,7"
84,JOSEP,43638,"54,5"
85,SEBASTIAN,43294,"49,8"
86,CESAR,42872,"41,3"
87,MARIANO,42281,"61,5"
88,ALFREDO,41924,"54,3"
89,DOMINGO,41361,"62,5"
90,MATEO,41251,"16,8"
91,"JOSE ANGEL",40821,"46,6"
92,RODRIGO,40339,"23,6"
93,"VICTOR MANUEL",39705,"42,4"
94,FELIPE,39265,"54,6"
95,"JOSE IGNACIO",39230,"51,7"
96,"LUIS MIGUEL",37257,"45,7"
97,"JOSE FRANCISCO",34395,"50,3"
98,XAVIER,34026,"36,4"
99,"JUAN LUIS",33878,"49,2"
100,ALBERT,33832,"35,7"
101,PAU,32837,"17,8"
102,GREGORIO,31415,"62,7"
103,AARON,31273,16
104,"ANTONIO JOSE",30785,"44,6"
105,LORENZO,30643,"54,8"
106,IZAN,30390,"8,9"
107,BORJA,30320,"27,7"
108,ERIC,30067,"15,4"
109,ESTEBAN,29578,"51,4"
110,ARTURO,29445,44
111,MOHAMMED,29109,"38,2"
112,CRISTOBAL,29096,"54,1"
113,JOEL,27782,"16,5"
114,ISAAC,27575,31
115,"JOSE JAVIER",27575,"47,8"
116,ASIER,26959,"22,3"
117,"ANTONIO JESUS",26831,39
118,"JUAN MIGUEL",26830,47
119,"FRANCISCO MANUEL",26192,"43,6"
120,DARIO,25984,"18,4"
121,EUGENIO,25945,"61,5"
122,"JESUS MARIA",25812,"56,6"
123,BRUNO,25659,"17,4"
124,JAUME,25186,"46,6"
125,LEO,25064,"5,4"
126,UNAI,24832,"18,5"
127,ABEL,24778,"33,2"
128,MARCO,24613,15
129,GERMAN,24547,"45,2"
130,JONATHAN,24343,"28,8"
131,AHMED,24068,"43,5"
132,"PEDRO JOSE",24035,"47,5"
133,MIKEL,23768,"27,8"
134,"JOSE VICENTE",23466,"52,2"
135,SERGI,23093,"26,1"
136,VALENTIN,22987,"55,7"
137,MOISES,22863,"38,9"
138,CHRISTIAN,22754,"24,8"
139,OMAR,22182,"27,4"
140,"JUAN RAMON",21897,52
141,POL,21868,"15,4"
142,IÑIGO,21633,"33,2"
143,JON,21600,"25,9"
144,GERARD,21481,"22,2"
145,"MANUEL JESUS",21157,"41,7"
146,"JUAN PEDRO",21149,49
147,ADOLFO,20711,"56,6"
148,ARNAU,20446,"16,3"
149,ADAM,19961,"10,2"
150,ISRAEL,19736,"32,8"
151,ORIOL,19598,"23,9"
152,ERNESTO,19500,"51,4"
153,MIQUEL,19420,"40,1"
154,"ANTONIO MANUEL",19113,"43,7"
155,ISIDRO,18951,"59,7"
156,JONATAN,18800,"32,5"
157,ELOY,18659,"38,4"
158,BERNARDO,18523,"57,5"
159,GERARDO,18491,56
160,OLIVER,18486,"14,6"
161,BENITO,18454,"63,2"
162,CARMELO,17732,59
163,FEDERICO,17712,"54,4"
164,"JOSE ALBERTO",17508,"45,6"
165,"JESUS MANUEL",17402,48
166,FRANCESC,17372,"47,8"
167,"LUIS ALBERTO",17221,"46,7"
168,ADRIA,16880,"19,3"
169,YOUSSEF,16832,"24,5"
170,ALONSO,16766,"29,9"
171,SAUL,16757,"18,1"
172,"JUAN JESUS",16702,"45,6"
173,PASCUAL,16687,"60,3"
174,ROGER,16447,"25,9"
175,KEVIN,16300,"20,5"
176,ELIAS,16107,"39,3"
177,MATIAS,16087,40
178,MARTI,15986,"18,3"
179,ERIK,15908,"12,3"
180,"JUAN PABLO",15887,"37,9"
181,IÑAKI,15872,"39,2"
182,"JOSEP MARIA",15456,"58,9"
183,CARLES,15350,"38,3"
184,ANDER,15341,"20,9"
185,ENZO,15328,"5,2"
186,BENJAMIN,15282,"49,5"
187,BARTOLOME,15220,"60,9"
188,GUILLEM,15177,"21,2"
189,ALEXANDER,15176,"28,6"
190,"CARLOS ALBERTO",15022,"45,2"
191,"MARCO ANTONIO",14931,41
192,PERE,14887,"51,4"
193,"PEDRO ANTONIO",14843,50
194,LLUIS,14617,"47,7"
195,FERMIN,14520,"58,8"
196,"JOSE ENRIQUE",14520,"49,4"
197,ANTONI,14424,"49,2"
198,MARCELINO,14337,"64,9"
199,ABRAHAM,14208,"24,9"
200,JULEN,14176,"16,6"
201,"ANGEL LUIS",14164,"50,2"
202,"JUAN IGNACIO",13968,"49,3"
203,ALEIX,13798,"16,9"
204,SAID,13697,"41,4"
205,"FRANCISCO JESUS",13562,"40,5"
206,XABIER,13391,"28,4"
207,AURELIO,13322,"63,2"
208,GORKA,13174,"29,8"
209,FERRAN,12945,"30,5"
210,"LUIS FERNANDO",12884,"48,4"
211,GUSTAVO,12785,"43,9"
212,LEONARDO,12739,"38,7"
213,ROMAN,12725,"45,5"
214,JERONIMO,12646,"54,9"
215,RACHID,12618,"40,8"
216,JAN,12497,"13,3"
217,YERAY,12473,"18,1"
218,"MANUEL ANGEL",12470,"50,8"
219,"JOSE JUAN",12395,"51,1"
220,"LUIS MANUEL",12319,"46,5"
221,JACINTO,12232,"63,2"
222,DAMIAN,12210,"40,7"
223,"CARLOS JAVIER",12167,"43,5"
224,EUSEBIO,12036,"63,9"
225,ALI,11853,35
226,"JOSE DAVID",11803,"34,4"
227,IAN,11628,"11,8"
228,"PEDRO LUIS",11614,"51,8"
229,VICTORIANO,11606,"65,3"
230,ENRIC,11583,43
231,ARMANDO,11308,"53,5"
232,ISIDORO,11181,63
233,"JUAN BAUTISTA",11178,"58,6"
234,JAIRO,10944,"23,6"
235,ENEKO,10926,"20,7"
236,BLAS,10902,"58,8"
237,EDUARD,10857,"36,2"
238,"JOSE JOAQUIN",10840,"50,9"
239,GINES,10673,"53,8"
240,"JULIO CESAR",10666,"45,9"
241,TEODORO,10571,"65,9"
242,BIEL,10545,"9,6"
243,SANTOS,10545,"60,8"
244,DIONISIO,10522,"64,5"
245,"JUAN MARIA",10485,"55,2"
246,MUSTAPHA,10441,"43,6"
247,EDGAR,10391,"25,4"
248,CANDIDO,10344,"64,1"
249,JUSTO,10342,"63,4"
250,NIL,10306,"11,2"
251,"FRANCISCO ANTONIO",10242,49
252,LUCA,10179,"12,1"
253,FLORENCIO,10114,"66,4"
254,DYLAN,10034,"5,8"
255,GAEL,9987,6
256,"EMILIO JOSE",9979,"40,5"
257,"JOSE ANDRES",9878,"47,8"
258,SIMON,9777,"39,4"
259,"LUIS ANTONIO",9729,"51,5"
260,EMILIANO,9703,"62,2"
261,"LUIS ANGEL",9667,49
262,"JESUS ANGEL",9617,"50,6"
263,MAXIMO,9491,53
264,JACOBO,9409,"29,5"
265,SERAFIN,9384,"62,3"
266,ALEXIS,9345,"27,6"
267,"LUIS MARIA",9255,"58,1"
268,THIAGO,9222,"5,3"
269,IGOR,9213,38
270,EZEQUIEL,9060,"34,4"
271,FAUSTINO,9018,65
272,YAGO,8992,"14,8"
273,HASSAN,8938,"42,9"
274,ALEXANDRE,8923,"31,8"
275,FIDEL,8838,"59,2"
276,RAMIRO,8817,"58,1"
277,CLAUDIO,8762,"53,9"
278,MUHAMMAD,8749,"34,7"
279,"MANUEL ANTONIO",8748,"51,4"
280,"FRANCISCO MIGUEL",8733,"45,3"
281,"JUAN DIEGO",8692,"34,7"
282,AMADOR,8626,"60,7"
283,"PEDRO MANUEL",8617,"47,5"
284,ANDREU,8596,"31,2"
285,"JORGE LUIS",8526,"43,8"
