MARIA,199544
HELENA,122143
ANNELI,119334
JOHANNA,112149
KAARINA,95260
HANNELE,86011
MARJATTA,84540
KRISTIINA,75193
EMILIA,69533
LIISA,65199
ELINA,64119
SOFIA,62174
TUULIKKI,57695
MAARIT,57472
SUSANNA,56857
ANNIKKI,53478
KATARIINA,48136
LEENA,47613
ANNA,46083
MARJA,43704
SINIKKA,42004
INKERI,40233
RIITTA,38257
AINO,36358
ANNE,34901
TUULA,34284
PÄIVI,33512
KYLLIKKI,33481
ORVOKKI,31456
MAIJA,30838
RITVA,30792
KAROLIINA,30732
TELLERVO,30207
PAULIINA,29981
MINNA,29570
PIRJO,29391
SARI,29231
IRMELI,28347
EVELIINA,27912
TIINA,27486
LAURA,26736
EEVA,26645
MARIKA,26524
ELISABET,25963
TARJA,25915
SATU,24962
MARI,24405
HANNA,24156
PIRKKO,23983
HEIDI,23776
ANNIKA,23546
ILONA,23450
MARITA,23173
AMANDA,23019
SEIJA,22917
SIRPA,22913
JAANA,22812
SANNA,22450
ANJA,22364
IRENE,22241
JULIA,22008
RAIJA,21939
ANITA,21715
SISKO,21703
AURORA,21674
KIRSI,21646
EIJA,21541
MATILDA,21527
MARIANNE,21457
OLIVIA,21452
EILA,20945
KATRIINA,20884
MERJA,20746
ELISABETH,20388
LINNEA,19952
ANNI,19928
TUULIA,19876
ARJA,19685
MARJAANA,19664
KAISA,19443
ULLA,19403
MARKETTA,19281
PAULA,19218
ELISA,19192
HELMI,18912
JENNI,18002
TERTTU,17547
SIRKKA,17389
EMMA,17368
IIDA,17354
KATJA,17039
HELI,16442
MIRJAMI,15980
NINA,15954
MAARIA,15351
ANNIINA,15306
KIRSTI,14937
MIRJA,14861
SARA,14843
BIRGITTA,14626
ELLA,14556
HILKKA,14448
IDA,14345
ALEKSANDRA,14280
KATRI,14216
RAILI,14019
SUVI,13975
ALEXANDRA,13753
RIIKKA,13498
ANU,13401
MARJUT,13400
KAIJA,13277
TUIJA,12916
SAARA,12724
NIINA,12398
PIA,12280
KERTTU,12104
KRISTINA,11956
LEA,11901
NOORA,11846
AILA,11682
ELLEN,11679
MARJO,11618
JENNA,11577
TANJA,11532
VEERA,11416
LOTTA,11398
HENNA,11327
LEILA,11314
IRMA,11191
MARJA-LEENA,11170
KATI,11026
ALINA,10951
AULIKKI,10762
MARGARETA,10631
ELSA,10620
ELLI,10569
IRJA,10223
MARJA-LIISA,10171
HELLEVI,10161
MARITTA,10156
MILLA,10132
OUTI,10105
VENLA,10058
EMMI,10030
AADA,9989
MIIA,9739
MERVI,9695
TAINA,9692
ERIKA,9654
PÄIVIKKI,9652
SIIRI,9589
MIRJAM,9560
VILHELMIINA,9418
VIRPI,9393
HELINÄ,9378
SINI,9276
JONNA,9227
ANNA-LIISA,9001
TIIA,8978
SONJA,8912
MARGIT,8653
JOSEFIINA,8638
LILJA,8562
JASMIN,8528
ALISA,8355
OONA,8269
SANNI,8259
VILMA,8221
MIA,8026
TERHI,7915
LINDA,7845
MIRA,7734
ROOSA,7628
AUNE,7589
NEA,7493
VIIVI,7306
TEIJA,7270
ESSI,7191
ELIISA,7112
MARTTA,7034
IIRIS,7013
CHRISTINA,6983
VIOLA,6955
CARITA,6936
PIIA,6921
MAIRE,6813
TARU,6678
IINA,6671
MARIE,6670
TUULI,6632
ISABELLA,6627
MARJUKKA,6598
PETRA,6592
KRISTA,6575
JUULIA,6564
HILLEVI,6512
ESTERI,6457
ENNI,6442
ANNUKKA,6395
MIKAELA,6383
EVA,6380
AIRI,6337
SILJA,6296
INKA,6225
VUOKKO,6146
HENRIIKKA,5996
ALIISA,5990
SALLA,5944
JENNY,5941
AILI,5872
MILJA,5841
PINJA,5840
SUSANNE,5827
RIINA,5760
CAMILLA,5740
EEVI,5717
ERJA,5682
LYYDIA,5643
RONJA,5636
KATARINA,5621
ELENA,5564
SYLVIA,5544
REETTA,5425
ONERVA,5332
ELISE,5251
HELVI,5238
ALICE,5232
EERIKA,5224
AMALIA,5145
JESSICA,5084
MINTTU,4928
CECILIA,4905
MERI,4875
ANITTA,4824
ESTER,4777
PIHLA,4759
SAANA,4750
SOILE,4738
MINEA,4664
MAIJA-LIISA,4611
LUMI,4597
MEERI,4543
ELVI,4529
NELLI,4522
ASTA,4502
SALME,4429
TALVIKKI,4404
ADA,4384
HILJA,4355
ALMA,4351
MAARET,4293
IRINA,4279
ELVIIRA,4267
AULI,4223
TOINI,4218
ADELE,4156
LAHJA,4098
JANINA,4092
OLGA,4073
ARMI,4051
MAIJU,4050
LAILA,4045
HILLA,4030
MARINA,4025
AAVA,4023
AIRA,4020
NELLA,4019
SIRKKA-LIISA,3982
KAISU,3963
SAIJA,3963
CHARLOTTA,3907
MARIANNA,3907
TAIMI,3889
HILMA,3876
HEINI,3872
RAUHA,3815
ISLA,3777
HELEENA,3775
HILDA,3770
ANETTE,3765
EIRA,3620
RAUNI,3612
JOSEFINA,3604
NEEA,3554
MATLEENA,3532
KARIN,3519
SIRKKU,3502
MILA,3455
JOANNA,3453
WILHELMIINA,3442
SYLVI,3416
ROSA,3360
JEMINA,3344
PEPPI,3331
SENJA,3309
SAGA,3301
IRIS,3298
VICTORIA,3293
HELMIINA,3281
SAIMI,3196
INGEBORG,3191
MIRVA,3190
ANNA-MAIJA,3186
TYTTI,3143
OILI,3138
EEVA-LIISA,3114
LOVIISA,3093
BIRGIT,3085
VAPPU,3046
JANIKA,3026
NATALIA,2978
VIENO,2966
ASTRID,2960
MONICA,2944
LINNÉA,2933
FANNY,2897
STELLA,2877
SOILI,2873
JANETTE,2855
INARI,2845
ELIINA,2830
ANNINA,2826
EDITH,2826
JUTTA,2790
VANESSA,2774
VILJA,2765
SANELMA,2744
ALLI,2743
TYYNE,2685
INGRID,2678
FANNI,2657
SELMA,2644
TERESA,2638
SANDRA,2630
NETTA,2627
KIIA,2626
TEA,2609
MAILA,2599
ANNE-MARI,2591
AINI,2587
JANITA,2577
LYDIA,2563
PIRITTA,2537
ANELMA,2531
ISABEL,2506
KARITA,2481
MIRKA,2478
MONA,2469
REGINA,2451
DANIELA,2450
NORA,2439
HERTTA,2429
MIMOSA,2425
JADE,2421
LILIAN,2410
SENNI,2406
INGA,2378
HELKA,2361
MELISSA,2342
RAAKEL,2336
LOUISE,2334
ULRIKA,2330
ELMA,2325
ANNA-MARIA,2296
ANASTASIA,2295
VIRVE,2292
LILLI,2285
ULLA-MAIJA,2263
SAILA,2243
ELSI,2240
FRIDA,2238
AIJA,2196
MARGARETHA,2188
LEMPI,2182
UNELMA,2180
ANNELE,2176
GUNILLA,2170
AMELIA,2160
ALIINA,2154
WILMA,2137
EINE,2127
SOFIE,2118
SEELA,2115
HETA,2089
CHRISTINE,2088
ADALMIINA,2086
VERA,2084
MELINA,2081
METTE,2077
CAROLINA,2067
RITA,2060
VIVIAN,2054
IISA,2051
HANNE,2049
LIINA,2043
MINJA,2040
REBEKKA,2028
ERICA,2020
TAIJA,1978
VARPU,1974
LISA,1971
TUIRE,1961
CAROLA,1950
MAISA,1946
MOONA,1931
MONIKA,1915
TILDA,1907
CARINA,1894
REETA,1874
PATRICIA,1864
KAROLINA,1842
ELLE,1840
MARIIA,1835
HELJÄ,1827
ELIN,1823
REIJA,1814
CHARLOTTE,1807
MIINA,1806
KAISLA,1803
SALLI,1799
EINI,1793
SOLVEIG,1792
JANNA,1788
SELINA,1783
SUSAN,1783
MIRELLA,1779
SÄDE,1772
VIKTORIA,1763
HELLI,1754
LENA,1752
RIITTA-LIISA,1749
HENRIETTA,1741
TAIKA,1732
HELGA,1711
BRITA,1705
MIISA,1682
KIA,1680
HELLIN,1674
ANNA-KAISA,1667
INGER,1666
JASMINE,1654
AURA,1652
MARLEENA,1645
KIIRA,1636
HARRIET,1628
KERSTIN,1624
SOINTU,1623
TITTA,1605
NINNI,1602
SAIMA,1583
MARJA-TERTTU,1577
PIRITA,1576
HELENE,1564
JASMIINA,1560
WILHELMINA,1545
VALPURI,1542
SAAGA,1529
STINA,1514
REBECCA,1502
ERIN,1501
VERONICA,1498
ELEONORA,1488
ANNETTE,1485
ELVIRA,1484
ENNA,1482
RAISA,1478
IRA,1475
DIANA,1469
LEEA,1455
HELEN,1450
LYYLI,1448
PILVI,1440
URSULA,1440
GRETA,1435
JUSTIINA,1420
MARTINA,1415
ELSE,1413
MEA,1409
EVELINA,1408
IINES,1407
TIA,1406
ELEONOORA,1403
KIRSI-MARJA,1396
KANERVA,1388
TUOVI,1382
LAINA,1376
AVA,1374
THI,1373
MARIITTA,1368
ANNA-MARI,1365
LOVISA,1365
AMELIE,1354
INGEGERD,1353
NEELA,1341
SIRU,1340
INNA,1326
HENNI,1325
BENITA,1322
FIONA,1317
MARJA-RIITTA,1315
YVONNE,1312
LUMIA,1311
LUNA,1309
AGNETA,1302
LIVIA,1298
ALVA,1296
ELIZABETH,1296
BEATRICE,1290
FREDRIKA,1284
HANNA-LEENA,1281
TERHIKKI,1281
AIDA,1277
IITA,1272
MAGDALENA,1271
JUULI,1260
HANNA-MARI,1255
SIVIÄ,1255
BERIT,1249
RAKEL,1248
HENRIKA,1244
BARBRO,1242
LINA,1239
VANAMO,1225
AURELIA,1221
ANNA-LEENA,1218
ANNE-MARIA,1216
JANICA,1215
ANN-MARI,1214
MALIN,1210
ADELIINA,1205
MADELEINE,1204
LILIA,1201
VALENTINA,1193
TINA,1187
MATHILDA,1186
SIV,1181
SVETLANA,1181
HELY,1176
VALMA,1167
KIRSIKKA,1162
ANN,1161
AAMU,1158
MAILIS,1154
SOHVI,1151
LIISI,1142
RAILA,1140
CAROLINE,1139
SARAH,1136
