,,
,,
2001,,
Name,Number of Babies,Rank
Jack,384,1
Matthew,344,2
Adam,321,3
Ryan,288,4
James,247,5
Conor,227,6
Dylan,197,7
Joshua,197,7
Thomas,196,9
Daniel,186,10
Michael,185,11
Jamie,170,12
Sean,164,13
Ethan,155,14
Luke,149,15
Aaron,146,16
Jordan,139,17
David,137,18
Mark,136,19
Andrew,133,20
Ben,131,21
John,131,21
Nathan,120,23
Christopher,114,24
Patrick,114,24
William,108,26
Eoin,105,27
Samuel,103,28
Oisin,98,29
Ciaran,97,30
Jake,95,31
Callum,94,32
Cameron,94,32
Joseph,93,34
Kyle,93,34
Connor,87,36
Peter,85,37
Niall,84,38
Scott,81,39
Jonathan,80,40
Reece,80,40
Ronan,80,40
Lewis,79,43
Harry,77,44
Caolan,72,45
Benjamin,69,46
Stephen,69,46
Paul,66,48
Rory,65,49
Shane,63,50
Liam,62,51
Joel,61,52
Ross,57,53
Robert,56,54
Shea,56,54
Oran,55,56
Alexander,54,57
Brandon,54,57
Declan,51,59
Owen,51,59
Josh,50,61
Jason,49,62
Odhran,48,63
Rhys,48,63
Tiarnan,48,63
Tiernan,47,66
Cormac,45,67
Ruairi,45,67
Tyler,45,67
Corey,44,70
Lee,44,70
Martin,43,72
Darragh,40,73
Dean,38,74
Jay,38,74
Kevin,38,74
Oliver,38,74
Aidan,36,78
Gary,36,78
Bradley,34,80
Eoghan,34,80
Philip,34,80
Curtis,33,83
Padraig,32,84
Sam,31,85
Taylor,31,85
Conall,30,87
Darren,30,87
Gareth,30,87
Gerard,30,87
Jacob,29,91
Max,28,92
Richard,28,92
Timothy,28,92
Tom,28,92
Cathal,27,96
Lorcan,27,96
Louis,27,96
Brian,26,99
Alex,25,100
Craig,25,100
Pearse,25,100
Anthony,24,103
Marc,24,103
Steven,24,103
George,22,106
Stuart,22,106
Caoimhin,21,108
Cian,21,108
Seamus,21,108
Brendan,20,111
Ewan,20,111
Gavin,20,111
Jude,20,111
Keelan,20,111
Kieran,20,111
Charles,19,117
Dara,19,117
Euan,19,117
Caleb,18,120
Micheal,18,120
Simon,18,120
Daire,17,123
Neil,17,123
Robbie,17,123
Shay,17,123
Aodhan,16,127
Calum,16,127
Colm,16,127
Kian,16,127
Carter,15,131
Charlie,15,131
Conan,15,131
Isaac,14,134
Karl,14,134
Leon,14,134
Nicholas,14,134
Reuben,14,134
Bailey,13,139
Colin,13,139
Finn,13,139
Francis,13,139
Morgan,13,139
Christian,12,144
Conal,12,144
Diarmuid,12,144
Eamon,12,144
Emmet,12,144
Glenn,12,144
Travis,12,144
Alan,11,151
Brad,11,151
Cahir,11,151
Cain,11,151
Calvin,11,151
Dale,11,151
Fergal,11,151
Glen,11,151
Henry,11,151
Lucas,11,151
Rian,11,151
Barry,10,162
Dillon,10,162
Edward,10,162
Evan,10,162
Joe,10,162
Justin,10,162
Leo,10,162
Logan,10,162
Marcus,10,162
Tomas,10,162
Tristan,10,162
Conn,9,173
Cory,9,173
Dominic,9,173
Donal,9,173
Fionn,9,173
Fionntan,9,173
Kane,9,173
Kealan,9,173
Brooklyn,8,181
Eunan,8,181
Fintan,8,181
Harvey,8,181
Ian,8,181
Kai,8,181
Mason,8,181
Noel,8,181
Shaun,8,181
Toby,8,181
Zak,8,181
Bernard,7,192
Caelan,7,192
Daryl,7,192
Eamonn,7,192
Finlay,7,192
Kurtis,7,192
Luca,7,192
Mitchell,7,192
Phillip,7,192
Pierce,7,192
Russell,7,192
Stewart,7,192
Troy,7,192
Zach,7,192
Zack,7,192
Angus,6,207
Anton,6,207
Blake,6,207
Bobby,6,207
Fearghal,6,207
Fergus,6,207
Harrison,6,207
Jackson,6,207
Jordon,6,207
Terence,6,207
Zac,6,207
Abdallah,5,218
Billy,5,218
Caolin,5,218
Carl,5,218
Casey,5,218
Che,5,218
Cillian,5,218
Desmond,5,218
Diarmaid,5,218
Drew,5,218
