,40130
Aaliyah,3111
Abaigh,1718
Abbey,5430
Abbi,3809
Abbie,1014
Abbie-Lee,384
Abbie-Rose,440
Abby,3325
Abi,2791
Abigail,948
Ada,935
Addison,2091
Adele,4250
Adriana,444
Adrianna,2203
Agata,444
Agne,440
Agnes,353
Aibhlinn,1198
Aida,793
Aideen,4161
Ailbe,440
Ailbhe,1072
Aileen,2467
Ailis,651
Ailise,694
Ailish,989
Ailsa,809
Aime,814
Aimee,640
Aimee-Lee,1235
Aimee-Leigh,1014
Aimee-Louise,858
Aimee-rose,444
Aimie,282
Aine,1256
Aiobheann,343
Aisha,2807
Aishling,348
Aishlinn,444
Aisleen,286
Aislin,351
Aisling,2649
Aislinn,4739
Alana,2977
Alanah,1042
Alanis,358
Alanna,3150
Alannah,3644
Alaya,439
Alayna,370
Alba,687
Aleah,1135
Alecia,419
Aleesha,1064
Aleisha,769
Aleksandra,2508
Alesha,2418
Alex,2427
Alexa,1754
Alexandra,1514
Alexandria,3871
Alexia,723
Alexis,2114
Aleyna,440
Alia,440
Alice,1530
Alicia,2472
Alicja,2784
Alisa,353
Alisha,3045
Alison,2671
Alissa,419
Alivia,919
Alix,2961
Aliya,890
Aliyah,1853
Allie,1464
Ally,625
Alysha,2198
Alyson,344
Alyssa,3243
Amalia,439
Amanda,4053
Amara,353
Amaya,439
Amber,1671
Amber-Rose,440
Amelia,2239
Amelia-Lily,779
Amelia-rose,1448
Amelie,2426
Ami,1383
Amie,4521
Amiee,1111
Amina,440
Amira,1632
Amirah,664
Amy,406
Amy-Lee,1964
Amy-Leigh,2662
Amy-Louise,1040
Amy-Rose,805
Ana,4610
Anabelle,439
Anais,1582
Anastacia,377
Anastasia,1842
Anastazja,845
Anaya,440
Andrea,4135
Andreja,440
Angel,4932
Angela,3671
Angelica,384
Angelina,3057
Anita,1150
Ann,2621
Anna,259
Annabel,4160
Annabella,2032
Annabelle,2704
Annaliese,440
Annalise,2464
Anna-Mae,426
Anna-Marie,377
Anna-May,363
Anna-Rose,2459
Anne,3532
Anne-Marie,640
Annie,1395
Annie-rose,451
Ann-Marie,599
Antoinette,358
Antonia,3244
Antonina,1115
Anya,3868
Aobh,1465
Aobha,413
Aoibh,3272
Aoibhe,2494
Aoibheann,2331
Aoibhin,4785
Aoibhinn,3797
Aoife,279
Aoife-rose,365
Aoise,1201
April,4783
Arabella,2177
Aria,602
Ariah,665
Ariana,1803
Arianna,3200
Arianne,314
Ariella,306
Arina,451
Ariya,306
Arwen,331
Arya,1258
Asha,2197
Ashleigh,3787
Ashlene,358
Ashley,4553
Ashling,1441
Ashlyn,384
Ashton,920
Athena,879
Atlanta,613
Aubree,688
Auguste,1134
Aurelia,440
Aurora,1751
Austeja,1519
Autumn,3323
Ava,1432
Ava-grace,1151
Ava-rose,1134
Aveen,282
Avery,1120
Aviana,440
Ayda,1153
Ayesha,777
Ayla,2583
Ayva,426
Bailey,2563
Bailie,413
Beatrice,3385
Beau,805
Becky,1132
Beibhinn,895
Bella,905
Bella-rose,805
Belle,1596
Bernadette,2267
Beth,1269
Bethan,2986
Bethany,1198
Betty,365
Bianca,1310
Bianka,451
Billie,3518
Billie-Jo,1812
Blaithin,4561
Blake,306
Blanaid,1736
Blanka,439
Blathnaid,5515
Bobbi,2757
Bobbie,689
Bonnie,3403
Brannagh,1303
Brea,1296
Breanna,2105
Bree,440
Brenda,699
Brenna,2579
Bria,440
Brianna,4246
Brianne,363
Brid,344
Bridget,2342
Bridin,384
Briege,694
Brigid,1862
Britney,257
Brittany,792
Brittney,291
Brogan,4081
Broghan,1171
Brona,2014
Bronach,823
Bronagh,3297
Bronwen,339
Bronwyn,1332
Brooke,1471
Brooklyn,3853
Brooklynn,870
Bryony,1181
Cadhla,2618
Caela,1076
Caelainn,568
Caila,1189
Caileigh,697
Cailin,2699
Cailyn,444
Caiomhe,720
Caislin,413
Cait,4702
Caithlin,1715
Caiti,451
Caitilin,1312
Caitlain,293
Caitlin,460
Caitlyn,3570
Caitriona,3674
Caleigh,439
Cali,1482
Calla,440
Calleigh,430
Callie,3012
Cameron,1174
Candice,384
Caoilainn,761
Caoilfhionn,702
Caoimhe,652
Caoimhlin,348
Caola,413
Caprice,413
Cara,661
Caragh,4072
Caris,430
Carla,3533
Carley,339
Carlie,695
Carly,3615
Carmel,358
Carmen,1907
Carol,665
Caroline,3535
Carolyn,972
Carragh,1986
Carrie,5414
Carys,2621
Casey,2333
Casey-Lee,440
Casey-Leigh,426
Casie,316
Cassandra,358
Cassia,440
Cassidy,2057
Cassie,2551
Cate,756
Catelyn,372
Catherine,1410
Cathryn,695
Cathy,1373
Catrina,343
Catriona,1975
Cayla,2230
Ceala,353
Ceallach,1191
Ceara,1791
Ceili,835
Celine,1179
Cerys,3793
Chanelle,1683
Chantel,1130
Chantelle,2165
Chardonnay,372
Charis,3297
Charlee,1401
Charlene,2156
Charley,3747
Charli,697
Charlie,4233
Charlize,316
Charlotte,772
Charly,986
Charmaine,694
Chelsea,2464
Chelsea-Lee,348
Chelsey,3075
Chelsie,905
Chelsy,413
Cherie,358
Cherith,958
Cheyanne,286
Cheyenne,1449
Chloe,180
Chloe-Louise,632
Chole,343
Christina,5295
Christine,3276
Cianna,439
Ciara,1122
Ciarrai,3596
Cieara,344
Cindy,372
Claire,2930
Clara,1873
Claragh,1619
Clare,4105
Clarissa,1528
Claudia,4654
Claudine,348
Cleo,649
Cliodhna,1853
Cliona,4877
Clodagh,1250
Cobhlaith,676
Codi,684
Codie,4261
Cody,2307
Coleen,363
Colleen,4053
Collette,358
Connie,2979
Constance,1774
Cora,1629
Coragh,1216
Corina,426
Corinne,358
Corrie,569
Corrina,344
Cortney,358
Courteney,991
