"","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Jack","3","3","1","1","1","2","2","1","2","1","1","1","1","1","1","1","1","1","2","1","1","1"
"Sean","2","2","2","2","2","1","1","2","1","2","2","2","2","3","4","5","5","5","5","5","74","n/a"
"Conor","1","1","3","4","4","4","3","4","3","3","3","4","5","5","5","4","4","4","3","4","4","4"
"Daniel","10","9","11","11","6","6","6","6","6","4","4","3","3","4","3","3","3","3","3","3","5","5"
"James","4","4","5","5","5","5","4","5","5","5","5","5","4","2","2","2","2","2","1","2","2","2"
"Adam","5","5","4","3","3","3","4","3","4","6","7","7","7","7","6","6","6","6","7","9","9","6"
"Ryan","16","13","17","18","14","12","13","12","14","7","6","6","6","6","7","7","16","18","19","24","25","25"
"Luke","15","14","8","9","10","11","8","8","7","8","9","10","9","12","11","13","7","10","10","7","7","9"
"Cian","12","12","6","6","7","8","7","7","8","9","11","12","14","13","15","17","18","14","13","19","27","32"
"Michael","9","6","9","10","8","7","9","10","9","10","13","8","12","9","10","8","14","8","9","10","8","14"
"Dylan","7","10","10","8","11","10","11","11","12","11","8","11","10","10","9","20","11","17","23","29","26","26"
"Aaron","6","8","12","12","12","13","10","9","11","12","12","16","13","16","22","24","24","26","24","31","34","33"
"Darragh","28","29","29","21","24","15","15","20","15","13","15","14","16","19","20","18","21","21","16","17","21","11"
"Thomas","17","19","18","14","18","14","20","16","13","14","19","18","22","18","17","11","17","11","15","19","12","18"
"Matthew","21","24","24","22","17","25","23","19","17","15","20","23","24","24","24","22","28","27","29","26","23","27"
"David","8","7","7","7","9","9","12","14","21","16","21","25","25","24","27","28","23","23","27","27","30","41"
"Jamie","26","22","21","20","23","23","16","13","10","17","14","13","11","14","16","21","22","24","26","19","22","19"
"Oisin","37","25","22","23","25","20","18","21","16","18","16","17","17","15","14","14","13","12","8","11","n/a","n/a"
"Oisín","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","15","13"
"Patrick","17","18","16","17","13","19","24","18","19","19","18","19","18","21","21","16","19","16","18","17","18","20"
"Alex","59","57","48","45","35","29","26","24","23","20","10","9","8","10","18","12","12","13","17","12","16","14"
"John","13","15","14","15","15","22","21","17","18","21","22","21","22","26","25","27","25","28","25","22","27","30"
"Cillian","60","61","59","58","66","60","40","45","28","22","23","22","21","22","23","23","20","22","22","16","17","17"
"Evan","32","34","27","30","29","26","25","25","25","23","25","24","27","27","29","34","32","35","34","45","44","56"
"Eoin","20","16","15","18","16","15","14","21","26","24","26","20","29","32","36","44","46","47","55","58","65","74"
"Shane","11","11","13","13","21","21","19","23","24","25","28","30","33","43","47","55","58","71","64","84","92","n/a"
"Liam","30","21","26","24","26","24","28","27","30","26","17","15","15","17","13","18","15","20","14","15","11","7"
"Ben","48","38","30","27","19","18","17","14","20","27","24","25","28","28","34","29","30","29","28","32","29","28"
"Jake","51","51","42","34","30","31","36","30","29","28","30","35","31","34","31","26","27","25","33","36","40","37"
"Joshua","52","44","34","28","19","17","22","25","27","29","27","31","36","33","41","42","38","47","44","50","52","54"
"Mark","14","17","18","16","22","27","27","29","31","30","33","33","44","50","48","57","65","65","72","60","83","94"
"Harry","100","70","63","56","68","56","56","50","41","31","31","28","20","8","7","9","9","14","11","8","6","12"
"Fionn","91","97","64","68","66","66","41","38","39","32","35","34","35","30","27","25","26","19","21","14","14","16"
"Joseph","40","31","33","31","33","32","31","31","39","33","32","36","37","41","44","38","41","42","51","47","49","52"
"Callum","99","79","69","76","60","46","61","34","22","34","37","29","32","35","39","47","36","43","48","43","46","45"
"Samuel","55","55","57","49","43","37","34","35","34","35","39","37","39","39","40","33","43","41","38","52","54","60"
"Charlie","142","125","122","114","93","79","65","52","36","36","29","27","19","20","12","15","10","9","12","13","10","10"
"Nathan","36","26","32","32","27","28","29","28","32","37","34","32","29","29","26","31","29","32","39","34","49","61"
"Cathal","31","42","35","38","38","39","34","31","35","38","36","47","42","44","56","54","69","66","65","61","60","61"
"Kyle","55","60","50","53","36","35","32","35","38","38","38","40","37","36","32","32","34","34","40","61","65","87"
"Robert","27","27","37","33","30","34","38","37","37","40","49","43","43","53","48","50","52","54","56","67","57","80"
"Ciaran","24","30","23","25","28","30","30","31","33","41","40","53","53","57","62","74","61","64","90","78","n/a","n/a"
"Ronan","42","44","41","50","54","51","39","43","47","41","43","38","50","48","52","60","64","56","71","74","79","79"
"Andrew","23","28","31","37","41","36","32","39","43","43","41","58","58","60","60","60","61","60","72","76","76","68"
"Kevin","25","33","25","36","32","38","44","47","48","44","59","51","67","58","70","73","82","87","81","92","96","100"
"William","57","50","46","52","49","55","54","51","50","44","46","55","45","47","51","43","50","51","50","54","48","50"
"Ethan","83","76","71","51","50","44","47","49","54","46","53","45","34","31","30","36","31","40","41","35","37","35"
"Tadhg","104","96","92","88","80","84","68","69","64","47","41","42","40","38","37","51","48","33","32","28","20","8"
"Rory","53","64","65","61","57","52","48","68","45","48","49","52","57","56","42","65","66","73","74","72","72","71"
"Noah","328","213","252","176","148","132","79","61","49","49","46","41","26","23","19","10","8","7","6","6","3","3"
"Calum","179","189","160","223","123","109","117","70","44","50","69","92","93","88","n/a","181","n/a","n/a","n/a","234","n/a","n/a"
"Brian","35","36","36","39","38","40","45","43","52","51","49","68","81","92","91","92","n/a","95","n/a","127","n/a","n/a"
"Eoghan","49","41","47","44","48","41","52","41","50","52","48","39","55","55","53","62","56","71","68","66","77","n/a"
"Cormac","61","55","54","59","52","56","51","39","42","53","54","57","59","59","68","68","76","89","83","97","n/a","n/a"
"Finn","147","175","131","95","88","75","71","57","66","54","49","48","46","36","38","30","32","30","20","23","18","22"
"Aidan","65","69","74","73","62","64","62","71","65","55","60","46","48","40","50","48","51","52","52","56","51","48"
"Alexander","75","68","72","65","56","49","59","47","56","56","45","50","51","49","54","39","37","46","49","39","31","36"
"Benjamin","77","75","67","66","53","53","57","55","68","56","63","68","62","74","68","68","63","58","58","69","56","75"
"Rian","128","152","124","108","116","129","100","84","77","58","62","60","54","42","33","37","35","36","31","25","n/a","n/a"
"Rían","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","33","20"
"Sam","92","87","94","89","71","70","59","59","58","59","57","44","41","45","46","51","42","38","41","46","39","44"
"Stephen","17","23","27","26","33","33","37","42","46","60","58","76","88","77","95","86","n/a","n/a","n/a","138","n/a","n/a"
"Christopher","41","40","43","42","47","46","53","60","53","61","61","61","70","69","75","71","72","86","93","92","75","83"
"Killian","58","59","61","55","65","67","70","62","59","61","65","76","62","72","76","87","80","98","87","106","n/a","n/a"
"Josh","112","107","89","81","62","56","58","56","67","63","75","66","68","77","78","90","84","93","78","110","n/a","96"
"Gavin","45","58","54","54","55","62","64","66","75","64","n/a","89","116","143","n/a","127","n/a","n/a","n/a","214","n/a","n/a"
"Alan","46","53","51","59","60","71","77","72","80","65","73","64","68","75","72","76","94","n/a","n/a","120","n/a","n/a"
"Peter","42","48","53","48","50","50","66","64","62","65","70","67","83","87","89","101","77","75","n/a","88","86","n/a"
"Scott","81","83","70","66","58","59","42","58","56","67","71","70","73","83","67","70","68","74","67","90","96","n/a"
"Jason","33","35","39","45","37","45","49","65","60","68","72","72","77","71","86","89","n/a","n/a","98","114","n/a","n/a"
"Max","170","152","129","114","123","97","88","73","72","69","56","56","49","46","34","35","39","43","35","38","35","34"
"Lee","42","46","44","47","46","42","46","46","55","70","n/a","90","81","111","n/a","126","n/a","n/a","n/a","188","n/a","n/a"
"Anthony","54","52","58","56","64","68","80","75","70","71","80","80","86","83","99","79","89","83","86","81","98","94"
"Paul","34","39","40","43","45","48","43","54","62","72","76","76","90","97","n/a","124","n/a","n/a","n/a","169","n/a","n/a"
"Martin","64","64","62","70","74","73","74","76","76","73","81","73","83","88","89","92","95","83","87","69","79","91"
"Tom","117","127","119","94","90","83","98","79","71","74","76","62","65","66","58","49","45","37","36","50","32","38"
"Leon","112","77","77","68","81","85","82","82","73","75","44","53","56","52","54","56","54","54","58","53","61","50"
"Niall","37","36","38","41","40","54","50","53","60","76","83","70","91","86","93","88","91","n/a","n/a","134","n/a","n/a"
"Oliver","203","161","174","138","155","142","117","119","101","76","83","62","52","54","59","41","40","31","30","30","24","24"
"Rhys","147","133","109","137","109","142","114","107","104","76","67","75","66","68","66","82","97","100","n/a","109","n/a","n/a"
"Dean","29","32","45","35","44","42","62","63","69","79","n/a","82","107","128","n/a","161","n/a","n/a","n/a","175","n/a","n/a"
"Dara","115","118","100","90","95","86","81","81","77","80","81","73","71","73","86","75","80","76","98","92","100","86"
"Oscar","142","136","171","131","112","111","107","79","92","81","65","65","61","62","n/a","46","46","45","46","44","37","43"
"Colm","66","54","65","71","76","73","74","86","73","82","n/a","99","151","128","n/a","117","n/a","n/a","n/a","197","n/a","n/a"
"Diarmuid","102","94","84","83","77","97","87","77","91","82","n/a","152","112","143","n/a","161","n/a","n/a","n/a","133","n/a","n/a"
"Edward","79","81","81","77","89","86","95","104","115","82","93","103","101","95","95","96","n/a","95","90","101","87","89"
"Jayden","628","614","489","0","521","649","306","307","305","85","54","49","47","50","43","45","53","61","62","61","68","65"
"Christian","109","130","111","131","116","104","93","92","99","86","n/a","99","121","121","n/a","192","n/a","n/a","n/a","195","n/a","n/a"
"Louis","142","131","129","105","135","124","109","111","123","86","n/a","107","128","132","n/a","122","n/a","n/a","78","78","64","68"
"Oran","137","105","138","96","99","80","88","78","97","86","86","90","75","80","61","98","100","n/a","n/a","114","n/a","n/a"
"Padraig","68","61","78","79","84","89","84","84","80","86","n/a","103","102","106","n/a","123","n/a","n/a","n/a","149","n/a","n/a"
"Charles","137","125","124","103","122","107","93","99","83","90","n/a","99","112","104","n/a","110","n/a","n/a","n/a","156","n/a","n/a"
"Leo","168","184","171","127","107","119","104","97","87","91","96","111","96","79","84","63","56","53","44","33","36","31"
"Lucas","230","189","206","215","190","197","212","157","118","91","105","79","79","80","71","64","74","82","63","58","55","55"
"Ross","39","43","56","63","74","68","55","66","80","93","n/a","82","102","109","n/a","102","n/a","n/a","n/a","175","n/a","n/a"
"Cameron","119","97","86","108","103","95","110","118","90","94","n/a","103","97","118","n/a","114","n/a","n/a","n/a","145","n/a","n/a"
"Jacob","158","161","115","123","123","115","132","116","118","94","110","110","79","64","64","53","49","49","37","41","41","38"
"Kieran","67","73","60","72","69","72","73","90","105","94","n/a","152","141","152","n/a","152","n/a","n/a","n/a","220","n/a","n/a"
"Brandon","74","67","67","83","70","76","78","98","79","97","n/a","125","116","170","n/a","127","n/a","n/a","n/a","305","n/a","n/a"
"Ruairi","119","113","103","105","103","92","104","93","84","97","86","88","88","94","81","92","93","98","n/a","96","n/a","n/a"
